From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm)
2022-12-05 12:00:00,2022-12-05 13:00:00,171.0,252.0,0.5,17.4,9.7,27.5,12.9,0.69,,1.7,103.0,1.5,2.9,,25.0,1.7,337.0,279.0,25.3,0.0
2022-12-05 13:00:00,2022-12-05 14:00:00,147.5,212.0,0.25,14.22,7.75,22.3,10.55,0.61,,1.38,98.0,1.28,2.47,,23.25,1.68,334.5,256.25,25.45,0.0
2022-12-05 14:00:00,2022-12-05 15:00:00,102.0,137.5,0.28,15.38,8.4,21.38,10.98,0.73,,1.0,92.17,1.05,2.02,,26.25,1.42,262.75,180.75,25.6,0.0
2022-12-05 15:00:00,2022-12-05 16:00:00,137.5,181.5,0.2,15.25,8.18,19.43,9.6,0.67,199.17,0.8,88.68,0.95,1.7,,24.25,1.4,267.0,118.25,25.62,0.0
2022-12-05 16:00:00,2022-12-05 17:00:00,112.0,157.0,0.2,17.07,9.07,19.35,9.12,0.81,191.95,0.7,85.42,0.88,1.55,,32.5,1.17,269.5,46.25,25.18,0.0
2022-12-05 17:00:00,2022-12-05 18:00:00,152.0,218.25,0.17,31.43,16.77,19.98,6.58,0.97,157.0,0.7,81.9,0.82,1.42,,40.5,1.15,260.75,13.0,24.5,0.0
2022-12-05 18:00:00,2022-12-05 19:00:00,176.5,316.0,0.13,42.1,22.48,22.35,8.25,1.18,126.15,0.88,41.18,0.67,1.15,,42.75,0.9,354.0,11.0,23.97,0.0
2022-12-05 19:00:00,2022-12-05 20:00:00,207.75,332.25,0.23,41.52,22.23,22.62,7.35,1.28,112.35,0.9,52.23,0.7,1.18,,45.5,0.68,351.5,10.5,23.52,0.0
2022-12-05 20:00:00,2022-12-05 21:00:00,206.5,317.0,2.67,71.8,40.33,21.0,6.95,1.86,67.5,0.97,66.55,0.8,1.4,,47.5,0.57,242.25,10.0,23.0,0.0
2022-12-05 21:00:00,2022-12-05 22:00:00,226.25,349.25,39.17,113.15,92.03,31.05,5.75,3.8,4.15,1.25,77.12,1.05,2.0,,54.25,0.73,231.25,10.0,22.47,0.0
2022-12-05 22:00:00,2022-12-05 23:00:00,363.25,598.5,91.43,112.6,134.22,34.88,5.75,4.53,2.07,2.1,87.88,1.88,3.52,,58.75,0.57,195.5,10.0,21.95,0.0
2022-12-05 23:00:00,2022-12-06 00:00:00,369.75,568.25,121.57,105.32,154.88,41.8,6.63,5.08,1.57,2.83,95.0,2.62,5.2,,61.5,0.73,238.75,10.0,21.7,0.0
2022-12-06 00:00:00,2022-12-06 01:00:00,384.75,572.75,113.57,89.4,139.88,46.08,6.2,4.9,1.1,3.52,99.72,3.1,6.67,,63.75,0.7,275.0,10.0,21.4,0.0
2022-12-06 01:00:00,2022-12-06 02:00:00,377.25,540.75,69.67,85.57,102.17,44.12,5.35,3.52,0.4,4.07,103.4,3.38,7.85,,63.75,0.78,241.5,10.0,21.17,0.0
