From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2020-03-11 08:00:00,2020-03-11 09:00:00,42.0,51.28,4.27,0.97,6.66,19.88,3.35,0.37,,0.0,,,,53.51,1.01,232.25,569.44,890.75,,,
2020-03-11 09:00:00,2020-03-11 10:00:00,41.17,49.96,4.51,1.27,7.24,21.55,3.44,0.38,,0.0,,,,45.47,1.07,214.25,684.88,890.96,,,
2020-03-11 10:00:00,2020-03-11 11:00:00,24.97,42.04,7.25,5.45,14.56,20.25,3.93,0.5,6.95,0.0,,,,40.8,0.99,173.28,794.86,890.7,,,
2020-03-11 11:00:00,2020-03-11 12:00:00,26.95,38.86,7.31,2.52,12.13,21.94,3.93,0.52,,0.0,,,,31.41,1.57,212.52,817.86,888.79,,,
2020-03-11 12:00:00,2020-03-11 13:00:00,17.42,37.15,7.25,1.58,11.14,25.71,4.36,0.49,,0.0,,,,27.43,1.21,219.13,808.77,889.53,,25.84,0.0
2020-03-11 13:00:00,2020-03-11 14:00:00,15.08,29.88,7.29,1.51,11.13,26.62,4.75,0.48,,0.0,,,,24.14,1.35,192.91,713.65,888.81,,26.52,0.0
2020-03-11 14:00:00,2020-03-11 15:00:00,12.75,26.3,7.4,1.97,11.69,30.78,4.65,0.46,2.34,0.02,,0.02,0.05,25.07,1.98,202.0,522.52,856.04,,25.69,0.32
2020-03-11 15:00:00,2020-03-11 16:00:00,12.03,32.4,7.34,8.76,17.57,27.45,5.26,0.45,7.57,0.0,,,,29.91,1.09,172.64,337.69,872.1,,25.16,0.38
2020-03-11 16:00:00,2020-03-11 17:00:00,26.58,43.5,7.45,7.12,16.32,28.6,5.48,0.61,2.48,0.06,,0.05,0.14,35.13,0.68,202.1,129.79,888.22,,24.95,0.0
2020-03-11 17:00:00,2020-03-11 18:00:00,102.28,136.53,7.81,3.79,13.85,32.49,5.42,0.72,,0.1,,0.08,0.1,42.66,0.73,196.76,5.51,856.71,,22.74,0.18
2020-03-11 18:00:00,2020-03-11 19:00:00,40.0,51.15,7.79,3.42,13.49,32.06,5.2,0.82,,0.04,0.26,0.03,0.08,49.67,0.57,168.57,17.8,866.9,,20.13,0.3
2020-03-11 19:00:00,2020-03-11 20:00:00,43.28,54.08,7.44,1.96,11.78,32.0,4.92,0.83,,0.06,0.33,0.06,0.13,52.69,0.3,158.01,,889.99,,20.01,0.0
2020-03-11 20:00:00,2020-03-11 21:00:00,25.55,41.91,7.36,1.24,10.98,28.25,4.58,0.84,,0.07,0.39,0.07,0.16,53.9,0.43,129.4,,890.42,,19.64,0.0
2020-03-11 21:00:00,2020-03-11 22:00:00,32.78,43.61,7.33,0.82,10.56,26.68,4.49,0.81,,0.05,0.29,0.06,0.12,53.84,0.87,107.49,,890.54,,19.64,0.0
2020-03-11 22:00:00,2020-03-11 23:00:00,27.5,39.55,7.11,0.42,9.81,25.29,4.23,0.75,,0.05,0.27,0.06,0.12,50.89,1.72,82.72,19.78,865.68,,19.2,0.33
2020-03-11 23:00:00,2020-03-12 00:00:00,26.83,30.67,7.04,0.33,9.6,22.91,3.88,0.65,,0.03,0.18,0.04,0.09,53.07,1.58,70.83,,890.27,,19.49,0.0
2020-03-12 00:00:00,2020-03-12 01:00:00,27.03,35.3,7.04,0.16,9.42,21.3,3.39,0.61,,0.03,0.15,0.04,0.06,55.5,0.46,210.39,,890.15,,18.82,0.0
2020-03-12 01:00:00,2020-03-12 02:00:00,28.95,41.7,7.17,0.04,9.31,20.64,3.44,0.6,,0.04,0.17,0.04,0.09,56.05,0.34,148.98,,889.91,,18.54,0.0
2020-03-12 02:00:00,2020-03-12 03:00:00,33.0,36.0,7.06,0.05,9.25,20.18,3.44,0.58,,0.03,0.19,0.05,0.1,54.5,2.65,87.81,1.42,861.86,,19.7,0.0
2020-03-12 03:00:00,2020-03-12 04:00:00,25.22,31.93,7.07,,9.13,19.9,3.4,0.56,,0.04,0.2,0.06,0.11,56.7,0.56,59.88,,889.5,,18.38,0.0
2020-03-12 04:00:00,2020-03-12 05:00:00,23.28,27.61,6.96,0.28,9.16,17.91,3.37,0.53,,0.03,0.14,0.04,0.08,55.93,0.69,96.22,22.25,861.96,,17.37,0.38
2020-03-12 05:00:00,2020-03-12 06:00:00,24.97,31.06,7.02,0.02,9.09,18.07,3.43,0.51,,0.01,0.09,0.03,0.05,56.42,0.71,55.4,16.96,890.25,,18.59,0.0
2020-03-12 06:00:00,2020-03-12 07:00:00,23.05,31.0,7.11,0.08,9.25,18.73,3.41,0.49,,0.05,0.28,0.09,0.17,47.51,0.42,188.56,134.11,890.92,,21.5,0.0
2020-03-12 07:00:00,2020-03-12 08:00:00,31.0,33.52,7.2,0.3,9.84,20.14,3.5,0.49,,0.01,0.04,0.01,0.03,41.8,0.72,225.47,335.71,891.61,,23.31,0.0
2020-03-12 08:00:00,2020-03-12 09:00:00,39.75,45.59,7.08,0.84,10.27,22.88,3.77,0.5,,0.03,0.16,0.06,0.1,41.86,0.91,193.13,510.01,892.36,,24.61,0.0
2020-03-12 09:00:00,2020-03-12 10:00:00,30.1,40.94,7.24,1.08,10.68,24.72,3.94,0.55,,0.01,0.04,0.01,0.03,39.2,0.71,164.22,662.95,892.95,,26.08,0.0
2020-03-12 10:00:00,2020-03-12 11:00:00,,,7.44,3.25,12.91,31.22,4.28,0.59,8.49,0.01,0.06,0.02,0.04,39.78,1.2,206.66,776.23,892.93,,25.8,0.0
2020-03-12 11:00:00,2020-03-12 12:00:00,,,7.2,6.04,15.03,25.5,4.46,0.44,11.51,0.0,0.0,,,41.43,1.45,201.02,812.52,892.48,,25.66,0.0
2020-03-12 12:00:00,2020-03-12 13:00:00,25.0,31.11,7.14,1.86,11.28,24.01,4.31,0.42,0.96,0.0,0.0,,,41.78,1.28,190.03,782.03,891.58,,26.52,0.0
2020-03-12 13:00:00,2020-03-12 14:00:00,19.0,29.17,7.32,1.15,10.85,27.59,4.65,0.44,0.07,0.0,0.0,,,39.56,1.43,200.4,678.4,890.74,,27.48,0.0
2020-03-12 14:00:00,2020-03-12 15:00:00,24.0,30.0,7.14,1.04,10.51,31.13,4.83,0.43,0.85,0.0,0.0,,,40.88,1.31,202.97,453.24,890.33,,27.18,0.0
2020-03-12 15:00:00,2020-03-12 16:00:00,25.0,32.08,7.2,1.19,10.74,33.31,5.26,0.46,0.05,0.0,0.0,,,45.2,1.07,199.31,259.5,890.38,,26.14,0.0
2020-03-12 16:00:00,2020-03-12 17:00:00,33.0,41.0,7.22,1.37,10.93,30.05,5.39,0.5,0.02,0.0,0.0,,,49.12,0.75,185.48,107.81,890.49,,25.11,0.0
2020-03-12 17:00:00,2020-03-12 18:00:00,44.0,54.0,7.37,2.31,12.01,28.28,5.02,0.59,,0.0,0.0,,,58.27,0.8,184.38,7.1,890.68,,22.61,0.0
2020-03-12 18:00:00,2020-03-12 19:00:00,43.0,59.0,7.18,2.18,11.66,30.84,4.86,0.65,,0.0,0.0,,,61.47,0.86,209.56,,891.21,,21.56,0.0
2020-03-12 19:00:00,2020-03-12 20:00:00,40.0,50.35,7.15,1.99,11.4,34.94,5.11,0.67,,0.0,0.0,,,62.28,0.77,200.9,,892.0,,21.27,0.0
2020-03-12 20:00:00,2020-03-12 21:00:00,,,7.77,1.74,12.0,32.48,4.97,0.69,,0.0,0.0,,,60.96,0.44,203.04,29.67,855.45,,20.01,0.51
2020-03-12 21:00:00,2020-03-12 22:00:00,46.0,51.0,7.46,1.38,11.26,30.47,4.65,0.69,,0.0,0.0,,,65.44,0.52,153.17,,892.81,,20.45,0.0
2020-03-12 22:00:00,2020-03-12 23:00:00,43.0,48.61,7.25,0.5,10.17,27.96,4.44,0.69,,0.0,0.0,,,66.0,0.42,238.01,,892.62,,20.16,0.0
2020-03-12 23:00:00,2020-03-13 00:00:00,39.29,46.0,6.98,0.38,9.72,26.3,4.42,0.65,,0.0,0.0,,,64.13,0.62,246.59,1.46,855.01,,19.0,0.0
2020-03-13 00:00:00,2020-03-13 01:00:00,36.0,41.66,6.96,0.12,9.26,24.46,4.12,0.6,,0.0,0.0,,,66.32,2.42,117.18,1.42,863.83,,18.89,0.0
2020-03-13 01:00:00,2020-03-13 02:00:00,39.0,44.0,7.02,0.11,9.35,22.46,4.02,0.56,,0.0,0.0,,,68.44,0.88,76.62,,891.14,,19.54,0.0
2020-03-13 02:00:00,2020-03-13 03:00:00,37.0,38.0,7.12,0.13,9.48,21.1,3.83,0.54,,0.0,0.0,,,68.61,1.12,75.97,,890.7,,19.44,0.0
2020-03-13 03:00:00,2020-03-13 04:00:00,39.0,42.78,7.06,0.04,9.07,20.85,3.73,0.51,0.02,0.0,0.0,,,66.94,2.02,43.98,1.32,865.9,,18.82,0.0
2020-03-13 04:00:00,2020-03-13 05:00:00,41.0,42.0,7.02,0.02,8.96,19.35,3.39,0.51,0.02,0.0,0.0,,,68.62,0.53,122.74,1.52,863.08,,18.28,0.0
2020-03-13 05:00:00,2020-03-13 06:00:00,38.0,44.72,7.02,0.09,9.18,19.95,3.42,0.5,,0.0,0.0,,,73.52,0.43,176.43,13.46,891.39,,18.62,0.0
2020-03-13 06:00:00,2020-03-13 07:00:00,39.0,46.0,7.02,0.13,9.38,20.59,3.45,0.5,,0.0,0.0,,,62.39,1.14,106.18,129.06,872.34,,21.06,0.32
2020-03-13 07:00:00,2020-03-13 08:00:00,51.0,57.0,7.38,0.68,10.42,22.35,3.63,0.52,,0.0,0.0,,,55.38,1.2,111.64,343.99,892.55,,24.22,0.0
2020-03-13 08:00:00,2020-03-13 09:00:00,48.0,56.0,7.29,0.92,10.58,24.15,3.83,0.51,,0.0,0.0,,,49.59,1.78,113.0,512.94,876.1,,23.76,0.66
2020-03-13 09:00:00,2020-03-13 10:00:00,36.0,49.0,7.47,0.89,10.78,23.57,3.93,0.51,,0.0,0.0,,,44.83,1.15,134.92,710.33,893.27,,26.78,0.0
