From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2020-09-03 23:00:00,2020-09-04 00:00:00,28.0,80.0,2.11,3.03,5.45,1.2,11.8,0.41,14.46,0.0,,,,97.26,0.42,260.67,,852.03,,20.2,0.0
2020-09-04 00:00:00,2020-09-04 01:00:00,35.0,99.0,2.07,2.74,5.1,1.14,11.78,0.38,14.18,0.0,,,,95.4,0.87,173.71,,851.79,,20.09,0.0
2020-09-04 01:00:00,2020-09-04 02:00:00,21.0,70.0,2.11,2.36,4.81,0.92,11.76,0.33,13.66,0.0,,,,94.52,0.9,232.16,,851.39,,20.09,0.0
2020-09-04 02:00:00,2020-09-04 03:00:00,22.5,57.0,2.06,2.59,4.96,1.01,11.69,0.28,12.51,0.0,,,,97.38,0.55,198.6,,851.15,,19.74,0.0
2020-09-04 03:00:00,2020-09-04 04:00:00,16.88,38.0,2.16,2.62,5.14,1.06,11.62,0.24,11.79,0.0,,,,95.73,1.2,169.47,,850.86,,19.51,0.0
2020-09-04 04:00:00,2020-09-04 05:00:00,10.75,32.0,2.34,2.54,5.31,1.02,11.69,0.21,11.14,0.0,,,,99.38,1.03,240.02,,851.16,,19.08,0.0
2020-09-04 05:00:00,2020-09-04 06:00:00,11.75,29.0,1.99,2.9,5.19,1.08,11.69,0.22,10.9,0.0,,,,98.51,0.88,169.15,,851.5,,19.23,0.0
2020-09-04 06:00:00,2020-09-04 07:00:00,19.88,40.0,2.13,2.59,5.1,1.03,11.8,0.25,11.49,0.0,,,,90.53,0.59,95.58,,851.76,,21.03,0.0
2020-09-04 07:00:00,2020-09-04 08:00:00,25.38,44.0,2.26,2.42,5.03,1.06,11.9,0.3,13.82,0.0,,,,80.38,0.78,196.28,,852.19,,23.4,0.0
2020-09-04 08:00:00,2020-09-04 09:00:00,26.88,92.0,2.11,2.67,5.07,1.04,11.76,0.36,14.71,0.0,,,,75.39,0.64,104.6,,852.57,,25.01,0.0
2020-09-04 09:00:00,2020-09-04 10:00:00,20.0,67.0,2.12,2.83,5.29,1.11,11.97,0.41,13.98,0.0,,,,78.66,0.75,57.26,,852.47,,24.43,0.0
2020-09-04 10:00:00,2020-09-04 11:00:00,19.0,64.0,2.14,2.54,5.08,1.13,11.65,0.39,13.53,0.0,,,,75.44,1.0,238.95,,851.99,,25.46,0.0
2020-09-04 11:00:00,2020-09-04 12:00:00,17.25,61.0,2.07,2.88,5.21,1.0,11.47,0.35,12.59,0.0,,,,77.5,0.81,210.29,,851.41,,25.45,0.0
