From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),SR (W/mt2),BP (mmHg),RF (mm),AT (degree C)
2022-11-25 12:00:00,2022-11-25 13:00:00,59.01,82.8,36.73,50.31,87.25,170.24,4.39,1.18,43.54,0.87,34.87,,0.82,0.6,,0.8,140.64,,0.0,23.48
2022-11-25 13:00:00,2022-11-25 14:00:00,41.25,74.33,37.81,53.2,90.99,170.01,7.74,1.1,45.26,0.81,33.24,,0.79,0.49,,0.63,388.78,,0.0,24.51
2022-11-25 14:00:00,2022-11-25 15:00:00,52.55,122.11,38.04,51.41,89.52,174.01,5.47,1.04,49.12,0.77,32.65,0.08,0.81,,,0.96,323.59,,0.0,24.23
2022-11-25 15:00:00,2022-11-25 16:00:00,59.19,95.87,35.33,52.47,87.85,159.02,6.63,0.96,48.05,0.72,31.06,0.54,0.79,,,0.99,143.25,,0.0,23.87
2022-11-25 16:00:00,2022-11-25 17:00:00,48.51,85.96,42.56,53.07,95.56,172.88,4.56,0.97,29.24,0.74,32.79,0.81,0.89,,,0.87,38.36,,0.0,22.69
2022-11-25 17:00:00,2022-11-25 18:00:00,57.48,131.72,50.23,52.3,102.4,199.77,3.29,1.02,12.42,0.79,36.59,0.96,1.02,,,0.24,9.89,,0.0,19.3
2022-11-25 18:00:00,2022-11-25 19:00:00,46.61,172.89,45.05,48.66,93.6,201.0,2.91,1.02,13.34,0.88,38.43,0.74,1.02,,,0.25,7.99,,0.0,17.78
2022-11-25 19:00:00,2022-11-25 20:00:00,54.15,120.67,40.28,45.77,86.03,212.1,2.77,1.07,19.29,0.87,39.42,0.25,1.07,,,0.21,8.5,,0.0,16.13
2022-11-25 20:00:00,2022-11-25 21:00:00,59.4,141.4,40.89,44.39,85.22,225.41,2.88,1.15,19.73,0.95,40.53,0.51,1.07,,,0.19,8.06,,0.0,14.3
2022-11-25 21:00:00,2022-11-25 22:00:00,63.68,133.25,40.19,42.81,82.97,239.97,2.85,1.21,18.76,1.08,40.97,0.5,1.13,,,0.14,8.03,,0.0,13.28
2022-11-25 22:00:00,2022-11-25 23:00:00,61.82,106.42,39.7,41.74,81.49,242.94,2.81,1.2,19.55,1.11,40.75,0.49,1.16,1.09,,0.08,7.87,,0.0,12.36
2022-11-25 23:00:00,2022-11-26 00:00:00,50.8,110.14,39.48,41.51,80.95,252.58,2.68,1.15,18.81,1.08,40.19,0.63,1.17,,,0.13,7.8,,0.0,11.61
2022-11-26 00:00:00,2022-11-26 01:00:00,47.81,103.96,40.16,41.24,81.47,243.96,2.45,1.1,20.95,1.0,39.77,0.56,1.14,,,0.11,7.85,,0.0,11.4
2022-11-26 01:00:00,2022-11-26 02:00:00,44.16,82.49,40.76,41.35,82.05,257.31,2.4,1.03,20.6,0.91,39.16,0.89,1.11,,,0.13,7.87,,0.0,10.87
2022-11-26 02:00:00,2022-11-26 03:00:00,42.3,87.94,39.5,40.37,79.85,257.75,2.36,0.97,19.79,0.83,38.56,0.84,1.05,,,0.1,7.84,,0.0,10.63
2022-11-26 03:00:00,2022-11-26 04:00:00,38.39,104.25,38.6,40.5,79.06,277.99,2.3,0.88,21.3,0.76,38.18,0.82,1.03,,,0.08,7.82,,0.0,10.43
2022-11-26 04:00:00,2022-11-26 05:00:00,37.62,79.97,37.24,39.51,76.73,268.02,2.34,0.86,19.58,0.71,37.58,0.78,0.95,,,0.09,7.83,,0.0,10.16
2022-11-26 05:00:00,2022-11-26 06:00:00,41.01,72.2,36.69,38.2,74.86,267.76,2.14,0.85,19.44,0.69,36.89,0.76,0.93,,,0.1,7.88,,0.0,9.7
2022-11-26 06:00:00,2022-11-26 07:00:00,31.59,85.6,37.87,39.24,77.15,260.94,2.27,0.86,21.09,0.69,36.1,0.75,0.91,,,0.18,16.78,,0.0,9.74
2022-11-26 07:00:00,2022-11-26 08:00:00,40.25,121.64,38.97,41.3,80.33,244.52,2.24,0.96,20.23,0.92,35.55,0.78,1.06,,,0.15,41.12,,0.0,12.41
2022-11-26 08:00:00,2022-11-26 09:00:00,61.37,138.57,37.41,42.2,79.67,228.25,2.29,1.07,21.63,1.09,35.06,0.78,1.08,,,0.19,56.16,,0.0,16.11
2022-11-26 09:00:00,2022-11-26 10:00:00,60.27,131.86,34.35,42.47,76.81,232.18,3.58,1.14,28.8,1.12,35.95,0.78,1.06,,,0.27,65.61,,0.0,20.17
2022-11-26 10:00:00,2022-11-26 11:00:00,56.97,109.56,29.78,42.51,72.23,235.55,4.27,1.1,39.19,1.09,37.2,0.81,1.07,,,0.45,96.81,,0.0,21.93
