From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm)
2022-11-25 11:00:00,2022-11-25 12:00:00,58.93,106.96,6.12,24.8,21.73,45.23,6.17,0.83,71.38,1.11,38.67,0.27,0.69,0.42,29.26,0.7,75.05,446.46,22.66,0.0
2022-11-25 12:00:00,2022-11-25 13:00:00,70.3,117.41,6.18,22.6,20.54,45.42,26.26,0.74,66.39,1.01,35.44,0.25,0.59,0.37,24.8,0.57,135.1,162.57,23.88,0.0
2022-11-25 13:00:00,2022-11-25 14:00:00,69.19,102.66,6.07,22.54,20.48,45.35,17.45,0.65,59.13,0.79,31.88,0.21,0.48,0.3,21.55,0.4,123.14,173.12,24.97,0.0
2022-11-25 14:00:00,2022-11-25 15:00:00,58.77,96.23,5.69,18.82,18.19,45.65,9.25,0.56,54.28,0.66,33.77,0.21,0.53,0.34,18.72,0.39,26.39,128.29,25.4,0.0
2022-11-25 15:00:00,2022-11-25 16:00:00,58.61,110.69,6.44,19.86,19.36,45.35,11.43,0.54,49.39,0.59,33.83,0.22,0.52,0.35,22.35,0.29,187.05,75.39,24.96,0.0
2022-11-25 16:00:00,2022-11-25 17:00:00,53.97,117.75,6.68,20.62,19.96,45.36,4.08,0.56,44.9,0.79,35.55,0.23,0.55,0.38,35.01,0.25,84.84,51.49,21.91,0.0
2022-11-25 17:00:00,2022-11-25 18:00:00,51.96,92.5,6.56,19.5,19.27,45.57,0.07,0.73,28.62,0.73,38.43,0.26,0.66,0.44,60.7,0.32,228.1,31.71,16.05,0.0
2022-11-25 18:00:00,2022-11-25 19:00:00,53.28,125.65,9.33,22.59,23.16,45.2,,1.13,7.69,2.28,47.74,0.48,1.96,0.97,77.21,0.26,248.65,29.78,13.07,0.0
2022-11-25 19:00:00,2022-11-25 20:00:00,53.97,175.58,19.88,22.35,31.61,43.3,0.24,1.25,3.17,2.34,50.4,0.51,1.97,1.01,81.12,0.24,265.06,29.48,11.45,0.0
2022-11-25 20:00:00,2022-11-25 21:00:00,53.14,153.53,45.32,18.37,50.17,39.67,1.87,1.4,2.85,1.91,50.53,0.45,1.53,0.83,82.66,0.15,267.61,28.85,10.73,0.0
2022-11-25 21:00:00,2022-11-25 22:00:00,61.18,199.38,43.51,19.59,49.35,39.74,2.86,1.17,2.98,1.76,50.75,0.41,1.24,0.73,83.93,0.17,272.23,27.99,10.15,0.0
2022-11-25 22:00:00,2022-11-25 23:00:00,62.52,188.82,56.74,15.47,57.92,38.22,1.76,1.15,2.47,1.42,50.19,0.34,1.0,0.61,84.96,0.26,253.34,26.63,9.55,0.0
2022-11-25 23:00:00,2022-11-26 00:00:00,62.05,230.1,54.95,14.62,56.01,38.59,1.28,1.17,3.34,1.29,50.0,0.34,1.02,0.61,83.72,0.17,155.21,25.04,9.45,0.0
2022-11-26 00:00:00,2022-11-26 01:00:00,62.46,185.7,57.41,13.94,57.65,37.95,1.57,1.25,3.01,1.05,48.76,0.28,0.7,0.46,83.08,0.21,91.05,24.39,9.32,0.0
2022-11-26 01:00:00,2022-11-26 02:00:00,65.24,172.17,55.6,12.25,55.27,38.42,0.93,1.12,3.09,0.94,48.51,0.27,0.64,0.44,86.78,0.26,262.8,22.04,8.48,0.0
2022-11-26 02:00:00,2022-11-26 03:00:00,65.65,179.1,79.07,7.46,71.81,36.55,0.22,1.11,2.84,0.86,47.96,0.26,0.6,0.41,87.72,0.18,287.2,20.51,8.25,0.0
2022-11-26 03:00:00,2022-11-26 04:00:00,61.82,201.44,63.43,11.69,61.35,37.56,,0.98,2.72,0.8,48.12,0.26,0.58,0.4,87.01,0.14,187.3,19.37,8.04,0.0
