From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),RF (mm),AT (degree C)
2022-11-25 12:00:00,2022-11-25 13:00:00,49.55,82.04,2.58,95.73,98.3,,14.37,0.3,89.59,0.88,1.11,0.09,0.02,,38.86,7.51,269.88,688.38,,,0.0,25.69
2022-11-25 13:00:00,2022-11-25 14:00:00,35.7,57.47,3.71,71.74,75.45,8.79,10.13,0.28,99.46,0.62,0.32,0.03,,0.01,41.2,8.76,296.68,603.38,,,0.0,26.2
2022-11-25 14:00:00,2022-11-25 15:00:00,70.52,117.8,3.56,74.28,77.87,8.81,6.06,0.24,76.95,0.6,0.56,0.05,,0.03,40.63,2.78,284.4,475.8,,,0.0,25.81
2022-11-25 15:00:00,2022-11-25 16:00:00,63.43,104.03,3.33,71.12,74.45,8.93,5.87,0.22,78.21,0.48,0.36,0.04,,0.02,41.4,0.58,288.15,312.73,,,0.0,25.34
2022-11-25 16:00:00,2022-11-25 17:00:00,61.39,89.42,4.9,83.6,88.5,9.3,6.27,0.23,74.52,0.45,0.38,0.04,,0.02,45.15,0.85,287.7,111.19,,,0.0,23.29
2022-11-25 17:00:00,2022-11-25 18:00:00,67.64,97.27,8.28,129.99,138.27,7.5,7.33,0.29,74.63,1.02,0.29,0.04,,0.02,48.67,0.93,290.5,48.02,,,0.0,21.56
2022-11-25 18:00:00,2022-11-25 19:00:00,74.54,106.72,10.18,127.89,138.07,7.77,7.18,0.28,76.67,1.72,0.45,0.05,,0.02,47.98,0.62,293.67,45.94,,,0.0,20.97
2022-11-25 19:00:00,2022-11-25 20:00:00,69.96,104.41,5.33,147.13,152.46,5.76,6.62,0.2,77.01,0.74,0.25,0.04,,0.01,41.06,0.22,234.99,46.31,,,0.0,21.02
2022-11-25 20:00:00,2022-11-25 21:00:00,67.91,111.51,2.58,164.5,167.08,5.38,6.58,0.15,80.3,0.42,0.21,0.04,,0.01,39.72,0.15,197.91,46.41,,,0.0,21.09
2022-11-25 21:00:00,2022-11-25 22:00:00,66.45,109.42,1.76,107.93,109.69,9.09,7.43,0.14,93.26,0.38,0.15,0.02,,,40.02,0.11,76.83,46.98,,,0.0,20.93
2022-11-25 22:00:00,2022-11-25 23:00:00,59.85,85.32,8.36,194.65,203.01,7.88,12.09,0.17,81.72,0.33,0.12,0.01,,,33.95,0.21,156.63,46.31,,,0.0,21.46
2022-11-25 23:00:00,2022-11-26 00:00:00,54.18,76.1,7.56,148.71,156.27,8.08,11.46,0.18,85.84,0.35,0.14,0.02,,,40.55,0.7,295.03,45.39,,,0.0,20.58
2022-11-26 00:00:00,2022-11-26 01:00:00,56.67,94.94,4.05,123.3,127.34,8.66,15.25,0.22,101.79,0.51,0.15,0.01,,0.01,43.74,0.44,310.94,45.83,,,0.0,20.46
2022-11-26 01:00:00,2022-11-26 02:00:00,57.07,102.67,3.02,136.72,139.75,7.74,18.99,0.25,97.62,1.42,0.26,0.02,,0.01,44.1,0.29,166.8,46.23,,,0.0,20.27
