From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C)
2022-11-25 11:00:00,2022-11-25 12:00:00,75.23,93.54,3.51,27.57,22.29,42.58,15.63,1.14,80.91,4.26,24.66,2.86,1.44,3.16,33.4,0.23,335.55,616.59,21.46
2022-11-25 12:00:00,2022-11-25 13:00:00,76.06,92.89,45.49,116.92,99.62,43.72,12.88,1.19,66.98,4.17,24.81,2.91,1.44,3.12,30.52,0.27,314.68,624.27,22.29
2022-11-25 13:00:00,2022-11-25 14:00:00,77.87,88.31,31.23,114.18,90.33,46.05,11.51,1.21,65.46,4.11,25.14,2.99,1.45,3.12,29.16,0.24,316.43,574.19,23.19
2022-11-25 14:00:00,2022-11-25 15:00:00,70.69,82.31,3.28,28.08,22.37,42.74,10.4,0.88,78.08,3.82,25.63,2.94,1.41,3.0,29.05,0.31,319.36,465.99,23.2
2022-11-25 15:00:00,2022-11-25 16:00:00,56.37,79.96,6.9,43.39,33.46,41.91,16.99,0.8,84.15,3.54,26.41,2.94,1.36,2.84,32.73,0.28,330.86,213.1,21.92
2022-11-25 16:00:00,2022-11-25 17:00:00,62.51,82.27,19.18,100.96,73.35,39.54,17.03,0.68,68.13,3.76,27.38,3.04,1.07,2.98,40.51,0.15,253.45,36.16,19.1
2022-11-25 17:00:00,2022-11-25 18:00:00,72.32,90.61,3.58,49.5,34.02,40.19,10.8,0.55,52.64,4.44,28.23,3.24,1.54,3.28,51.0,0.05,196.75,2.91,15.5
2022-11-25 18:00:00,2022-11-25 19:00:00,75.0,92.54,17.46,95.03,69.52,32.28,6.91,1.11,8.34,4.85,30.12,3.41,1.83,4.29,65.02,0.1,142.19,1.61,13.44
2022-11-25 19:00:00,2022-11-25 20:00:00,85.3,117.85,14.92,72.07,55.23,35.6,6.09,0.98,13.55,6.04,33.95,3.52,2.44,6.55,74.79,0.11,122.22,1.48,11.97
2022-11-25 20:00:00,2022-11-25 21:00:00,98.75,129.34,16.47,62.96,51.66,36.11,5.0,1.03,10.23,6.77,35.66,3.49,2.35,7.34,82.78,0.17,120.5,1.52,10.5
2022-11-25 21:00:00,2022-11-25 22:00:00,96.14,129.28,11.67,53.33,42.63,38.33,4.54,0.95,10.75,7.12,35.56,3.42,2.42,7.57,85.95,0.09,106.11,1.32,9.71
2022-11-25 22:00:00,2022-11-25 23:00:00,87.2,120.78,9.12,42.66,34.87,40.06,4.37,0.97,11.67,7.0,34.55,3.3,2.0,7.28,87.45,0.1,100.3,1.52,8.86
2022-11-25 23:00:00,2022-11-26 00:00:00,86.07,109.96,7.12,32.97,28.1,41.45,4.14,0.97,19.09,6.53,32.84,3.16,2.42,6.46,89.47,0.06,68.53,1.49,8.07
2022-11-26 00:00:00,2022-11-26 01:00:00,82.38,103.74,3.93,25.6,21.59,42.96,3.89,0.77,18.38,5.77,30.04,2.25,1.59,5.38,90.48,0.15,124.74,1.49,7.66
2022-11-26 01:00:00,2022-11-26 02:00:00,66.36,89.36,3.57,24.19,20.54,43.15,3.65,0.8,15.86,5.12,28.06,2.83,1.85,4.62,91.13,0.14,113.72,1.43,7.31
2022-11-26 02:00:00,2022-11-26 03:00:00,60.3,82.31,3.17,21.11,18.59,43.56,3.46,0.87,15.75,4.57,26.32,2.71,1.23,3.97,92.72,0.07,78.29,1.57,6.45
2022-11-26 03:00:00,2022-11-26 04:00:00,58.62,76.66,3.19,20.21,18.12,43.64,3.17,0.91,13.78,4.07,24.77,2.58,1.31,3.41,94.14,0.08,76.91,1.52,5.98
2022-11-26 04:00:00,2022-11-26 05:00:00,58.66,72.85,5.25,22.18,20.84,43.02,2.95,0.86,9.11,3.63,23.38,2.49,1.17,2.98,94.51,0.06,118.62,1.52,5.69
2022-11-26 05:00:00,2022-11-26 06:00:00,56.42,68.14,8.62,28.14,26.75,41.83,2.72,0.89,4.65,3.32,22.33,2.37,1.25,2.69,93.94,0.05,78.48,1.53,5.44
2022-11-26 06:00:00,2022-11-26 07:00:00,58.17,64.89,16.91,40.15,39.88,38.93,2.9,0.93,4.23,3.22,21.66,2.27,1.03,2.5,95.27,0.09,116.62,13.2,5.19
2022-11-26 07:00:00,2022-11-26 08:00:00,69.51,89.59,15.85,38.66,38.23,39.13,4.04,1.05,11.44,3.8,21.96,2.24,1.07,2.75,87.07,0.32,130.79,57.22,7.61
