From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3)
2023-01-12 15:00:00,2023-01-12 16:00:00,98.5,181.38,5.91,12.71,15.44,,
2023-01-12 16:00:00,2023-01-12 17:00:00,88.95,177.46,6.07,12.74,14.39,,0.57
2023-01-12 17:00:00,2023-01-12 18:00:00,74.21,174.6,6.04,12.73,11.48,,0.64
2023-01-12 18:00:00,2023-01-12 19:00:00,108.72,180.49,6.17,12.7,11.57,,0.79
2023-01-12 19:00:00,2023-01-12 20:00:00,112.09,201.01,6.0,12.61,11.38,,0.8
2023-01-12 20:00:00,2023-01-12 21:00:00,132.23,194.39,5.97,12.58,11.35,,0.82
2023-01-12 21:00:00,2023-01-12 22:00:00,148.88,241.12,6.08,12.69,11.5,,0.88
2023-01-12 22:00:00,2023-01-12 23:00:00,164.68,287.8,5.96,12.69,11.4,,0.98
2023-01-12 23:00:00,2023-01-13 00:00:00,151.57,301.55,6.13,12.72,11.55,,1.0
2023-01-13 00:00:00,2023-01-13 01:00:00,160.39,265.24,6.38,12.64,11.71,,0.94
2023-01-13 01:00:00,2023-01-13 02:00:00,111.04,217.31,6.19,12.7,11.58,,0.86
2023-01-13 02:00:00,2023-01-13 03:00:00,98.63,175.64,6.03,12.64,11.42,,0.81
2023-01-13 03:00:00,2023-01-13 04:00:00,88.64,164.58,6.09,12.67,11.49,,0.79
2023-01-13 04:00:00,2023-01-13 05:00:00,103.83,143.26,5.87,12.61,11.28,,0.78
2023-01-13 05:00:00,2023-01-13 06:00:00,81.09,140.92,6.07,12.7,11.49,,0.77
2023-01-13 06:00:00,2023-01-13 07:00:00,98.65,148.26,5.97,12.71,11.41,,0.78
2023-01-13 07:00:00,2023-01-13 08:00:00,101.34,159.17,6.02,12.59,11.39,,0.78
2023-01-13 08:00:00,2023-01-13 09:00:00,114.29,170.12,6.14,12.73,11.56,,0.79
2023-01-13 09:00:00,2023-01-13 10:00:00,122.32,170.54,6.3,12.7,11.67,,0.77
2023-01-13 10:00:00,2023-01-13 11:00:00,131.59,171.56,6.25,12.73,11.64,,0.77
2023-01-13 11:00:00,2023-01-13 12:00:00,98.72,181.92,6.08,12.72,11.51,,0.82
2023-01-13 12:00:00,2023-01-13 13:00:00,96.05,192.78,6.08,12.51,11.39,,0.94
2023-01-13 13:00:00,2023-01-13 14:00:00,40.3,68.95,7.67,15.21,14.03,,0.95
2023-01-13 14:00:00,2023-01-13 15:00:00,69.33,139.01,7.71,16.24,14.71,,0.83
2023-01-13 15:00:00,2023-01-13 16:00:00,93.84,161.82,7.4,16.38,14.54,,0.79
2023-01-13 16:00:00,2023-01-13 17:00:00,69.03,166.78,7.47,16.39,14.6,,0.78
2023-01-13 17:00:00,2023-01-13 18:00:00,99.4,169.75,7.36,16.37,14.5,,0.81
2023-01-13 18:00:00,2023-01-13 19:00:00,96.91,171.28,7.08,17.79,15.01,,0.79
2023-01-13 19:00:00,2023-01-13 20:00:00,76.93,142.4,6.99,20.19,16.2,,0.79
2023-01-13 20:00:00,2023-01-13 21:00:00,72.12,151.95,6.83,19.8,15.87,,0.84
2023-01-13 21:00:00,2023-01-13 22:00:00,67.46,174.68,6.68,20.02,15.85,,0.9
2023-01-13 22:00:00,2023-01-13 23:00:00,68.28,206.3,6.74,19.97,15.88,,0.95
2023-01-13 23:00:00,2023-01-14 00:00:00,86.96,212.73,6.44,20.0,15.65,,0.98
2023-01-14 00:00:00,2023-01-14 01:00:00,73.24,180.83,6.54,19.93,15.7,,0.87
2023-01-14 01:00:00,2023-01-14 02:00:00,67.02,129.42,6.57,20.06,15.79,,0.81
2023-01-14 02:00:00,2023-01-14 03:00:00,45.39,117.96,6.93,19.98,16.04,,0.78
