From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C)
2023-02-19 23:00:00,2023-02-20 00:00:00,118.61,341.68,13.26,22.91,26.81,31.45,2.19,0.3,6.71,0.21,12.72,9.43,2.65,1.42,,66.64,0.21,129.31,14.1,,,20.84
2023-02-20 00:00:00,2023-02-20 01:00:00,113.13,273.92,12.2,20.18,24.49,31.84,1.33,0.49,5.1,0.2,12.03,9.54,2.23,1.19,,71.37,0.39,192.22,14.02,,,19.93
2023-02-20 01:00:00,2023-02-20 02:00:00,99.88,197.97,6.81,19.79,19.9,32.1,0.96,0.36,7.08,0.13,9.36,8.99,1.52,0.85,,71.86,0.37,190.81,13.59,,,19.49
2023-02-20 02:00:00,2023-02-20 03:00:00,96.17,196.05,7.43,19.43,20.22,32.04,0.93,0.4,6.26,0.15,10.23,9.9,1.99,0.99,,73.14,0.31,173.09,14.0,,,18.93
2023-02-20 03:00:00,2023-02-20 04:00:00,96.51,212.02,8.0,17.45,19.62,31.89,0.72,0.3,6.24,0.16,10.89,10.04,2.0,1.11,,75.72,0.22,173.7,14.13,,,18.37
2023-02-20 04:00:00,2023-02-20 05:00:00,94.74,212.5,19.43,9.25,24.55,31.3,0.79,0.3,4.44,0.17,12.25,10.45,1.89,1.12,,77.52,0.38,200.99,13.86,,,18.02
2023-02-20 05:00:00,2023-02-20 06:00:00,91.27,218.48,8.46,15.59,19.01,31.5,0.65,0.34,5.55,0.12,17.25,11.65,2.35,1.04,,76.61,0.38,187.28,14.09,,,17.46
2023-02-20 06:00:00,2023-02-20 07:00:00,91.98,225.76,15.3,12.63,22.99,31.35,0.79,0.33,5.4,0.09,17.5,11.19,2.11,0.96,,77.14,0.26,179.95,27.91,,,17.28
2023-02-20 07:00:00,2023-02-20 08:00:00,101.47,254.77,14.13,14.96,23.29,31.83,0.75,0.3,6.66,0.11,20.36,12.47,2.75,1.38,,71.48,0.44,219.11,104.93,,,18.81
2023-02-20 08:00:00,2023-02-20 09:00:00,111.82,279.17,9.84,20.07,22.52,32.06,0.97,0.64,15.61,0.17,20.15,12.87,2.84,1.24,,61.65,0.27,263.52,200.95,,,21.45
