From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),RF (mm)
2018-04-26 14:00:00,2018-04-26 15:00:00,31.35,,,,,,,,,,,,
2018-04-26 15:00:00,2018-04-26 16:00:00,8.36,,,,,,,,,,,,
2018-04-26 16:00:00,2018-04-26 17:00:00,23.03,,,,,,,,,,,,
2018-04-26 17:00:00,2018-04-26 18:00:00,30.55,122.98,10.58,14.03,24.18,7.41,0.72,,,,,960.0,0.0
2018-04-26 18:00:00,2018-04-26 19:00:00,31.82,117.48,,13.03,,6.61,0.54,,,,,,
2018-04-26 19:00:00,2018-04-26 20:00:00,39.87,152.68,,13.53,,8.93,0.5,,,,,,
2018-04-26 20:00:00,2018-04-26 21:00:00,77.07,245.2,,13.66,,8.2,0.48,,,,,,
2018-04-26 21:00:00,2018-04-26 22:00:00,96.44,280.72,,12.92,,7.94,0.45,,,,,,
2018-04-26 22:00:00,2018-04-26 23:00:00,88.15,257.38,,13.85,,7.21,0.49,,,,,,
2018-04-26 23:00:00,2018-04-27 00:00:00,82.26,254.72,,13.83,,7.09,0.43,,,,,,
2018-04-27 00:00:00,2018-04-27 01:00:00,88.04,225.15,,,,6.21,0.5,,,,,,
2018-04-27 01:00:00,2018-04-27 02:00:00,83.39,234.55,,,,8.5,0.51,,,,,,
2018-04-27 02:00:00,2018-04-27 03:00:00,78.62,240.43,,,,7.43,0.54,,,,,,
2018-04-27 03:00:00,2018-04-27 04:00:00,75.43,198.78,,13.08,,7.95,0.53,,,,,,
2018-04-27 04:00:00,2018-04-27 05:00:00,64.12,156.76,,12.72,,6.69,0.62,,,,,,
2018-04-27 05:00:00,2018-04-27 06:00:00,64.81,157.43,,14.74,,7.33,0.67,,,,,,
2018-04-27 06:00:00,2018-04-27 07:00:00,56.75,144.43,,13.5,,6.05,0.55,,,,,,
2018-04-27 07:00:00,2018-04-27 08:00:00,46.66,106.25,,13.16,,7.08,0.57,,,,,,
2018-04-27 08:00:00,2018-04-27 09:00:00,49.84,86.85,,14.28,,7.67,0.47,,,,,,
2018-04-27 09:00:00,2018-04-27 10:00:00,60.87,114.41,,13.17,,7.68,0.3,,,,,,
2018-04-27 10:00:00,2018-04-27 11:00:00,48.64,128.53,,14.13,,7.63,0.52,,,,,,
2018-04-27 11:00:00,2018-04-27 12:00:00,41.5,121.5,,13.66,,7.78,0.47,,,,,,
2018-04-27 12:00:00,2018-04-27 13:00:00,40.14,119.8,,14.04,,7.07,0.56,,,,,,
2018-04-27 13:00:00,2018-04-27 14:00:00,10.55,54.43,,13.04,,7.92,0.55,,,,,,
2018-04-27 14:00:00,2018-04-27 15:00:00,2.71,27.85,,12.19,,6.54,0.55,,,,,,
2018-04-27 15:00:00,2018-04-27 16:00:00,17.47,76.45,,13.54,,7.04,0.55,,,,,,
2018-04-27 16:00:00,2018-04-27 17:00:00,26.42,110.2,,13.98,,5.3,0.6,,,,,,
2018-04-27 17:00:00,2018-04-27 18:00:00,31.77,140.89,,13.21,,6.76,0.71,,,,,,
2018-04-27 18:00:00,2018-04-27 19:00:00,47.75,321.91,,13.95,,4.92,0.59,,,,,,
2018-04-27 19:00:00,2018-04-27 20:00:00,47.25,317.81,,13.4,,7.88,0.55,,,,,,
2018-04-27 20:00:00,2018-04-27 21:00:00,35.8,201.21,,13.48,,6.88,0.5,,,,,,
2018-04-27 21:00:00,2018-04-27 22:00:00,37.23,156.88,,13.29,,7.36,0.49,,,,,,
2018-04-27 22:00:00,2018-04-27 23:00:00,46.74,136.36,,13.13,,6.4,0.56,,,,,,
2018-04-27 23:00:00,2018-04-28 00:00:00,54.0,150.32,,14.19,,8.83,0.57,,,,,,
2018-04-28 00:00:00,2018-04-28 01:00:00,62.33,176.51,,,,7.37,0.5,,,,,,
2018-04-28 01:00:00,2018-04-28 02:00:00,55.94,159.7,,,,7.81,0.52,,,,,,
2018-04-28 02:00:00,2018-04-28 03:00:00,49.01,128.04,,,,6.5,0.58,,,,,,
2018-04-28 03:00:00,2018-04-28 04:00:00,48.0,117.44,,13.84,,7.96,0.59,,,,,,
2018-04-28 04:00:00,2018-04-28 05:00:00,48.12,108.51,,12.7,,6.31,0.58,,,,,,
2018-04-28 05:00:00,2018-04-28 06:00:00,49.89,119.64,,13.33,,7.12,0.62,,,,,,
2018-04-28 06:00:00,2018-04-28 07:00:00,42.14,93.26,,13.98,,6.24,0.56,,,,,,
2018-04-28 07:00:00,2018-04-28 08:00:00,42.81,87.67,,13.6,,7.93,0.57,,,,,,
2018-04-28 08:00:00,2018-04-28 09:00:00,46.06,101.31,,12.63,,6.83,0.52,,,,,,
2018-04-28 09:00:00,2018-04-28 10:00:00,45.88,113.16,,12.54,,8.47,0.56,,,,,,
2018-04-28 10:00:00,2018-04-28 11:00:00,39.98,101.26,,15.35,,7.84,0.52,,,,,,
2018-04-28 11:00:00,2018-04-28 12:00:00,35.66,120.82,,13.45,,9.31,0.5,,,,,,
2018-04-28 12:00:00,2018-04-28 13:00:00,33.61,135.45,,14.03,,8.47,0.45,,,,,,
2018-04-28 13:00:00,2018-04-28 14:00:00,30.15,136.06,,12.51,,8.52,0.47,,,,,,
2018-04-28 14:00:00,2018-04-28 15:00:00,20.87,129.92,,13.57,,7.54,0.5,,,,,,
2018-04-28 15:00:00,2018-04-28 16:00:00,23.86,112.49,,13.81,,7.89,0.47,,,,,,
2018-04-28 16:00:00,2018-04-28 17:00:00,25.52,29.94,,13.12,,7.15,0.48,,,,,,
2018-04-28 17:00:00,2018-04-28 18:00:00,23.91,54.1,,13.69,,9.33,0.47,,,,,,
2018-04-28 18:00:00,2018-04-28 19:00:00,40.0,136.57,,14.36,,8.58,0.54,,,,,,
2018-04-28 19:00:00,2018-04-28 20:00:00,39.02,209.62,,13.59,,8.69,0.45,,,,,,
2018-04-28 20:00:00,2018-04-28 21:00:00,35.84,148.22,,12.48,,7.61,0.49,,,,,,
2018-04-28 21:00:00,2018-04-28 22:00:00,30.58,116.09,,13.22,,8.72,0.44,,,,,,
2018-04-28 22:00:00,2018-04-28 23:00:00,21.52,75.32,,12.95,,8.11,0.47,,,,,,
2018-04-28 23:00:00,2018-04-29 00:00:00,29.39,74.45,,13.95,,7.23,0.43,,,,,,
2018-04-29 00:00:00,2018-04-29 01:00:00,44.07,79.69,,,,6.47,0.51,,,,,,
