From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2021-01-12 14:00:00,2021-01-12 15:00:00,22.0,43.0,2.75,14.1,9.75,6.65,7.35,0.74,43.31,0.15,0.8,,,,,80.5,2.9,132.0,118.0,754.0,,28.5,0.0
2021-01-12 15:00:00,2021-01-12 16:00:00,17.5,43.0,2.15,12.4,8.32,5.85,7.02,0.73,40.87,0.1,0.65,,,,27.73,80.0,2.85,130.75,56.25,754.0,,28.28,0.0
2021-01-12 16:00:00,2021-01-12 17:00:00,20.25,45.75,2.12,12.55,8.38,6.45,7.07,0.74,41.8,0.1,0.62,,,,27.75,81.25,2.95,129.0,18.75,754.0,,28.05,0.0
2021-01-12 17:00:00,2021-01-12 18:00:00,24.75,45.75,2.5,16.1,10.62,9.68,7.12,0.83,38.02,0.15,0.85,,,,26.6,81.25,2.55,126.75,5.25,754.75,,27.9,0.0
2021-01-12 18:00:00,2021-01-12 19:00:00,27.75,47.75,5.15,22.02,15.88,6.5,4.52,1.01,32.09,0.2,1.2,,,,23.4,82.25,2.18,115.0,1.0,755.5,,27.7,0.0
2021-01-12 19:00:00,2021-01-12 20:00:00,29.75,48.0,4.27,21.22,14.78,6.18,3.4,0.98,31.75,0.23,1.3,,,,23.3,83.75,1.93,116.75,1.0,756.25,,27.48,0.0
2021-01-12 20:00:00,2021-01-12 21:00:00,28.0,49.75,3.23,15.77,11.05,5.75,3.03,0.78,35.58,0.22,1.1,,,,23.05,84.5,2.02,109.0,1.0,757.25,,27.27,0.0
2021-01-12 21:00:00,2021-01-12 22:00:00,25.0,46.25,2.45,13.35,9.08,5.85,3.88,0.68,34.01,0.15,0.78,,,,24.48,85.75,1.88,108.5,1.0,758.0,,26.9,0.0
2021-01-12 22:00:00,2021-01-12 23:00:00,23.5,47.5,2.27,14.62,9.6,6.35,6.15,0.66,30.72,0.12,0.73,,,,27.38,86.25,1.6,106.0,1.0,758.0,,26.68,0.0
2021-01-12 23:00:00,2021-01-13 00:00:00,22.5,51.0,1.2,13.25,8.03,7.4,8.0,0.56,30.97,0.1,0.57,,,,27.18,87.25,1.7,97.0,1.0,758.0,,26.3,0.0
