From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm),Xylene (ug/m3)
2023-02-08 17:00:00,2023-02-08 18:00:00,10.33,56.33,3.03,8.47,7.0,,2.63,0.33,97.17,0.2,1.63,0.17,0.03,,20.67,0.2,128.67,60.0,19.3,,
2023-02-08 18:00:00,2023-02-08 19:00:00,12.0,81.75,3.45,32.75,20.23,,2.35,0.76,23.38,0.3,2.58,0.4,0.05,,31.25,0.28,128.25,52.0,17.58,,
2023-02-08 19:00:00,2023-02-08 20:00:00,68.0,158.75,9.07,47.8,32.83,,2.45,1.24,3.9,1.55,8.07,2.9,0.25,0.08,30.5,0.35,128.5,51.5,16.98,,
2023-02-08 20:00:00,2023-02-08 21:00:00,62.75,223.25,13.57,51.65,38.52,,2.33,1.14,2.55,1.25,6.27,2.17,0.22,0.08,31.25,0.27,128.5,50.75,16.6,,
2023-02-08 21:00:00,2023-02-08 22:00:00,47.25,160.0,14.93,49.33,38.33,,1.62,0.9,4.33,1.1,6.35,2.1,0.2,0.08,36.5,0.38,128.5,49.5,15.85,,
2023-02-08 22:00:00,2023-02-08 23:00:00,37.25,131.0,11.45,43.33,32.32,,1.48,0.52,19.75,0.68,3.77,1.15,0.1,,34.5,0.4,128.5,47.75,15.77,,
2023-02-08 23:00:00,2023-02-09 00:00:00,26.25,102.25,8.72,46.38,31.75,,1.25,0.64,8.6,0.5,3.47,0.93,0.1,0.05,40.5,0.15,128.5,46.75,15.25,,
2023-02-09 00:00:00,2023-02-09 01:00:00,19.75,126.75,11.35,45.03,33.17,,1.75,0.63,8.5,0.6,4.22,1.57,0.1,0.05,44.25,0.25,128.5,45.25,14.97,,
2023-02-09 01:00:00,2023-02-09 02:00:00,14.0,131.75,6.97,38.72,26.32,,1.6,0.42,32.3,0.43,2.95,0.75,0.08,0.03,41.5,0.23,128.5,44.5,15.03,,
2023-02-09 02:00:00,2023-02-09 03:00:00,19.0,83.5,4.45,33.72,21.55,,1.05,0.36,37.75,0.38,2.25,0.55,0.03,0.03,43.75,0.25,128.5,43.75,14.85,,
2023-02-09 03:00:00,2023-02-09 04:00:00,18.0,73.0,3.4,29.85,18.65,,0.6,0.4,23.62,0.32,2.15,0.45,0.05,0.08,51.0,0.32,128.25,43.0,14.2,,
2023-02-09 04:00:00,2023-02-09 05:00:00,9.5,77.0,3.4,28.65,18.0,,1.05,0.39,38.15,0.33,2.0,0.43,,0.08,48.5,0.35,128.5,43.25,14.5,,
2023-02-09 05:00:00,2023-02-09 06:00:00,18.75,79.25,3.38,29.8,18.6,,0.85,0.49,23.62,0.5,2.05,0.43,,,53.5,0.47,128.5,44.25,13.78,,
2023-02-09 06:00:00,2023-02-09 07:00:00,23.25,83.5,3.38,29.83,18.62,,0.92,0.53,43.8,0.58,2.05,0.4,,0.05,36.0,0.55,128.5,45.5,15.15,,
2023-02-09 07:00:00,2023-02-09 08:00:00,24.0,106.0,4.1,29.47,19.02,,0.95,0.73,30.82,1.07,2.42,0.55,0.03,0.05,42.5,0.57,128.5,52.0,14.72,,
2023-02-09 08:00:00,2023-02-09 09:00:00,44.0,142.0,4.22,24.18,16.27,,0.73,0.6,50.02,1.0,2.55,0.6,0.05,0.12,45.5,0.6,128.5,93.5,15.4,,
2023-02-09 09:00:00,2023-02-09 10:00:00,44.0,162.75,4.5,21.32,14.98,,1.62,0.67,69.28,0.88,3.05,0.65,0.05,0.1,33.5,0.57,128.5,157.5,17.73,,
2023-02-09 10:00:00,2023-02-09 11:00:00,,168.25,3.25,11.65,8.8,,2.35,0.33,97.05,0.62,2.88,0.53,0.03,0.12,24.5,1.23,128.5,213.0,18.75,,
2023-02-09 11:00:00,2023-02-09 12:00:00,16.0,66.25,3.05,7.47,6.45,,1.75,0.31,101.93,0.45,2.52,0.28,,0.05,23.25,1.3,128.5,253.5,19.2,,
2023-02-09 12:00:00,2023-02-09 13:00:00,14.75,65.0,3.1,7.92,6.72,,2.25,0.3,94.0,0.38,2.27,0.25,0.03,,22.25,1.48,128.5,264.5,19.7,,
2023-02-09 13:00:00,2023-02-09 14:00:00,12.0,79.5,3.25,7.97,6.88,,2.47,0.32,103.62,0.3,2.08,0.23,,0.08,24.5,1.52,128.25,252.0,19.9,,
2023-02-09 14:00:00,2023-02-09 15:00:00,15.5,90.75,3.15,7.75,6.7,,2.55,0.3,102.9,0.3,2.0,0.17,,0.05,22.5,1.55,128.5,245.0,20.2,,
2023-02-09 15:00:00,2023-02-09 16:00:00,19.25,78.25,3.25,7.65,6.72,,2.15,0.32,102.32,0.27,1.8,0.12,,0.05,22.0,1.42,128.5,193.5,20.25,,
2023-02-09 16:00:00,2023-02-09 17:00:00,19.5,86.25,3.27,7.75,6.78,,2.1,0.32,105.25,0.25,1.85,0.2,,,23.25,1.35,128.5,105.0,20.02,,
2023-02-09 17:00:00,2023-02-09 18:00:00,18.0,99.0,3.1,6.53,6.0,,2.05,0.3,97.17,0.3,1.73,0.15,,0.03,25.75,1.0,128.5,23.25,19.4,,
2023-02-09 18:00:00,2023-02-09 19:00:00,,94.0,2.85,8.48,6.83,,2.1,0.38,75.6,0.3,1.75,0.2,,0.03,30.25,0.62,128.5,7.25,18.27,,
2023-02-09 19:00:00,2023-02-09 20:00:00,36.0,97.75,3.38,20.25,13.57,,2.12,0.38,49.9,0.4,2.18,0.33,0.03,0.05,34.0,0.72,128.5,6.0,17.65,,
2023-02-09 20:00:00,2023-02-09 21:00:00,36.0,113.0,3.23,22.38,14.53,,1.92,0.56,51.3,0.4,2.3,0.68,0.05,0.2,36.75,0.45,128.5,6.0,17.32,,
2023-02-09 21:00:00,2023-02-09 22:00:00,34.5,123.5,2.82,19.43,12.62,,1.72,0.47,56.1,0.47,2.78,0.85,0.08,0.1,33.5,0.4,128.5,6.0,17.5,,
2023-02-09 22:00:00,2023-02-09 23:00:00,30.0,106.5,3.17,19.05,12.72,,1.55,0.33,63.58,0.38,2.78,0.7,0.08,0.08,27.5,0.5,128.25,6.0,17.62,,
2023-02-09 23:00:00,2023-02-10 00:00:00,26.0,88.25,2.78,16.35,10.97,,1.55,0.31,60.65,0.28,2.1,0.35,0.03,0.1,28.25,0.38,128.5,14.25,17.52,,
2023-02-10 00:00:00,2023-02-10 01:00:00,19.5,74.75,2.8,16.1,10.85,,2.9,0.27,62.4,0.25,2.1,0.42,,,29.0,0.33,128.5,42.75,17.23,,
