From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ug/m3),NH3 (ug/m3),SO2 (ug/m3),CO (ug/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm),Xylene (ug/m3)
2023-02-08 17:00:00,2023-02-08 18:00:00,34.5,124.0,2.85,62.88,35.75,14.2,8.57,0.91,42.55,0.1,1.85,0.57,0.53,0.32,41.0,0.57,112.5,139.0,,27.9,0.0,
2023-02-08 18:00:00,2023-02-08 19:00:00,45.0,167.75,27.95,112.33,82.45,10.48,5.95,2.16,11.18,0.2,2.3,0.68,0.8,0.5,51.0,0.18,129.0,139.25,,26.68,0.0,
2023-02-08 19:00:00,2023-02-08 20:00:00,,255.25,65.97,108.6,111.43,11.53,6.8,2.88,3.72,0.35,3.48,1.0,1.4,0.95,60.0,0.12,214.75,148.75,,25.73,0.0,
2023-02-08 20:00:00,2023-02-08 21:00:00,,324.25,26.25,86.25,67.25,16.03,5.62,2.13,3.33,0.4,3.92,1.18,1.72,1.18,64.25,0.17,282.5,148.0,,25.25,0.0,
2023-02-08 21:00:00,2023-02-08 22:00:00,,304.25,3.07,74.7,42.27,17.3,4.17,1.66,6.35,0.4,3.85,1.05,1.65,1.1,63.25,0.17,282.0,150.0,,16.8,0.0,
2023-02-08 22:00:00,2023-02-08 23:00:00,,260.25,32.33,81.67,69.75,14.7,4.58,2.02,6.1,0.45,4.42,0.97,1.45,0.95,69.0,0.1,246.0,149.25,,13.62,0.0,
2023-02-08 23:00:00,2023-02-09 00:00:00,,291.75,32.55,86.72,72.6,18.2,4.72,1.95,4.53,0.5,4.6,1.0,1.5,0.97,66.0,0.17,122.25,146.75,,13.62,0.0,
2023-02-09 00:00:00,2023-02-09 01:00:00,,317.25,21.32,85.93,63.05,18.2,8.2,1.53,6.9,0.5,3.98,0.93,1.32,0.85,63.5,0.17,231.25,145.0,,13.68,0.0,
2023-02-09 01:00:00,2023-02-09 02:00:00,,290.0,10.95,60.75,41.23,18.95,5.65,1.15,6.83,0.45,3.2,0.73,1.05,0.65,72.25,0.25,264.75,154.25,,13.05,0.0,
2023-02-09 02:00:00,2023-02-09 03:00:00,,218.0,35.17,58.55,59.75,16.23,4.08,1.18,3.8,0.4,2.85,0.7,1.0,0.6,80.5,0.23,267.0,153.75,,12.7,0.0,
2023-02-09 03:00:00,2023-02-09 04:00:00,,178.25,28.5,50.3,49.92,17.98,2.95,0.93,2.75,0.33,2.77,0.7,0.9,0.62,84.5,0.23,269.0,161.75,,12.43,0.0,
2023-02-09 04:00:00,2023-02-09 05:00:00,,161.75,8.38,53.0,34.97,21.02,2.05,0.58,3.9,0.27,2.55,0.6,0.82,0.55,85.25,0.2,263.75,151.25,,12.27,0.0,
2023-02-09 05:00:00,2023-02-09 06:00:00,,155.0,12.57,45.5,34.4,18.48,1.65,0.56,4.83,0.2,2.08,0.45,0.62,0.35,87.25,0.22,280.25,153.0,,12.25,0.0,
2023-02-09 06:00:00,2023-02-09 07:00:00,,157.75,26.6,40.98,43.43,17.38,1.8,0.69,3.83,0.2,1.85,0.4,0.55,0.3,87.5,0.23,285.5,162.0,,12.18,0.0,
2023-02-09 07:00:00,2023-02-09 08:00:00,,139.5,53.27,50.55,70.2,16.98,2.4,1.19,3.25,0.2,1.83,0.4,0.55,0.3,83.25,0.23,182.0,187.25,,12.65,0.0,
2023-02-09 08:00:00,2023-02-09 09:00:00,,215.75,40.9,75.62,73.47,24.43,20.1,1.57,5.03,0.28,2.27,0.53,0.77,0.5,62.25,0.7,95.0,317.75,,14.12,0.0,
2023-02-09 09:00:00,2023-02-09 10:00:00,,359.0,19.75,61.6,48.83,24.45,65.2,0.9,15.77,0.3,2.25,0.5,0.73,0.43,51.0,0.88,108.0,393.0,,15.03,0.0,
2023-02-09 10:00:00,2023-02-09 11:00:00,,250.75,15.75,58.83,44.07,26.65,121.3,,20.85,0.35,2.15,0.47,0.93,0.38,45.0,1.0,96.0,402.25,,23.48,0.0,
2023-02-09 11:00:00,2023-02-09 12:00:00,49.0,237.5,9.85,35.05,26.62,26.25,24.85,,33.53,0.27,1.95,0.43,0.75,0.3,39.0,1.55,93.0,431.5,,24.37,0.0,
2023-02-09 12:00:00,2023-02-09 13:00:00,43.25,145.75,3.8,27.87,17.87,25.4,19.62,0.43,46.53,0.2,1.75,0.33,0.55,0.3,33.25,1.73,96.75,436.5,,27.05,0.0,
2023-02-09 13:00:00,2023-02-09 14:00:00,27.0,122.0,2.48,26.7,16.25,22.12,25.15,0.44,54.28,0.18,1.58,0.3,0.4,0.25,31.5,1.6,112.0,382.25,,28.05,0.0,
2023-02-09 14:00:00,2023-02-09 15:00:00,29.25,121.5,2.6,30.38,18.3,21.57,16.2,0.48,55.3,0.1,1.55,0.3,0.38,0.2,32.25,1.67,86.0,327.25,,28.83,0.0,
2023-02-09 15:00:00,2023-02-09 16:00:00,27.75,123.25,2.95,31.62,19.23,20.88,20.32,0.51,59.03,0.1,1.5,0.3,0.38,0.25,34.5,1.88,66.5,282.25,,28.8,0.0,
2023-02-09 16:00:00,2023-02-09 17:00:00,30.75,128.5,2.25,35.48,20.7,21.32,28.07,0.58,55.52,0.1,1.58,0.3,0.4,0.28,39.5,1.38,95.5,152.25,,28.47,0.0,
2023-02-09 17:00:00,2023-02-09 18:00:00,36.5,128.5,4.65,61.15,36.3,16.88,40.58,0.87,38.9,0.1,1.65,0.3,0.38,0.23,48.75,1.25,112.0,136.25,,27.6,0.0,
2023-02-09 18:00:00,2023-02-09 19:00:00,58.5,176.25,41.2,93.4,83.18,13.9,29.78,1.9,12.85,0.15,2.02,0.38,0.55,0.35,56.75,0.45,120.75,141.25,,26.48,0.0,
2023-02-09 19:00:00,2023-02-09 20:00:00,87.75,243.25,2.07,55.17,31.05,21.0,16.4,0.93,27.5,0.28,3.05,0.65,0.95,0.62,36.0,0.9,186.0,142.25,,26.98,0.0,
2023-02-09 20:00:00,2023-02-09 21:00:00,60.0,181.5,0.18,33.62,18.0,17.08,6.42,0.5,45.88,0.2,2.95,0.5,0.78,0.47,33.25,1.2,200.25,141.5,,27.02,0.0,
2023-02-09 21:00:00,2023-02-09 22:00:00,23.0,91.5,,25.33,13.37,15.93,4.9,0.42,49.12,0.2,2.33,0.38,0.57,0.33,37.0,0.8,167.0,141.25,,26.68,0.0,
