From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2023-02-28 17:00:00,2023-02-28 18:00:00,15.33,116.0,0.57,14.1,7.97,15.0,7.87,0.36,118.4,0.1,1.57,0.1,0.27,0.1,14.67,0.5,165.67,49.0,,,33.57,0.0
2023-02-28 18:00:00,2023-02-28 19:00:00,19.75,142.75,24.17,75.15,54.65,14.33,6.8,2.51,40.92,0.1,1.7,0.12,0.35,0.12,19.75,0.23,65.75,17.25,,,32.35,0.0
2023-02-28 19:00:00,2023-02-28 20:00:00,43.25,314.0,46.7,95.92,89.0,2.8,9.78,4.11,6.05,0.3,4.0,0.55,2.05,0.7,24.5,0.3,63.25,13.0,,,31.58,0.0
2023-02-28 20:00:00,2023-02-28 21:00:00,82.75,497.0,33.52,89.25,74.72,4.63,11.12,3.29,13.0,0.5,6.25,1.27,3.5,1.3,22.75,0.38,271.75,13.0,,,31.52,0.0
2023-02-28 21:00:00,2023-02-28 22:00:00,75.5,155.0,1.4,33.95,19.2,16.88,7.38,0.97,81.0,0.53,5.95,1.15,3.2,1.15,18.25,0.5,323.0,13.5,,,31.85,0.0
2023-02-28 22:00:00,2023-02-28 23:00:00,25.25,137.25,0.4,11.43,6.12,21.02,6.12,0.44,118.48,0.4,4.97,0.82,1.95,0.82,19.25,0.67,317.5,14.0,,,31.73,0.0
2023-02-28 23:00:00,2023-03-01 00:00:00,14.25,83.25,0.27,6.7,3.75,22.1,6.08,0.24,121.4,0.33,4.1,0.6,0.5,0.6,20.25,0.77,184.0,14.0,,,31.68,0.0
2023-03-01 00:00:00,2023-03-01 01:00:00,17.0,80.25,0.27,5.45,3.1,22.95,7.4,0.23,120.65,0.22,3.45,0.43,0.9,0.38,22.5,1.1,51.5,14.0,,,31.52,0.0
2023-03-01 01:00:00,2023-03-01 02:00:00,21.75,79.25,0.23,4.17,2.38,23.08,7.9,0.22,122.4,0.2,3.02,0.3,0.72,0.3,24.0,1.18,52.5,14.0,,,31.3,0.0
2023-03-01 02:00:00,2023-03-01 03:00:00,19.75,81.5,0.23,4.17,2.4,22.93,9.43,0.23,110.18,0.12,2.7,0.27,0.55,0.27,26.75,1.32,60.75,13.75,,,30.4,0.0
2023-03-01 03:00:00,2023-03-01 04:00:00,23.75,78.5,0.1,4.25,2.27,22.5,9.32,0.27,102.65,0.1,2.55,0.2,0.62,0.2,32.25,1.48,63.5,14.0,,,29.75,0.0
2023-03-01 04:00:00,2023-03-01 05:00:00,23.0,110.5,,6.12,3.05,23.77,18.08,0.39,96.5,0.1,2.65,0.2,0.58,0.2,44.25,1.5,66.0,13.5,,,29.12,0.0
2023-03-01 05:00:00,2023-03-01 06:00:00,34.25,212.5,0.25,6.68,3.75,20.02,13.9,0.47,94.5,0.1,2.8,0.2,0.47,0.18,51.25,1.4,63.5,13.25,,,28.75,0.0
2023-03-01 06:00:00,2023-03-01 07:00:00,42.5,276.75,0.2,7.53,4.17,23.58,11.28,0.53,86.9,0.1,2.62,0.15,0.4,0.1,56.5,1.32,67.0,13.25,,,28.38,0.0
2023-03-01 07:00:00,2023-03-01 08:00:00,48.0,303.0,0.52,11.55,6.6,19.83,10.85,0.55,76.62,0.1,2.58,0.1,0.3,0.1,58.0,1.6,68.75,30.75,,,28.2,0.0
2023-03-01 08:00:00,2023-03-01 09:00:00,50.75,325.0,0.62,11.38,6.55,22.95,11.62,0.51,74.55,0.1,2.6,0.1,0.3,0.1,53.75,1.8,71.0,86.5,,,28.48,0.0
2023-03-01 09:00:00,2023-03-01 10:00:00,49.75,299.75,0.98,11.72,7.03,22.4,11.12,0.54,83.33,0.1,2.55,0.1,0.3,0.1,48.0,1.6,77.5,163.75,,,29.07,0.0
2023-03-01 10:00:00,2023-03-01 11:00:00,48.25,258.0,1.12,12.6,7.65,19.67,12.3,0.52,102.45,0.1,2.43,0.1,0.3,0.1,40.75,1.08,84.0,236.75,,,30.23,0.0
2023-03-01 11:00:00,2023-03-01 12:00:00,44.75,219.25,0.85,12.17,7.12,15.22,12.2,0.51,125.0,0.1,2.38,0.1,0.2,0.08,33.75,0.88,111.0,291.75,,,31.52,0.0
2023-03-01 12:00:00,2023-03-01 13:00:00,42.25,191.5,0.42,11.7,6.6,13.28,13.7,0.54,141.82,0.1,2.27,0.1,0.2,,27.0,0.93,89.25,319.25,,,32.75,0.0
2023-03-01 13:00:00,2023-03-01 14:00:00,34.25,153.25,0.55,9.6,5.58,10.18,11.53,0.44,138.9,0.1,2.28,0.1,0.2,,20.75,1.05,88.75,314.75,,,33.4,0.0
2023-03-01 14:00:00,2023-03-01 15:00:00,26.5,122.25,0.33,7.15,4.05,9.6,10.1,0.38,134.97,0.1,1.95,0.1,0.2,0.03,18.75,0.9,91.25,275.5,,,33.77,0.0
2023-03-01 15:00:00,2023-03-01 16:00:00,21.75,94.25,0.4,7.88,4.5,12.7,32.08,0.44,140.07,0.1,1.43,0.18,0.12,0.08,18.25,1.02,82.25,208.5,,,33.65,0.0
2023-03-01 16:00:00,2023-03-01 17:00:00,23.75,106.25,0.2,8.62,4.67,14.35,35.42,0.44,143.97,0.1,1.92,0.1,0.22,0.08,18.25,0.67,100.25,129.75,,,33.55,0.0
2023-03-01 17:00:00,2023-03-01 18:00:00,22.5,106.0,0.3,13.65,7.47,14.55,21.25,0.64,126.45,0.1,2.0,0.1,0.2,0.1,19.25,0.67,73.75,56.25,,,33.3,0.0
2023-03-01 18:00:00,2023-03-01 19:00:00,25.25,145.0,9.45,57.2,38.12,8.92,27.82,1.96,63.1,0.1,2.7,0.12,0.12,0.1,23.75,0.25,75.25,17.25,,,32.45,0.0
2023-03-01 19:00:00,2023-03-01 20:00:00,48.0,292.0,33.47,88.18,74.12,2.9,23.62,4.33,13.32,0.2,4.03,0.43,1.35,0.48,28.75,0.17,53.25,14.0,,,31.53,0.0
2023-03-01 20:00:00,2023-03-01 21:00:00,79.5,408.75,12.72,77.7,51.68,5.2,15.9,3.42,22.07,0.5,5.55,0.85,2.75,1.05,28.0,0.3,30.5,14.0,,,31.3,0.0
2023-03-01 21:00:00,2023-03-01 22:00:00,72.25,278.0,0.57,16.93,9.47,15.7,11.3,0.55,87.65,0.5,5.5,0.8,2.05,0.98,23.75,1.05,56.5,14.0,,,31.45,0.0
2023-03-01 22:00:00,2023-03-01 23:00:00,23.25,131.75,0.17,14.77,7.97,18.25,20.0,0.48,97.43,0.4,4.52,0.6,1.9,0.65,33.25,1.08,64.75,14.0,,,30.68,0.0
2023-03-01 23:00:00,2023-03-02 00:00:00,30.25,130.75,0.12,10.33,5.6,19.07,13.17,0.44,124.22,0.33,3.85,0.4,1.33,0.42,40.0,1.48,71.0,13.25,,,30.37,0.0
2023-03-02 00:00:00,2023-03-02 01:00:00,30.75,119.25,0.1,7.38,3.65,34.15,11.47,0.43,117.43,0.25,3.3,0.3,1.0,0.3,42.25,1.45,68.0,13.25,,,29.95,0.0
2023-03-02 01:00:00,2023-03-02 02:00:00,29.5,116.5,0.17,7.38,3.98,34.2,10.4,0.41,108.53,0.2,3.02,0.25,0.75,0.22,46.5,1.8,70.75,13.0,,,29.43,0.0
2023-03-02 02:00:00,2023-03-02 03:00:00,26.0,118.5,0.2,6.53,3.58,33.0,9.18,0.4,101.58,0.2,2.83,0.2,0.6,0.2,51.25,1.67,69.25,13.0,,,28.95,0.0
2023-03-02 03:00:00,2023-03-02 04:00:00,23.0,98.25,0.3,6.45,3.52,32.23,8.62,0.38,95.85,0.18,2.7,0.18,0.47,0.15,55.0,1.5,67.75,13.0,,,28.62,0.0
2023-03-02 04:00:00,2023-03-02 05:00:00,22.0,83.5,0.2,6.05,3.17,34.9,9.67,0.38,83.47,0.1,2.8,0.2,0.47,0.17,58.5,1.45,67.75,13.0,,,28.25,0.0
2023-03-02 05:00:00,2023-03-02 06:00:00,19.75,74.0,0.35,6.47,3.75,17.38,8.15,0.4,85.67,0.1,2.85,0.15,0.28,0.15,61.75,1.5,67.0,13.0,,,28.05,0.0
2023-03-02 06:00:00,2023-03-02 07:00:00,22.5,76.25,0.15,8.65,4.72,28.17,9.18,0.42,69.8,0.1,2.7,0.1,0.3,0.1,64.75,1.48,66.75,13.75,,,27.88,0.0
2023-03-02 07:00:00,2023-03-02 08:00:00,23.75,79.5,0.33,10.75,6.0,28.98,9.55,0.48,65.72,0.1,2.65,0.1,0.3,0.1,66.0,1.75,68.5,34.75,,,27.9,0.0
2023-03-02 08:00:00,2023-03-02 09:00:00,21.5,95.25,0.7,10.82,6.33,27.65,9.9,0.52,65.53,0.1,2.65,0.1,0.3,0.1,64.5,2.27,72.25,89.0,,,28.13,0.0
2023-03-02 09:00:00,2023-03-02 10:00:00,22.25,94.75,1.07,10.6,6.5,24.8,11.38,0.56,73.28,0.1,2.6,0.1,0.3,0.1,58.75,1.88,84.5,164.5,,,28.75,0.0
2023-03-02 10:00:00,2023-03-02 11:00:00,29.25,103.75,1.1,10.55,6.5,25.2,13.35,0.56,89.78,0.1,2.58,0.1,0.3,0.1,51.75,1.75,87.25,235.5,,,29.65,0.0
2023-03-02 11:00:00,2023-03-02 12:00:00,30.75,115.75,0.8,11.52,6.78,23.58,14.0,0.56,108.38,0.1,2.5,0.1,0.22,0.1,44.75,1.73,81.0,289.0,,,30.62,0.0
2023-03-02 12:00:00,2023-03-02 13:00:00,32.0,119.5,0.88,12.02,7.1,21.95,13.1,0.56,124.8,0.15,2.27,0.1,0.28,0.1,37.75,1.48,88.5,315.5,,,31.67,0.0
2023-03-02 13:00:00,2023-03-02 14:00:00,36.25,127.25,1.58,12.97,8.17,19.4,12.0,0.48,130.5,0.15,2.18,0.1,0.3,0.1,30.75,1.23,110.0,301.0,,,32.62,0.0
2023-03-02 14:00:00,2023-03-02 15:00:00,27.5,144.25,2.17,15.88,10.2,15.35,11.63,0.44,144.27,0.1,2.1,0.1,0.15,0.1,25.25,0.82,151.75,281.5,,,33.2,0.0
2023-03-02 15:00:00,2023-03-02 16:00:00,24.75,151.25,0.67,9.88,5.83,15.93,11.3,0.42,149.43,0.1,2.0,0.1,0.17,0.1,22.0,0.9,238.25,215.25,,,33.5,0.0
2023-03-02 16:00:00,2023-03-02 17:00:00,23.0,112.5,0.55,11.48,6.53,14.47,10.22,0.45,153.5,0.1,1.92,0.1,0.25,0.1,21.75,0.7,256.5,132.25,,,33.57,0.0
2023-03-02 17:00:00,2023-03-02 18:00:00,28.75,129.75,0.77,17.73,10.07,8.53,8.9,0.73,141.75,0.1,1.35,0.15,0.15,0.03,23.0,0.62,78.25,51.75,,,33.3,0.0
2023-03-02 18:00:00,2023-03-02 19:00:00,30.75,155.0,11.65,70.03,46.72,4.73,9.38,2.46,71.05,0.12,2.1,0.2,0.52,0.17,27.0,0.28,68.5,16.5,,,32.47,0.0
2023-03-02 19:00:00,2023-03-02 20:00:00,47.75,286.0,32.77,91.47,75.3,1.75,10.1,3.6,22.48,0.3,4.17,0.78,2.48,1.0,31.5,0.28,56.75,13.0,,,31.73,0.0
2023-03-02 20:00:00,2023-03-02 21:00:00,68.25,422.25,9.55,77.0,48.73,7.1,9.75,2.86,28.35,0.4,4.9,1.18,2.83,1.18,32.0,0.25,67.25,13.0,,,31.55,0.0
2023-03-02 21:00:00,2023-03-02 22:00:00,50.0,243.0,0.67,21.2,11.83,18.3,15.25,0.75,102.2,0.4,4.78,0.98,2.57,1.02,31.75,1.0,57.25,13.75,,,31.55,0.0
2023-03-02 22:00:00,2023-03-02 23:00:00,38.5,176.0,0.23,14.48,7.83,23.95,15.15,0.53,111.62,0.33,3.97,0.65,1.73,0.65,37.0,0.9,60.5,13.25,,,31.15,0.0
2023-03-02 23:00:00,2023-03-03 00:00:00,32.75,125.25,0.47,13.07,7.33,23.73,15.1,0.44,112.42,0.3,3.45,0.47,1.3,0.45,38.0,0.95,62.5,13.0,,,30.8,0.0
2023-03-03 00:00:00,2023-03-03 01:00:00,28.75,106.5,0.22,8.7,4.85,26.3,11.97,0.36,110.33,0.2,3.08,0.35,1.0,0.35,40.0,1.1,62.5,13.25,,,30.4,0.0
2023-03-03 01:00:00,2023-03-03 02:00:00,30.0,94.25,0.3,9.5,5.28,42.38,11.82,0.37,95.38,0.2,2.88,0.3,0.82,0.3,42.75,1.57,67.25,13.5,,,29.8,0.0
2023-03-03 02:00:00,2023-03-03 03:00:00,26.75,88.25,0.2,6.68,3.7,39.62,9.82,0.34,97.1,0.2,2.7,0.27,0.67,0.25,48.25,1.52,67.25,13.25,,,29.25,0.0
2023-03-03 03:00:00,2023-03-03 04:00:00,26.5,75.5,0.15,5.95,3.25,36.05,8.8,0.37,96.95,0.1,2.58,0.2,0.55,0.2,52.75,1.45,66.5,13.0,,,28.93,0.0
2023-03-03 04:00:00,2023-03-03 05:00:00,27.75,75.75,,7.7,3.92,37.17,9.3,0.41,92.83,0.1,2.65,0.2,0.5,0.2,58.5,1.48,68.75,13.0,,,28.6,0.0
2023-03-03 05:00:00,2023-03-03 06:00:00,28.75,80.0,0.4,8.43,4.7,27.92,8.62,0.48,94.2,0.1,2.83,0.2,0.45,0.2,62.25,1.43,68.25,13.0,,,28.4,0.0
2023-03-03 06:00:00,2023-03-03 07:00:00,34.25,75.75,0.22,9.27,5.12,32.17,7.9,0.49,92.73,0.1,2.62,0.2,0.35,0.12,64.0,1.42,68.5,13.5,,,28.3,0.0
2023-03-03 07:00:00,2023-03-03 08:00:00,36.75,88.75,0.27,11.68,6.43,30.65,8.6,0.59,85.97,0.1,2.62,0.12,0.3,0.1,63.5,1.42,68.0,32.75,,,28.38,0.0
2023-03-03 08:00:00,2023-03-03 09:00:00,41.75,105.75,0.77,14.62,8.43,24.85,12.38,0.61,87.58,0.12,2.85,0.2,0.38,0.15,59.5,1.47,77.0,91.75,,,28.82,0.0
2023-03-03 09:00:00,2023-03-03 10:00:00,40.0,125.25,0.5,12.68,7.15,29.17,14.17,0.54,103.4,0.1,2.8,0.15,0.3,0.1,51.75,1.38,91.5,168.25,,,29.88,0.0
2023-03-03 10:00:00,2023-03-03 11:00:00,39.25,132.25,0.77,11.65,6.85,28.4,14.7,0.51,120.33,0.1,2.73,0.15,0.33,0.1,44.5,1.38,105.25,242.75,,,30.8,0.0
2023-03-03 11:00:00,2023-03-03 12:00:00,36.25,121.0,0.8,11.05,6.52,13.45,11.43,0.54,140.88,0.1,2.47,0.12,0.27,0.1,39.75,1.2,88.25,288.75,,,31.62,0.0
2023-03-03 12:00:00,2023-03-03 13:00:00,35.5,121.5,0.35,9.78,5.5,7.0,8.75,0.49,141.47,0.1,2.15,0.1,0.2,0.08,34.5,1.15,145.5,322.5,,,32.42,0.0
2023-03-03 13:00:00,2023-03-03 14:00:00,29.0,115.25,0.53,8.57,4.95,6.35,10.2,0.41,141.7,0.1,1.85,0.1,0.2,0.03,26.25,0.93,160.75,319.5,,,33.2,0.0
2023-03-03 14:00:00,2023-03-03 15:00:00,25.75,114.0,0.32,6.9,3.95,5.4,10.18,0.39,147.57,0.1,1.55,0.1,0.2,,23.75,0.8,159.0,285.0,,,33.6,0.0
2023-03-03 15:00:00,2023-03-03 16:00:00,27.0,85.75,0.37,6.88,3.88,7.15,10.0,0.38,140.25,0.1,1.48,0.1,0.2,,21.25,0.83,107.75,217.5,,,33.65,0.0
2023-03-03 16:00:00,2023-03-03 17:00:00,23.0,87.0,0.17,6.8,3.77,6.45,9.1,0.31,140.95,0.1,1.4,0.1,0.2,,19.5,0.6,155.75,134.25,,,33.8,0.0
2023-03-03 17:00:00,2023-03-03 18:00:00,20.0,78.5,0.2,10.07,5.55,6.78,9.07,0.47,136.53,0.1,1.4,0.1,0.15,0.05,22.0,0.6,92.0,52.25,,,33.42,0.0
2023-03-03 18:00:00,2023-03-03 19:00:00,22.5,108.5,0.4,28.72,15.6,6.6,11.35,1.05,98.15,0.1,1.68,0.1,0.17,0.1,26.0,0.32,81.5,16.5,,,32.67,0.0
2023-03-03 19:00:00,2023-03-03 20:00:00,33.75,174.75,0.9,51.55,28.2,11.75,22.77,1.44,59.75,0.17,2.67,0.3,0.6,0.33,26.5,0.4,53.5,13.75,,,32.12,0.0
2023-03-03 20:00:00,2023-03-03 21:00:00,40.25,206.5,0.43,24.72,13.53,16.52,17.55,0.79,93.12,0.2,2.93,0.4,0.8,0.43,29.0,1.05,62.75,14.0,,,31.62,0.0
