From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (ug/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm),Xylene (ug/m3)
2023-02-07 15:00:00,2023-02-07 16:00:00,79.0,,2.85,1.7,3.2,56.1,11.5,0.45,52.8,0.2,0.7,0.05,,0.05,36.5,1.7,279.5,48.5,,18.55,0.0,
2023-02-07 16:00:00,2023-02-07 17:00:00,62.5,,2.65,1.7,3.05,53.77,10.85,0.42,46.92,0.2,0.7,,,0.03,35.25,1.35,271.75,33.5,,18.5,0.0,
2023-02-07 17:00:00,2023-02-07 18:00:00,37.5,,2.47,1.88,2.98,49.38,9.88,0.42,39.8,0.2,0.7,0.03,,0.05,39.25,1.1,280.0,12.75,,18.15,0.0,
2023-02-07 18:00:00,2023-02-07 19:00:00,45.0,,2.5,1.78,3.02,42.82,17.25,0.55,29.9,0.15,0.75,0.08,0.03,,42.75,0.68,291.75,5.75,,17.8,0.0,
2023-02-07 19:00:00,2023-02-07 20:00:00,76.5,,2.58,1.32,2.8,41.33,10.9,0.61,26.05,0.2,0.83,0.03,0.03,,49.25,0.38,268.5,4.25,,17.52,0.0,
2023-02-07 20:00:00,2023-02-07 21:00:00,99.5,,2.48,1.77,2.95,36.62,7.05,0.86,15.12,0.2,0.9,0.05,,0.05,55.5,0.38,171.5,1.75,,17.27,0.0,
2023-02-07 21:00:00,2023-02-07 22:00:00,148.0,,2.47,1.9,3.02,34.73,7.4,0.76,17.73,0.2,1.05,0.05,,0.1,54.75,0.28,249.25,2.0,,17.2,0.0,
2023-02-07 22:00:00,2023-02-07 23:00:00,115.0,,2.55,1.9,3.1,42.52,10.0,0.64,27.4,0.2,1.18,0.05,,0.1,53.75,0.45,249.75,2.75,,17.1,0.0,
2023-02-07 23:00:00,2023-02-08 00:00:00,80.5,,2.67,1.82,3.12,39.88,10.5,0.53,30.9,0.2,1.15,0.1,,0.08,52.25,0.47,251.25,3.0,,17.08,0.0,
2023-02-08 00:00:00,2023-02-08 01:00:00,50.25,,2.4,1.8,2.9,40.25,13.12,0.48,32.52,0.2,1.1,0.05,,,52.25,0.55,251.5,3.0,,16.92,0.0,
2023-02-08 01:00:00,2023-02-08 02:00:00,50.5,,2.62,1.85,3.07,40.52,12.15,0.43,31.93,0.2,1.02,0.1,0.08,0.05,53.0,0.65,246.0,3.0,,16.8,0.0,
2023-02-08 02:00:00,2023-02-08 03:00:00,42.75,,2.52,1.67,2.95,34.3,10.55,0.33,32.47,0.2,0.9,0.08,,0.08,51.0,0.75,260.25,3.0,,16.75,0.0,
2023-02-08 03:00:00,2023-02-08 04:00:00,48.25,,2.52,2.05,3.12,32.07,9.35,0.3,29.75,0.2,0.9,0.05,0.08,0.03,53.75,0.8,250.5,2.75,,16.52,0.0,
2023-02-08 04:00:00,2023-02-08 05:00:00,49.25,,2.55,2.08,3.15,31.33,8.45,0.27,28.73,0.2,0.8,,,0.03,55.75,0.9,247.0,2.0,,16.4,0.0,
2023-02-08 05:00:00,2023-02-08 06:00:00,51.25,,2.45,2.08,3.07,32.05,7.65,0.26,29.75,0.18,0.8,0.03,,0.05,56.0,0.77,245.5,2.0,,16.32,0.0,
2023-02-08 06:00:00,2023-02-08 07:00:00,57.25,,2.6,1.78,3.08,39.3,9.03,0.3,30.55,0.15,0.8,,,,53.0,0.9,241.5,3.25,,16.38,0.0,
2023-02-08 07:00:00,2023-02-08 08:00:00,56.25,,2.5,2.0,3.08,40.52,10.18,0.41,32.4,0.2,0.7,0.03,,,47.75,0.95,243.75,29.25,,16.9,0.0,
2023-02-08 08:00:00,2023-02-08 09:00:00,66.5,,2.35,1.9,2.95,40.25,12.1,0.37,39.98,0.15,0.53,0.05,,,39.75,1.1,251.5,70.5,,17.12,0.0,
2023-02-08 09:00:00,2023-02-08 10:00:00,53.75,,2.42,1.75,2.92,43.83,12.88,0.35,49.3,0.05,0.17,,,0.03,39.25,1.07,262.25,73.0,,17.32,0.0,
2023-02-08 10:00:00,2023-02-08 11:00:00,61.75,,2.48,1.88,3.0,37.58,14.97,0.3,46.73,0.12,0.58,,,0.03,34.0,1.23,266.25,88.25,,17.72,0.0,
2023-02-08 11:00:00,2023-02-08 12:00:00,51.5,,2.23,1.8,2.8,34.8,12.82,0.3,46.27,0.1,0.6,,,,28.25,1.3,255.25,97.5,,18.02,0.0,
2023-02-08 12:00:00,2023-02-08 13:00:00,36.5,,2.43,2.0,3.05,34.72,11.45,0.29,45.62,0.1,0.6,,,,26.0,1.42,255.25,92.5,,18.22,0.0,
2023-02-08 13:00:00,2023-02-08 14:00:00,27.25,,2.38,1.82,2.88,35.88,9.65,0.32,48.1,0.1,0.5,,,0.03,23.5,1.48,260.5,87.5,,18.4,0.0,
2023-02-08 14:00:00,2023-02-08 15:00:00,21.5,,2.38,2.12,3.05,34.85,7.05,0.41,54.73,0.1,0.43,,,,19.25,1.72,262.0,74.5,,18.52,0.0,
2023-02-08 15:00:00,2023-02-08 16:00:00,19.5,,1.95,1.67,2.47,26.25,2.4,2.1,50.4,0.13,0.7,,,,19.0,1.83,278.0,56.5,,18.5,0.0,
2023-02-08 16:00:00,2023-02-08 17:00:00,22.5,,0.33,2.03,1.02,32.6,23.68,1.95,50.0,0.1,0.73,,,,23.5,1.3,260.75,36.0,,18.38,0.0,
2023-02-08 17:00:00,2023-02-08 18:00:00,25.75,,0.2,3.7,1.95,33.47,6.92,1.98,28.55,0.1,0.7,,,,29.25,0.6,286.5,12.5,,18.23,0.0,
