From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm),Xylene (ug/m3)
2023-03-10 15:00:00,2023-03-10 16:00:00,19.0,44.67,0.2,11.6,6.3,21.67,2.83,0.54,109.67,0.87,6.43,0.3,0.33,0.33,27.67,1.27,28.67,262.0,,31.37,0.0,
2023-03-10 16:00:00,2023-03-10 17:00:00,19.25,50.5,0.1,11.85,6.23,22.77,2.8,0.55,109.28,0.8,6.2,0.3,0.3,0.3,30.25,1.23,58.0,169.25,,35.0,0.0,
2023-03-10 17:00:00,2023-03-10 18:00:00,22.75,57.75,0.33,11.7,6.43,22.75,2.85,0.55,111.47,0.85,6.07,0.3,0.3,0.35,34.25,1.23,56.5,72.75,,29.48,0.0,
2023-03-10 18:00:00,2023-03-10 19:00:00,26.25,65.5,0.2,13.77,7.33,21.25,3.02,0.64,98.55,0.9,6.22,0.33,0.4,0.4,39.25,0.72,71.0,36.25,,26.35,0.0,
2023-03-10 19:00:00,2023-03-10 20:00:00,30.0,78.5,0.9,25.82,14.5,19.95,3.33,0.88,55.4,1.95,8.48,0.75,1.23,1.03,48.0,0.35,92.25,35.0,,24.8,0.0,
2023-03-10 20:00:00,2023-03-10 21:00:00,42.25,133.75,15.27,72.2,50.85,20.7,3.52,1.74,1.97,4.6,19.42,3.73,5.58,5.28,59.75,0.33,276.25,35.0,,22.55,0.0,
2023-03-10 21:00:00,2023-03-10 22:00:00,67.5,215.25,20.5,61.58,49.45,24.05,3.45,1.72,0.6,5.22,22.52,4.95,7.42,7.22,65.0,0.23,208.5,35.0,,21.8,0.0,
2023-03-10 22:00:00,2023-03-10 23:00:00,72.75,206.0,20.2,52.48,44.33,26.45,3.2,1.5,0.77,5.4,22.23,4.65,7.18,6.97,76.0,0.23,212.75,35.0,,20.35,0.0,
2023-03-10 23:00:00,2023-03-11 00:00:00,66.67,168.0,13.87,44.13,34.73,28.53,3.03,1.25,3.53,4.6,18.8,4.0,6.07,5.73,79.67,0.5,70.33,35.0,,20.1,0.0,
2023-03-11 00:00:00,2023-03-11 01:00:00,56.5,130.5,8.75,36.48,26.5,29.92,1.65,1.14,1.95,3.73,12.43,2.25,3.47,2.4,85.0,0.2,184.5,35.0,,18.97,0.0,
2023-03-11 01:00:00,2023-03-11 02:00:00,62.5,111.25,6.17,29.45,20.68,31.88,1.6,1.17,6.57,4.88,12.75,2.4,3.4,2.83,83.0,0.28,145.75,35.0,,18.43,0.0,
2023-03-11 02:00:00,2023-03-11 03:00:00,68.25,107.75,2.9,24.82,15.55,34.05,1.68,1.19,7.1,5.15,10.9,1.93,2.47,2.17,86.25,0.35,122.25,35.5,,17.77,0.0,
2023-03-11 03:00:00,2023-03-11 04:00:00,76.75,117.0,1.65,22.3,13.18,34.8,2.2,1.26,6.12,8.62,10.35,1.5,1.95,1.65,87.75,0.33,135.0,35.5,,17.15,0.0,
2023-03-11 04:00:00,2023-03-11 05:00:00,81.75,112.0,1.02,21.43,12.23,31.5,1.9,0.94,6.77,4.82,8.03,0.97,1.1,1.08,91.0,0.53,212.75,35.25,,16.4,0.0,
2023-03-11 05:00:00,2023-03-11 06:00:00,58.25,100.0,0.62,24.1,13.27,29.57,1.85,0.95,7.2,3.55,7.0,0.8,1.02,0.7,88.75,0.5,57.0,35.25,,16.57,0.0,
2023-03-11 06:00:00,2023-03-11 07:00:00,61.0,115.33,7.47,25.63,19.7,27.77,1.73,0.98,1.93,3.57,7.53,0.8,1.23,0.9,92.33,0.23,178.0,43.67,,16.2,0.0,
2023-03-11 07:00:00,2023-03-11 08:00:00,58.0,122.0,6.83,27.93,20.4,28.93,1.9,0.92,10.73,3.73,8.6,1.1,1.63,1.37,85.67,0.47,187.33,100.33,,19.27,0.0,
2023-03-11 08:00:00,2023-03-11 09:00:00,75.5,142.0,2.7,25.1,15.57,27.77,4.7,1.46,39.9,4.28,8.32,1.0,1.32,1.1,73.25,0.62,209.5,204.0,,20.85,0.0,
2023-03-11 09:00:00,2023-03-11 10:00:00,93.25,159.5,1.18,22.02,12.67,32.27,7.07,0.93,86.05,5.08,9.1,1.1,1.55,1.27,52.75,0.62,200.25,307.75,,30.95,0.0,
2023-03-11 10:00:00,2023-03-11 11:00:00,79.0,176.0,0.9,17.7,10.1,28.5,5.8,0.71,94.2,2.5,6.3,0.6,0.8,0.7,44.0,1.1,191.0,365.0,,32.1,0.0,
2023-03-11 11:00:00,2023-03-11 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-03-11 12:00:00,2023-03-11 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-03-11 13:00:00,2023-03-11 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-03-11 14:00:00,2023-03-11 15:00:00,,,,,0.0,,,0.0,0.9,,,,,,20.0,1.3,247.0,347.0,,31.3,0.0,
2023-03-11 15:00:00,2023-03-11 16:00:00,,,0.3,8.27,4.35,22.15,5.23,0.4,104.15,0.73,5.73,0.3,0.37,0.37,20.5,1.18,71.25,281.25,,31.5,0.0,
