From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2022-04-06 16:00:00,2022-04-06 17:00:00,23.18,78.12,2.19,17.32,18.8,4.98,4.43,0.44,60.17,0.04,,0.14,0.21,,83.89,0.42,167.53,28.56,,,18.99,0.0
2022-04-06 17:00:00,2022-04-06 18:00:00,25.87,69.61,1.99,21.02,21.93,6.08,4.29,0.49,59.48,0.04,,0.16,0.24,,86.88,0.36,142.21,4.06,,,17.89,0.0
2022-04-06 18:00:00,2022-04-06 19:00:00,19.34,60.07,2.49,28.52,29.45,8.5,4.13,0.56,44.68,0.05,,0.18,0.27,,90.09,0.28,116.12,0.0,,,17.31,0.0
2022-04-06 19:00:00,2022-04-06 20:00:00,27.55,63.34,2.46,29.25,30.06,8.79,4.06,0.58,40.35,0.05,,0.19,0.28,,93.26,0.29,98.41,0.0,,,17.04,0.0
2022-04-06 20:00:00,2022-04-06 21:00:00,28.48,44.54,1.99,14.98,16.38,4.2,4.15,0.44,69.0,0.04,,0.14,0.21,,94.4,0.67,129.78,0.0,,,16.49,1.53
2022-04-06 21:00:00,2022-04-06 22:00:00,10.43,19.53,2.14,15.39,16.99,4.32,4.15,0.4,66.69,0.03,,0.12,0.19,,95.19,0.41,133.12,0.0,,,16.21,0.47
2022-04-06 22:00:00,2022-04-06 23:00:00,7.1,9.16,2.08,11.23,13.14,2.95,4.05,0.37,59.73,0.03,,0.12,0.18,,95.03,0.48,107.85,0.0,,,16.09,0.33
2022-04-06 23:00:00,2022-04-07 00:00:00,3.5,4.72,1.89,5.64,7.74,1.21,4.14,0.33,70.67,0.03,,0.1,0.16,,95.26,0.5,131.12,0.0,,,15.96,2.08
2022-04-07 00:00:00,2022-04-07 01:00:00,0.31,0.42,2.13,3.94,6.54,0.95,4.29,0.3,83.79,0.03,,0.1,0.15,,94.32,0.82,209.9,0.0,,,15.57,1.45
2022-04-07 01:00:00,2022-04-07 02:00:00,,,1.78,3.69,5.85,0.48,4.28,0.29,93.11,0.02,,0.09,0.14,,93.66,0.57,139.49,0.0,,,15.19,0.6
2022-04-07 02:00:00,2022-04-07 03:00:00,,0.52,1.96,3.41,5.84,0.51,4.22,0.29,92.41,0.02,,0.09,0.14,,94.05,0.93,130.53,0.0,,,15.02,1.88
2022-04-07 03:00:00,2022-04-07 04:00:00,,0.05,1.94,3.99,6.32,0.4,4.06,0.29,81.35,0.02,,0.09,0.14,,95.64,0.76,79.48,0.0,,,14.71,4.72
2022-04-07 04:00:00,2022-04-07 05:00:00,,,1.89,3.61,5.93,0.36,4.08,0.28,82.68,0.02,,0.09,0.14,,96.04,0.49,93.11,0.0,,,14.65,0.68
2022-04-07 05:00:00,2022-04-07 06:00:00,,,1.89,3.44,5.79,0.5,4.09,0.29,84.8,0.02,,0.09,0.14,,96.16,0.38,112.92,2.45,,,14.74,0.0
2022-04-07 06:00:00,2022-04-07 07:00:00,2.97,19.61,2.01,6.59,8.8,1.45,4.04,0.3,76.24,0.03,,0.1,0.15,,94.88,0.49,101.35,30.61,,,15.11,0.0
2022-04-07 07:00:00,2022-04-07 08:00:00,12.35,29.91,2.25,18.65,20.13,5.43,3.82,0.42,52.09,0.03,,0.13,0.2,,92.56,0.34,130.25,94.42,,,16.43,0.0
