From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree C),RF (mm)
2022-05-26 16:00:00,2022-05-26 17:00:00,,,,,66.94,,,,,,,,,,,,,,,,
2022-05-26 17:00:00,2022-05-26 18:00:00,69.07,194.71,13.7,43.8,49.3,1.1,4.54,1.01,26.43,0.48,0.96,0.8,0.81,,55.5,0.84,36.16,0.0,0.9,23.75,0.0
2022-05-26 18:00:00,2022-05-26 19:00:00,69.67,185.23,19.63,45.52,67.56,1.39,5.31,1.29,22.31,0.51,0.95,0.8,0.82,,45.99,0.97,64.07,0.0,0.9,25.45,0.0
2022-05-26 19:00:00,2022-05-26 20:00:00,58.83,160.43,17.81,46.57,65.48,1.19,5.32,1.42,19.46,0.51,0.93,0.81,0.81,,42.82,0.48,73.78,0.0,0.9,25.7,0.0
2022-05-26 20:00:00,2022-05-26 21:00:00,54.85,146.09,7.02,36.86,43.88,1.0,3.76,0.96,20.89,0.49,0.95,0.8,0.82,,50.65,0.42,72.39,0.0,0.86,24.72,0.0
2022-05-26 21:00:00,2022-05-26 22:00:00,55.84,125.22,10.2,39.47,49.93,0.67,4.22,1.11,20.1,0.5,0.93,0.8,0.79,,47.16,0.28,72.8,0.0,0.9,25.06,0.0
2022-05-26 22:00:00,2022-05-26 23:00:00,49.61,114.67,14.96,39.89,55.74,1.18,4.01,0.95,23.28,0.5,0.98,0.81,0.8,,50.7,0.51,71.69,0.0,0.89,24.1,0.0
2022-05-26 23:00:00,2022-05-27 00:00:00,49.4,111.25,14.17,39.14,54.66,0.74,3.91,0.8,18.24,0.5,0.95,0.8,0.8,,47.62,0.61,69.29,0.0,0.91,24.49,0.0
2022-05-27 00:00:00,2022-05-27 01:00:00,50.19,97.33,6.85,26.49,33.34,1.93,1.06,0.4,31.27,0.49,0.93,0.78,0.79,,38.77,0.85,71.26,0.0,0.91,25.29,0.0
2022-05-27 01:00:00,2022-05-27 02:00:00,45.07,98.32,6.29,28.89,35.19,2.23,0.93,0.42,20.36,0.49,0.97,0.78,0.81,,44.41,0.61,69.01,0.0,0.93,24.38,0.0
