From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree C),RF (mm)
2022-06-02 11:00:00,2022-06-02 12:00:00,13.72,32.94,4.14,13.94,,24.59,12.12,0.15,11.59,1.81,13.1,1.19,11.03,,29.97,1.24,287.64,0.0,11.05,29.48,0.0
2022-06-02 12:00:00,2022-06-02 13:00:00,17.73,32.43,3.86,13.7,16.94,23.45,12.1,0.17,11.87,1.79,13.07,1.2,10.94,,25.66,1.18,296.69,0.0,11.04,30.69,0.0
2022-06-02 13:00:00,2022-06-02 14:00:00,18.53,30.6,3.94,14.28,16.51,22.36,11.82,0.12,10.29,1.8,13.05,1.21,11.01,,23.39,0.98,295.22,0.0,10.98,31.91,0.0
2022-06-02 14:00:00,2022-06-02 15:00:00,15.01,30.59,3.68,13.82,15.82,22.8,11.89,0.12,11.35,1.79,12.98,1.2,11.03,,19.35,0.88,302.68,0.0,10.99,33.22,0.0
2022-06-02 15:00:00,2022-06-02 16:00:00,16.49,30.3,4.04,13.73,16.14,23.59,12.06,0.08,14.16,1.8,13.01,1.2,10.97,,17.23,0.51,244.25,0.0,11.05,33.31,0.0
2022-06-02 16:00:00,2022-06-02 17:00:00,25.73,34.05,3.84,14.08,16.51,23.62,12.06,0.17,13.33,1.79,13.05,1.2,11.0,,16.4,0.68,233.37,0.0,11.01,33.45,0.0
2022-06-02 17:00:00,2022-06-02 18:00:00,37.72,44.28,4.08,14.53,15.76,22.98,12.24,0.17,10.98,1.8,12.98,1.21,11.03,,16.71,0.4,311.12,0.0,11.02,32.54,0.0
2022-06-02 18:00:00,2022-06-02 19:00:00,38.14,46.68,3.98,14.49,15.81,23.3,12.19,0.22,5.94,1.8,12.98,1.21,10.97,,19.65,0.44,295.16,0.0,11.05,30.22,0.0
2022-06-02 19:00:00,2022-06-02 20:00:00,32.56,39.31,4.04,13.77,16.11,24.32,12.33,0.32,2.27,1.8,13.01,1.2,11.0,,24.91,0.37,324.24,0.0,11.02,27.66,0.0
2022-06-02 20:00:00,2022-06-02 21:00:00,26.91,37.06,4.09,14.54,15.87,23.03,12.48,0.62,0.23,1.8,12.99,1.21,11.04,,29.87,0.43,318.89,0.0,11.0,26.25,0.0
2022-06-02 21:00:00,2022-06-02 22:00:00,25.99,37.57,3.84,14.25,16.12,24.26,12.5,0.97,0.01,1.79,13.01,1.21,10.99,,33.52,0.47,302.39,0.0,11.05,25.4,0.0
2022-06-02 22:00:00,2022-06-02 23:00:00,28.85,38.99,4.19,14.23,16.54,21.42,12.36,0.93,0.76,1.81,13.05,1.2,11.04,,33.91,0.73,286.67,0.0,10.94,25.25,0.0
2022-06-02 23:00:00,2022-06-03 00:00:00,33.12,43.33,4.08,14.07,15.45,22.48,12.21,0.68,1.64,1.8,12.94,1.2,11.01,,33.86,1.52,283.68,0.0,11.01,25.23,0.0
2022-06-03 00:00:00,2022-06-03 01:00:00,29.91,45.78,4.11,13.99,15.88,22.95,11.73,0.59,5.35,1.81,12.99,1.2,11.05,,36.1,3.06,281.94,0.0,10.97,23.64,0.0
2022-06-03 01:00:00,2022-06-03 02:00:00,24.59,39.94,4.0,14.59,16.12,23.08,11.71,0.34,7.5,1.8,13.01,1.21,10.98,,43.45,3.24,281.33,0.0,10.99,21.32,0.0
2022-06-03 02:00:00,2022-06-03 03:00:00,23.7,37.51,3.96,14.13,16.17,22.27,11.63,0.3,8.17,1.8,13.02,1.2,11.03,,46.68,2.72,285.08,0.0,10.93,19.81,0.0
2022-06-03 03:00:00,2022-06-03 04:00:00,25.13,35.77,4.07,14.41,15.7,22.15,11.49,0.24,5.22,1.8,12.97,1.21,11.05,,48.91,2.58,287.37,0.0,10.98,19.08,0.0
2022-06-03 04:00:00,2022-06-03 05:00:00,22.92,36.11,4.1,14.45,15.89,22.17,11.57,0.21,4.72,1.8,12.99,1.21,11.0,,47.78,2.3,286.04,0.0,10.98,18.85,0.0
2022-06-03 05:00:00,2022-06-03 06:00:00,17.67,30.83,4.09,13.69,16.18,23.39,11.6,0.14,4.07,1.81,13.02,1.19,11.01,,45.45,2.11,283.64,0.0,11.01,18.77,0.0
2022-06-03 06:00:00,2022-06-03 07:00:00,13.74,27.39,3.81,14.15,15.57,22.64,11.57,0.15,3.41,1.79,12.96,1.2,11.0,,44.98,1.81,281.79,0.0,11.0,18.76,0.0
2022-06-03 07:00:00,2022-06-03 08:00:00,10.66,25.12,3.97,14.2,16.29,22.68,11.61,0.18,4.75,1.8,13.03,1.2,10.93,,42.71,1.82,284.08,0.0,10.99,19.94,0.0
2022-06-03 08:00:00,2022-06-03 09:00:00,9.81,24.45,4.06,14.54,16.26,22.71,11.62,0.25,5.54,1.8,13.03,1.21,10.95,,40.22,1.65,288.23,0.0,11.02,20.82,0.0
2022-06-03 09:00:00,2022-06-03 10:00:00,13.21,26.45,4.16,14.11,15.96,21.4,11.83,0.28,4.75,1.81,9.31,1.2,10.96,,38.16,1.31,302.24,0.0,10.95,22.09,0.0
2022-06-03 10:00:00,2022-06-03 11:00:00,14.03,26.16,3.92,14.42,16.13,24.59,11.76,0.14,3.25,1.8,2.1,1.21,10.98,,36.35,1.14,307.34,0.0,11.09,22.73,0.0
2022-06-03 11:00:00,2022-06-03 12:00:00,17.63,28.14,4.03,13.81,16.73,22.32,12.02,0.2,3.39,1.8,2.12,1.19,11.03,,33.3,1.19,308.64,0.0,9.22,24.77,0.0
2022-06-03 12:00:00,2022-06-03 13:00:00,20.21,29.73,4.0,13.89,16.44,22.44,12.15,0.23,6.91,1.8,2.11,1.2,11.02,,29.0,1.0,301.4,0.0,8.8,28.18,0.0
2022-06-03 13:00:00,2022-06-03 14:00:00,19.13,29.43,3.98,13.95,15.59,24.64,12.08,0.31,12.38,1.8,2.09,1.2,11.01,,18.55,1.01,237.62,0.0,9.46,31.96,0.0
2022-06-03 14:00:00,2022-06-03 15:00:00,21.78,32.95,3.9,14.5,16.07,22.79,11.98,0.3,12.82,1.79,2.1,1.21,11.02,,13.78,0.64,314.46,0.0,8.8,34.0,0.0
2022-06-03 15:00:00,2022-06-03 16:00:00,24.59,36.18,4.04,14.38,15.94,21.91,12.06,0.17,9.86,1.8,2.1,1.21,11.02,,13.84,0.94,297.05,0.0,8.68,33.65,0.0
2022-06-03 16:00:00,2022-06-03 17:00:00,35.66,44.47,3.93,13.65,16.2,22.55,12.28,0.1,9.82,1.8,2.1,1.19,10.99,,14.7,0.55,241.21,0.0,8.86,33.11,0.0
2022-06-03 17:00:00,2022-06-03 18:00:00,46.72,51.66,4.01,14.23,16.31,22.84,12.35,0.17,11.47,1.8,2.1,1.2,11.02,,15.12,0.71,296.03,0.0,9.04,31.98,0.0
2022-06-03 18:00:00,2022-06-03 19:00:00,37.73,45.91,3.97,14.47,16.62,22.89,12.27,0.3,8.38,1.8,2.11,1.21,11.02,,19.01,0.49,299.05,0.0,9.07,30.05,0.0
2022-06-03 19:00:00,2022-06-03 20:00:00,38.04,46.1,3.82,13.69,16.27,22.94,12.29,0.73,0.96,1.79,2.1,1.19,10.98,,25.23,0.39,326.55,0.0,8.88,28.13,0.0
2022-06-03 20:00:00,2022-06-03 21:00:00,35.39,46.55,3.82,14.17,16.39,23.31,12.42,0.74,1.63,1.79,2.11,1.21,10.96,,28.24,0.83,289.27,0.0,8.97,27.26,0.0
2022-06-03 21:00:00,2022-06-03 22:00:00,33.88,47.36,3.86,14.39,16.15,23.91,12.33,0.62,2.05,1.79,2.1,1.21,10.95,,29.45,0.98,290.62,0.0,9.14,26.47,0.0
2022-06-03 22:00:00,2022-06-03 23:00:00,32.81,45.71,4.04,14.21,15.68,23.55,12.16,0.51,2.51,1.8,2.09,1.21,10.95,,29.73,0.96,290.97,0.0,9.04,26.25,0.0
2022-06-03 23:00:00,2022-06-04 00:00:00,32.93,43.44,4.02,14.06,15.69,22.22,12.3,0.45,4.73,1.8,2.09,1.2,11.02,,31.04,1.29,289.02,0.0,8.85,26.0,0.0
2022-06-04 00:00:00,2022-06-04 01:00:00,31.44,44.95,3.98,13.86,16.09,21.64,12.08,0.3,4.27,1.8,2.1,1.2,11.05,,33.52,1.31,287.09,0.0,8.62,25.28,0.0
2022-06-04 01:00:00,2022-06-04 02:00:00,32.24,40.09,4.01,13.95,16.04,22.94,12.61,0.24,3.28,1.8,2.1,1.2,11.04,,33.02,1.21,288.45,0.0,9.03,24.65,0.0
2022-06-04 02:00:00,2022-06-04 03:00:00,31.48,38.3,3.9,13.7,16.32,23.19,12.61,0.16,1.75,1.8,2.1,1.19,11.0,,36.65,1.24,285.65,0.0,9.09,23.79,0.0
2022-06-04 03:00:00,2022-06-04 04:00:00,25.32,37.76,3.93,14.25,15.79,22.56,12.58,0.13,1.74,1.8,2.1,1.21,11.05,,43.13,1.19,300.99,0.0,9.0,22.43,0.0
2022-06-04 04:00:00,2022-06-04 05:00:00,24.11,40.22,3.89,14.05,15.97,22.27,12.65,0.12,2.66,1.8,2.1,1.2,10.99,,45.78,1.4,283.37,0.0,8.89,21.41,0.0
2022-06-04 05:00:00,2022-06-04 06:00:00,25.69,36.53,3.62,13.6,16.39,22.06,12.76,0.17,2.4,1.78,2.11,1.19,11.02,,46.25,1.26,285.23,0.0,8.87,20.97,0.0
2022-06-04 06:00:00,2022-06-04 07:00:00,24.93,34.8,3.97,14.46,15.66,22.63,12.88,0.22,1.43,1.8,2.09,1.21,10.91,,47.97,1.03,284.87,0.0,8.99,21.02,0.0
2022-06-04 07:00:00,2022-06-04 08:00:00,24.78,31.57,3.9,14.07,15.52,23.09,13.04,0.15,0.77,1.8,2.09,1.2,11.02,,49.04,1.59,286.95,0.0,9.03,22.04,0.0
2022-06-04 08:00:00,2022-06-04 09:00:00,23.2,29.69,4.14,14.26,15.83,23.05,13.09,0.17,1.24,1.8,2.1,1.2,11.01,,45.71,1.9,286.31,0.0,9.13,23.5,0.0
2022-06-04 09:00:00,2022-06-04 10:00:00,19.46,29.11,4.0,13.84,16.45,21.45,13.04,0.14,4.23,1.8,2.11,1.2,10.96,,37.62,1.89,282.53,0.0,8.53,24.88,0.0
2022-06-04 10:00:00,2022-06-04 11:00:00,18.77,30.35,3.95,13.83,15.58,22.89,13.16,0.25,5.81,1.8,2.09,1.19,11.06,,27.44,1.47,286.51,0.0,9.11,27.57,0.0
2022-06-04 11:00:00,2022-06-04 12:00:00,26.56,34.5,4.06,13.75,16.12,21.67,13.17,0.24,8.1,1.8,2.1,1.19,10.97,,24.14,1.12,297.64,0.0,8.66,29.27,0.0
2022-06-04 12:00:00,2022-06-04 13:00:00,23.48,36.21,3.95,13.99,15.79,23.64,13.31,0.13,8.84,1.8,2.1,1.2,11.0,,18.3,0.89,314.4,0.0,9.11,31.43,0.0
2022-06-04 13:00:00,2022-06-04 14:00:00,21.21,31.79,3.98,13.99,15.77,22.53,13.26,0.08,9.24,1.8,2.09,1.2,11.02,,15.84,1.07,291.39,0.0,8.96,32.43,0.0
2022-06-04 14:00:00,2022-06-04 15:00:00,19.89,30.93,4.07,13.93,16.21,23.69,13.26,0.1,11.72,1.8,2.1,1.2,10.97,,10.09,0.51,324.84,0.0,9.14,33.86,0.0
2022-06-04 15:00:00,2022-06-04 16:00:00,26.31,35.52,3.89,14.06,15.74,23.31,13.31,0.18,12.31,1.8,2.09,1.2,11.01,,9.04,0.54,317.2,0.0,8.96,34.4,0.0
2022-06-04 16:00:00,2022-06-04 17:00:00,40.31,45.58,4.14,14.18,16.4,22.63,13.53,0.24,13.49,1.8,2.11,1.2,11.0,,9.45,0.65,300.54,0.0,8.99,33.85,0.0
2022-06-04 17:00:00,2022-06-04 18:00:00,47.9,51.93,4.14,14.19,15.53,23.64,13.55,0.14,9.83,1.81,2.09,1.2,11.02,,11.64,0.35,231.48,0.0,9.08,32.65,0.0
2022-06-04 18:00:00,2022-06-04 19:00:00,39.04,47.27,4.13,13.83,16.34,23.69,13.54,0.16,4.92,1.81,2.11,1.2,11.04,,17.98,0.18,250.71,0.0,9.14,29.61,0.0
2022-06-04 19:00:00,2022-06-04 20:00:00,39.15,49.49,3.9,14.15,16.04,22.48,13.63,0.53,0.46,1.8,2.1,1.2,11.04,,21.77,0.26,261.35,0.0,8.9,27.38,0.0
2022-06-04 20:00:00,2022-06-04 21:00:00,41.79,51.08,4.15,13.55,16.45,23.95,13.78,1.06,,1.8,2.11,1.19,10.97,,25.74,0.35,332.51,0.0,9.31,26.21,0.0
2022-06-04 21:00:00,2022-06-04 22:00:00,41.22,52.78,4.06,14.13,16.13,22.12,13.79,1.48,0.02,1.8,2.1,1.2,11.04,,31.09,0.45,320.36,0.0,8.9,25.6,0.0
2022-06-04 22:00:00,2022-06-04 23:00:00,41.19,51.18,3.87,14.02,15.98,24.14,13.84,1.42,0.01,1.8,2.1,1.2,10.94,,33.65,0.63,305.31,0.0,9.49,24.88,0.0
2022-06-04 23:00:00,2022-06-05 00:00:00,41.21,48.35,4.12,14.26,15.69,23.32,13.61,1.11,0.01,1.81,2.09,1.21,11.01,,31.33,0.46,293.01,0.0,9.1,24.07,0.0
2022-06-05 00:00:00,2022-06-05 01:00:00,40.48,48.28,4.17,13.99,16.52,23.04,11.27,1.45,0.01,1.81,2.11,1.2,11.01,,36.05,0.56,304.56,0.0,9.02,23.26,0.0
2022-06-05 01:00:00,2022-06-05 02:00:00,42.28,49.05,4.01,14.39,15.86,21.93,11.44,1.28,0.71,1.8,2.09,1.21,11.09,,30.45,0.6,298.2,0.0,8.66,23.27,0.0
2022-06-05 02:00:00,2022-06-05 03:00:00,39.06,51.04,3.87,14.08,15.92,23.65,11.37,1.2,1.16,1.79,2.1,1.2,10.91,,28.01,0.48,296.97,0.0,9.17,22.74,0.0
2022-06-05 03:00:00,2022-06-05 04:00:00,38.64,50.78,3.89,13.61,16.35,23.47,11.4,0.97,0.66,1.8,2.11,1.19,10.99,,29.29,0.66,278.35,0.0,9.11,22.58,0.0
2022-06-05 04:00:00,2022-06-05 05:00:00,37.64,47.42,3.79,13.66,15.85,22.74,11.23,0.84,0.37,1.79,2.1,1.19,11.04,,31.35,0.72,284.49,0.0,8.9,22.16,0.0
2022-06-05 05:00:00,2022-06-05 06:00:00,34.22,44.11,4.2,13.96,16.29,23.11,11.09,0.74,0.71,1.81,2.1,1.2,11.04,,34.98,0.86,284.3,0.0,8.96,21.45,0.0
2022-06-05 06:00:00,2022-06-05 07:00:00,32.24,42.35,4.16,13.71,16.36,23.09,11.33,0.72,1.12,1.8,2.11,1.19,11.02,,37.78,0.88,286.73,0.0,8.86,21.35,0.0
2022-06-05 07:00:00,2022-06-05 08:00:00,28.24,38.09,3.84,14.39,16.02,24.21,11.42,0.76,1.87,1.79,2.1,1.21,11.0,,36.11,0.96,281.61,0.0,9.42,22.79,0.0
2022-06-05 08:00:00,2022-06-05 09:00:00,27.8,38.14,3.86,14.35,15.6,22.34,11.6,0.74,3.83,1.79,2.09,1.21,10.97,,31.35,1.06,274.29,0.0,8.79,25.39,0.0
2022-06-05 09:00:00,2022-06-05 10:00:00,33.45,39.91,4.03,13.58,16.16,23.91,11.72,0.56,4.03,1.8,2.1,1.19,11.01,,25.3,0.91,274.38,0.0,9.23,28.84,0.0
2022-06-05 10:00:00,2022-06-05 11:00:00,30.16,38.98,3.67,14.67,15.69,22.74,12.0,0.5,7.57,1.78,2.09,1.21,11.03,,18.3,0.93,296.42,0.0,8.97,31.61,0.0
2022-06-05 11:00:00,2022-06-05 12:00:00,25.45,38.34,4.06,14.09,15.85,23.04,12.16,0.47,11.79,1.8,2.1,1.2,11.02,,15.01,0.66,241.89,0.0,8.99,33.87,0.0
2022-06-05 12:00:00,2022-06-05 13:00:00,27.16,43.04,3.84,13.71,15.79,22.42,12.05,0.58,12.21,1.79,2.09,1.19,11.02,,11.65,0.43,166.1,0.0,8.87,35.4,0.0
2022-06-05 13:00:00,2022-06-05 14:00:00,27.15,43.28,4.02,14.16,16.32,22.86,11.82,0.58,12.95,1.8,2.1,1.2,11.07,,10.67,0.43,183.1,0.0,8.92,36.73,0.0
2022-06-05 14:00:00,2022-06-05 15:00:00,26.28,38.79,4.02,13.9,16.57,20.65,11.94,0.44,11.87,1.8,2.11,1.2,11.0,,11.6,0.43,248.87,0.0,8.39,35.89,0.0
2022-06-05 15:00:00,2022-06-05 16:00:00,27.63,38.06,3.98,14.07,15.6,24.47,12.0,0.33,10.12,1.8,2.09,1.2,11.02,,12.2,0.46,117.97,0.0,9.29,35.16,0.0
2022-06-05 16:00:00,2022-06-05 17:00:00,38.38,47.03,3.87,14.21,15.87,23.05,12.23,0.43,8.9,1.79,2.09,1.21,11.01,,16.19,0.62,72.27,0.0,9.12,31.2,0.0
2022-06-05 17:00:00,2022-06-05 18:00:00,47.19,57.83,3.87,13.51,15.98,23.03,12.07,0.4,13.31,1.8,2.1,1.19,10.99,,20.39,0.88,234.89,0.0,9.04,28.88,0.0
2022-06-05 18:00:00,2022-06-05 19:00:00,43.18,50.65,4.14,13.79,15.68,22.14,12.02,0.56,9.71,1.81,2.09,1.19,11.0,,26.95,0.72,172.56,0.0,8.8,26.38,0.0
2022-06-05 19:00:00,2022-06-05 20:00:00,36.79,49.03,4.23,13.89,15.63,23.69,12.19,0.64,4.46,1.81,2.1,1.2,10.99,,28.14,0.39,122.95,0.0,9.18,26.02,0.0
2022-06-05 20:00:00,2022-06-05 21:00:00,35.74,42.98,4.11,14.11,15.91,22.3,12.15,0.47,4.26,1.81,2.1,1.2,11.02,,26.37,0.37,163.7,0.0,8.85,26.03,0.0
2022-06-05 21:00:00,2022-06-05 22:00:00,33.59,39.62,4.07,14.21,15.88,22.22,12.27,0.52,6.32,1.8,2.1,1.21,10.98,,29.94,0.69,232.28,0.0,8.85,24.59,0.0
2022-06-05 22:00:00,2022-06-05 23:00:00,27.16,38.42,4.16,14.33,16.27,23.97,12.25,0.59,9.66,1.81,2.1,1.21,11.03,,33.09,0.8,269.18,0.0,9.04,23.52,0.0
2022-06-05 23:00:00,2022-06-06 00:00:00,27.23,37.18,4.16,14.13,16.05,22.09,12.32,0.63,8.59,1.81,2.1,1.2,11.0,,36.63,1.16,283.0,0.0,8.73,22.46,0.0
2022-06-06 00:00:00,2022-06-06 01:00:00,28.43,38.75,3.64,13.84,15.83,22.32,11.07,0.32,7.14,1.79,2.1,1.19,10.96,,36.47,1.91,288.48,0.0,8.9,22.44,0.0
2022-06-06 01:00:00,2022-06-06 02:00:00,25.46,36.57,4.19,14.03,16.25,23.15,11.16,0.28,6.45,1.81,2.1,1.2,10.97,,42.36,2.04,288.79,0.0,9.03,21.2,0.0
2022-06-06 02:00:00,2022-06-06 03:00:00,24.09,33.99,3.85,13.67,15.93,22.69,11.33,0.22,4.52,1.8,2.1,1.19,11.05,,45.58,1.97,285.9,0.0,9.02,20.36,0.0
2022-06-06 03:00:00,2022-06-06 04:00:00,25.2,34.5,3.86,13.79,16.1,22.8,11.21,0.21,5.0,1.79,2.1,1.19,11.03,,47.05,1.77,282.56,0.0,8.9,19.91,0.0
2022-06-06 04:00:00,2022-06-06 05:00:00,24.67,37.7,3.88,13.84,15.54,22.69,11.39,0.31,4.74,1.79,2.09,1.2,11.05,,48.26,1.52,280.05,0.0,9.08,19.68,0.0
2022-06-06 05:00:00,2022-06-06 06:00:00,25.38,36.14,3.92,14.32,16.67,22.55,11.42,0.31,4.39,1.79,2.11,1.21,11.06,,50.16,1.87,274.57,0.0,8.87,19.26,0.0
2022-06-06 06:00:00,2022-06-06 07:00:00,24.52,34.44,3.96,14.27,15.88,22.95,11.39,0.27,3.05,1.79,2.1,1.2,11.02,,50.61,2.03,280.02,0.0,8.85,19.07,0.0
2022-06-06 07:00:00,2022-06-06 08:00:00,23.14,33.53,4.06,13.83,16.02,22.97,11.42,0.27,3.41,1.8,2.1,1.2,10.99,,54.14,2.26,280.72,0.0,9.03,18.86,0.0
2022-06-06 08:00:00,2022-06-06 09:00:00,21.87,34.92,3.91,14.53,16.19,23.13,11.5,0.24,4.56,1.79,2.1,1.21,11.05,,51.4,2.15,280.93,0.0,9.09,20.07,0.0
2022-06-06 09:00:00,2022-06-06 10:00:00,18.62,31.36,3.99,13.79,16.25,23.55,11.69,0.36,7.63,1.8,2.1,1.19,11.06,,41.49,2.24,281.24,0.0,9.22,23.15,0.0
2022-06-06 10:00:00,2022-06-06 11:00:00,20.41,32.31,3.96,13.26,15.54,24.61,11.78,0.35,10.28,1.8,2.09,1.19,10.93,,32.83,2.27,286.35,0.0,9.15,26.12,0.0
2022-06-06 11:00:00,2022-06-06 12:00:00,23.98,34.64,4.0,14.12,16.62,23.93,11.96,0.26,9.38,1.8,2.11,1.2,11.02,,29.29,2.19,281.71,0.0,9.27,27.49,0.0
2022-06-06 12:00:00,2022-06-06 13:00:00,25.26,30.98,4.14,14.42,15.78,22.5,11.73,0.22,7.53,1.81,2.09,1.21,10.97,,26.03,1.46,286.51,0.0,8.92,28.79,0.0
2022-06-06 13:00:00,2022-06-06 14:00:00,23.37,28.61,3.96,14.21,16.57,21.95,11.72,0.26,9.42,1.8,2.11,1.21,10.97,,23.88,1.19,289.94,0.0,8.81,29.4,0.0
2022-06-06 14:00:00,2022-06-06 15:00:00,21.83,31.11,3.86,14.1,16.23,23.23,11.8,0.35,10.1,1.79,2.1,1.2,11.02,,25.46,1.51,285.38,0.0,9.12,28.58,0.0
2022-06-06 15:00:00,2022-06-06 16:00:00,27.33,36.76,4.21,13.69,15.87,22.96,12.0,0.42,8.36,1.81,2.1,1.19,11.03,,26.6,1.01,286.67,0.0,9.06,28.21,0.0
2022-06-06 16:00:00,2022-06-06 17:00:00,38.61,43.55,3.93,14.14,16.03,22.65,12.0,0.33,5.77,1.8,2.1,1.2,10.96,,27.54,1.26,279.77,0.0,8.91,28.1,0.0
2022-06-06 17:00:00,2022-06-06 18:00:00,41.64,49.06,4.03,13.68,15.97,23.59,12.18,0.32,4.06,1.8,2.1,1.19,11.01,,30.31,0.67,255.9,0.0,9.08,27.35,0.0
2022-06-06 18:00:00,2022-06-06 19:00:00,38.07,45.6,4.16,14.12,16.04,22.84,12.17,0.39,2.88,1.81,2.1,1.2,11.01,,30.2,0.45,259.22,0.0,8.94,26.83,0.0
2022-06-06 19:00:00,2022-06-06 20:00:00,34.4,46.46,3.94,13.84,15.94,23.45,12.06,0.53,4.21,1.8,2.1,1.2,11.04,,31.68,0.7,282.88,0.0,9.18,26.0,0.0
2022-06-06 20:00:00,2022-06-06 21:00:00,35.14,44.45,3.97,13.93,16.07,23.04,12.17,0.74,1.98,1.8,2.1,1.2,11.01,,34.45,0.78,294.96,0.0,9.04,25.18,0.0
2022-06-06 21:00:00,2022-06-06 22:00:00,35.92,39.16,4.07,13.64,15.98,22.6,12.12,0.67,3.65,1.81,2.1,1.19,11.04,,40.04,1.28,277.97,0.0,8.97,24.4,0.0
2022-06-06 22:00:00,2022-06-06 23:00:00,31.4,37.51,4.21,13.66,15.85,24.65,12.05,0.45,2.6,1.81,2.1,1.19,11.04,,42.27,1.58,284.67,0.0,9.13,23.69,0.0
2022-06-06 23:00:00,2022-06-07 00:00:00,29.19,36.62,3.89,13.76,15.97,23.66,11.96,0.42,1.65,1.8,2.1,1.19,11.05,,45.93,1.58,286.81,0.0,9.31,22.98,0.0
2022-06-07 00:00:00,2022-06-07 01:00:00,26.34,38.71,3.89,14.45,15.9,22.96,11.85,0.46,4.22,1.8,2.1,1.21,11.01,,45.86,1.64,284.73,0.0,9.07,22.76,0.0
2022-06-07 01:00:00,2022-06-07 02:00:00,24.5,39.89,4.19,14.01,16.28,23.32,12.06,0.49,3.44,1.81,2.1,1.2,11.0,,46.96,1.25,286.56,0.0,8.88,22.29,0.0
2022-06-07 02:00:00,2022-06-07 03:00:00,27.49,38.18,3.84,14.37,15.61,24.69,12.15,0.46,3.36,1.79,2.09,1.21,11.02,,47.81,1.83,288.02,0.0,9.46,22.1,0.0
2022-06-07 03:00:00,2022-06-07 04:00:00,29.76,34.29,4.12,14.13,16.5,22.9,12.16,0.3,2.49,1.8,2.11,1.2,11.0,,47.12,1.68,287.75,0.0,9.08,21.69,0.0
2022-06-07 04:00:00,2022-06-07 05:00:00,27.31,32.32,4.16,14.4,15.95,23.62,12.17,0.32,1.45,1.81,2.1,1.21,11.05,,48.68,1.43,285.75,0.0,9.09,20.85,0.0
2022-06-07 05:00:00,2022-06-07 06:00:00,23.64,32.3,4.02,14.29,15.7,23.11,12.27,0.4,1.21,1.8,2.09,1.21,10.93,,50.46,1.54,284.89,0.0,9.05,20.14,0.0
2022-06-07 06:00:00,2022-06-07 07:00:00,20.54,30.16,3.88,13.92,15.98,23.06,12.22,0.39,1.22,1.8,2.1,1.2,11.02,,49.89,1.52,284.26,0.0,9.02,20.22,0.0
2022-06-07 07:00:00,2022-06-07 08:00:00,19.34,30.42,3.96,14.89,15.71,22.28,12.3,0.47,1.71,1.8,2.09,1.22,11.03,,46.0,1.66,284.11,0.0,8.81,21.67,0.0
