From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),RF (mm),Xylene (ug/m3),AT (degree C)
2022-06-02 11:00:00,2022-06-02 12:00:00,20.61,25.92,,2.8,,1.21,7.89,0.4,9.92,1.52,1.48,,1.48,,28.04,3.08,325.5,433.8,0.0,1.5,34.53
2022-06-02 12:00:00,2022-06-02 13:00:00,17.65,22.67,0.01,2.78,2.6,0.91,7.56,0.39,10.72,1.46,1.47,,1.5,,27.62,2.96,339.81,730.78,0.0,1.42,34.97
2022-06-02 13:00:00,2022-06-02 14:00:00,15.55,19.77,,2.48,2.48,0.76,7.71,0.38,14.4,1.58,1.47,,1.56,,20.84,3.05,257.81,744.1,0.0,1.55,36.72
2022-06-02 14:00:00,2022-06-02 15:00:00,25.69,30.64,,2.28,2.28,0.59,8.05,0.35,12.15,1.44,1.56,,1.54,,18.44,2.96,340.78,642.8,0.0,1.53,37.56
2022-06-02 15:00:00,2022-06-02 16:00:00,32.22,39.05,,2.3,2.3,0.34,8.36,0.36,10.61,1.47,1.52,,1.5,,17.33,2.4,261.75,494.95,0.0,1.54,38.04
2022-06-02 16:00:00,2022-06-02 17:00:00,28.08,34.41,0.21,2.61,2.67,0.12,8.56,0.35,10.58,1.49,1.46,,1.44,,16.04,2.48,173.14,306.55,0.0,1.54,38.04
2022-06-02 17:00:00,2022-06-02 18:00:00,29.7,36.77,0.14,2.88,3.02,,8.62,0.35,9.26,1.46,1.47,,1.58,,15.44,2.16,347.67,115.03,0.0,1.51,37.68
2022-06-02 18:00:00,2022-06-02 19:00:00,28.28,35.88,0.13,2.96,3.06,,8.72,0.39,9.32,1.53,1.46,,1.5,,17.47,1.39,343.33,6.62,0.0,1.54,36.29
2022-06-02 19:00:00,2022-06-02 20:00:00,35.39,43.99,0.14,4.54,4.68,,8.66,0.57,6.42,1.48,1.55,,1.47,,23.72,0.55,265.91,0.0,0.0,1.43,32.79
2022-06-02 20:00:00,2022-06-02 21:00:00,35.79,39.39,0.69,6.13,6.82,,9.56,0.88,2.71,1.53,1.47,,1.47,,29.19,0.61,193.33,0.0,0.0,1.52,30.44
