From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree C),RF (mm)
2019-03-28 14:00:00,2019-03-28 15:00:00,,,2.31,1.02,3.32,29.21,3.53,0.65,14.69,0.0,0.0,,,49.97,,69.59,628.97,,,5.64
2019-03-28 15:00:00,2019-03-28 16:00:00,48.62,49.48,1.66,1.77,3.42,16.97,2.3,0.44,14.52,0.0,0.0,,,49.93,,68.81,478.58,,1.81,5.64
2019-03-28 16:00:00,2019-03-28 17:00:00,41.06,50.31,1.32,4.06,5.36,7.31,16.96,0.43,14.68,0.0,0.0,,,49.98,,52.62,276.84,,5.28,5.65
2019-03-28 17:00:00,2019-03-28 18:00:00,47.02,59.68,1.38,6.32,7.69,1.79,22.22,0.39,10.74,0.0,0.0,,,50.04,,58.21,71.53,,12.31,5.67
2019-03-28 18:00:00,2019-03-28 19:00:00,52.27,64.58,1.73,7.95,9.68,0.82,22.58,0.36,11.06,0.0,0.0,,,49.98,,66.81,,,11.98,5.68
2019-03-28 19:00:00,2019-03-28 20:00:00,47.84,48.91,1.92,8.85,10.76,,22.44,0.39,15.71,0.0,0.0,,,50.01,,70.74,,,12.2,5.7
2019-03-28 20:00:00,2019-03-28 21:00:00,,,,,,,,,,,,,,,,,,,,
2019-03-28 21:00:00,2019-03-28 22:00:00,,,,,,,,,,,,,,,,,,,,
2019-03-28 22:00:00,2019-03-28 23:00:00,,,,,,,,,,,,,,,,,,,,
2019-03-28 23:00:00,2019-03-29 00:00:00,,,,,,,,,,,,,,,,,,,,
2019-03-29 00:00:00,2019-03-29 01:00:00,,,,,,,,,,,,,,,,,,,,
2019-03-29 01:00:00,2019-03-29 02:00:00,,,,,,,,,,,,,,,,,,,,
2019-03-29 02:00:00,2019-03-29 03:00:00,,,,,,,,,,,,,,,,,,,,
2019-03-29 03:00:00,2019-03-29 04:00:00,,,,,,,,,,,,,,,,,,,,
2019-03-29 04:00:00,2019-03-29 05:00:00,,,,,,,,,,,,,,,,,,,,
2019-03-29 05:00:00,2019-03-29 06:00:00,,,,,,,,,,,,,,,,,,,,
2019-03-29 06:00:00,2019-03-29 07:00:00,,,,,,,,,,,,,,,,,,,,
2019-03-29 07:00:00,2019-03-29 08:00:00,,,,,,,,,,,,,,,,,,,,
2019-03-29 08:00:00,2019-03-29 09:00:00,,,,,,,,,,,,,,,,,,,,
2019-03-29 09:00:00,2019-03-29 10:00:00,,,,,,,,,,,,,,,,,,,,
2019-03-29 10:00:00,2019-03-29 11:00:00,,,,,,,,,,,,,,,,,,,,
2019-03-29 11:00:00,2019-03-29 12:00:00,,,,,,,,,,,,,,,,,,,,
2019-03-29 12:00:00,2019-03-29 13:00:00,,,,,,,,,,,,,,,,,,,,
2019-03-29 13:00:00,2019-03-29 14:00:00,,,137.75,,129.56,,48.93,2.36,,0.0,0.0,,,50.18,,73.23,346.02,,17.53,5.72
2019-03-29 14:00:00,2019-03-29 15:00:00,,,12.71,0.67,10.62,45.13,28.32,1.1,12.0,0.0,0.0,,,50.0,,74.34,551.43,,6.93,5.67
2019-03-29 15:00:00,2019-03-29 16:00:00,,,2.66,1.7,4.41,30.53,23.51,0.56,22.47,0.0,0.0,,,50.0,33.52,62.09,433.09,,5.32,5.64
2019-03-29 16:00:00,2019-03-29 17:00:00,,,2.06,1.74,3.73,14.6,22.36,0.39,26.7,0.0,0.0,,,49.94,,65.5,234.91,,11.49,5.64
2019-03-29 17:00:00,2019-03-29 18:00:00,,,26.85,69.64,109.03,,20.77,0.01,31.18,0.0,0.0,,,49.95,10.24,63.95,57.02,,15.06,5.68
2019-03-29 18:00:00,2019-03-29 19:00:00,,,52.31,75.91,128.81,,21.38,,30.04,0.0,0.0,,,49.84,,67.74,,,13.58,5.67
2019-03-29 19:00:00,2019-03-29 20:00:00,,,33.91,30.54,64.5,,20.81,,34.64,0.0,0.0,,,49.88,14.48,69.27,,,12.85,5.66
2019-03-29 20:00:00,2019-03-29 21:00:00,,,25.21,14.7,39.86,,20.35,,39.12,0.0,0.0,,,49.92,31.43,72.68,,,13.82,5.67
2019-03-29 21:00:00,2019-03-29 22:00:00,1.57,3.48,20.66,7.3,28.03,,19.82,,41.39,0.0,0.0,,,49.87,,73.77,,,13.61,5.65
2019-03-29 22:00:00,2019-03-29 23:00:00,5.88,12.26,16.69,3.94,20.64,,19.87,,46.67,0.0,0.0,,,49.89,,71.5,,,12.08,5.65
2019-03-29 23:00:00,2019-03-30 00:00:00,10.83,16.05,14.02,1.6,15.65,,19.84,,52.15,0.0,0.0,,,49.9,45.27,75.2,,,11.63,5.66
