From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree C),RF (mm)
2019-06-12 11:00:00,2019-06-12 12:00:00,15.8,23.33,7.03,3.65,10.68,7.56,9.71,1.0,35.33,0.03,1.38,,0.2,62.23,20.02,87.19,939.87,,28.68,9.81
2019-06-12 12:00:00,2019-06-12 13:00:00,18.69,26.88,6.61,2.87,9.49,7.68,8.63,1.01,40.59,0.01,0.33,,0.18,66.91,23.97,83.02,804.95,,27.57,9.81
2019-06-12 13:00:00,2019-06-12 14:00:00,26.73,39.32,6.8,3.41,10.21,8.11,12.7,1.12,39.85,0.02,0.6,,0.15,67.53,24.21,89.02,651.61,,27.59,9.81
2019-06-12 14:00:00,2019-06-12 15:00:00,37.11,53.22,7.03,4.14,11.18,9.22,9.76,1.31,37.37,0.04,0.48,,0.15,70.36,19.2,71.96,371.16,,27.44,9.81
2019-06-12 15:00:00,2019-06-12 16:00:00,51.97,63.38,6.69,3.57,10.28,9.69,13.3,1.23,30.1,0.04,0.55,,0.18,76.55,19.36,66.97,154.47,,26.4,9.81
2019-06-12 16:00:00,2019-06-12 17:00:00,75.36,68.61,6.41,3.79,10.19,9.85,9.46,1.12,26.68,0.02,0.61,,0.12,78.4,17.63,101.76,136.62,,26.27,9.81
2019-06-12 17:00:00,2019-06-12 18:00:00,,,6.87,4.95,11.82,10.21,9.44,1.23,24.57,0.06,0.36,,0.08,80.15,17.95,71.29,99.99,,26.14,9.81
2019-06-12 18:00:00,2019-06-12 19:00:00,,,6.96,5.18,12.15,10.18,12.03,1.21,23.6,0.05,0.17,,0.15,80.42,17.5,87.62,25.86,,26.13,9.81
2019-06-12 19:00:00,2019-06-12 20:00:00,47.78,50.19,6.77,5.8,12.56,9.51,10.12,1.21,26.55,0.08,0.22,,0.11,73.33,11.08,90.95,22.48,,25.55,9.81
2019-06-12 20:00:00,2019-06-12 21:00:00,44.48,47.1,6.76,4.94,11.7,9.96,9.23,1.29,26.99,0.08,0.17,,0.09,76.23,15.46,71.92,22.48,,25.36,9.81
2019-06-12 21:00:00,2019-06-12 22:00:00,,34.17,6.06,4.5,10.56,9.75,10.14,1.1,23.26,0.02,0.14,,0.05,81.02,13.27,62.37,22.48,,24.9,9.81
2019-06-12 22:00:00,2019-06-12 23:00:00,27.5,28.72,6.1,4.87,10.97,10.12,8.44,1.09,22.64,0.01,0.11,,0.04,79.46,14.06,75.0,22.49,,25.17,9.81
2019-06-12 23:00:00,2019-06-13 00:00:00,22.37,24.57,6.24,4.7,10.94,10.78,8.37,1.14,23.91,0.0,0.06,,0.04,81.01,15.63,74.17,22.5,,24.99,9.81
2019-06-13 00:00:00,2019-06-13 01:00:00,18.5,22.15,6.41,4.76,11.16,10.8,11.11,1.12,23.2,0.07,0.09,,0.05,78.49,15.65,78.72,22.49,,25.59,9.81
2019-06-13 01:00:00,2019-06-13 02:00:00,20.09,23.8,6.38,5.52,11.9,10.47,10.14,1.06,20.72,0.02,0.05,,0.03,81.22,14.46,75.33,22.49,,25.32,9.81
2019-06-13 02:00:00,2019-06-13 03:00:00,21.09,22.91,6.57,5.04,11.61,10.29,8.96,1.15,21.87,0.02,0.07,,0.03,84.0,15.41,77.24,22.49,,25.04,9.81
2019-06-13 03:00:00,2019-06-13 04:00:00,,,6.27,3.67,9.94,9.65,10.53,1.06,23.36,0.04,0.05,,0.03,83.1,14.78,68.36,22.5,,25.28,9.81
2019-06-13 04:00:00,2019-06-13 05:00:00,26.0,26.76,6.16,3.28,9.43,9.29,9.26,1.04,23.42,0.02,0.04,,0.01,84.21,17.77,65.89,22.49,,25.05,9.81
2019-06-13 05:00:00,2019-06-13 06:00:00,24.98,35.22,6.66,4.87,11.53,9.55,9.27,1.24,20.6,0.05,0.07,,0.03,84.18,16.66,83.52,23.21,,24.89,9.81
2019-06-13 06:00:00,2019-06-13 07:00:00,22.75,31.33,6.02,3.05,9.06,8.76,8.24,1.03,22.64,0.05,0.07,,0.04,83.49,19.35,64.06,61.71,,24.87,9.81
2019-06-13 07:00:00,2019-06-13 08:00:00,17.7,21.55,6.28,3.38,9.66,8.62,8.9,1.11,22.65,0.01,0.05,,0.03,78.38,18.61,77.52,149.04,,26.06,9.81
2019-06-13 08:00:00,2019-06-13 09:00:00,19.8,21.18,7.25,5.03,12.27,9.22,12.4,1.4,22.54,0.17,0.16,,0.08,75.33,19.91,81.99,278.13,,26.96,9.81
2019-06-13 09:00:00,2019-06-13 10:00:00,,,6.79,4.1,10.89,8.24,9.71,1.12,24.69,0.03,1.08,,0.15,70.68,22.75,76.22,580.74,,27.88,9.81
2019-06-13 10:00:00,2019-06-13 11:00:00,25.8,28.39,6.42,3.21,9.62,7.78,9.48,1.17,27.49,0.03,0.28,,0.11,60.44,23.99,81.67,704.91,,29.3,9.82
2019-06-13 11:00:00,2019-06-13 12:00:00,27.36,31.46,6.57,4.04,10.61,8.4,9.25,1.22,27.98,0.03,0.55,,0.08,75.89,20.93,73.17,571.39,,27.48,9.81
2019-06-13 12:00:00,2019-06-13 13:00:00,26.1,36.05,7.49,5.91,13.4,8.07,12.58,1.17,30.21,0.04,0.2,,0.12,67.92,22.86,68.36,879.83,,28.71,9.81
2019-06-13 13:00:00,2019-06-13 14:00:00,23.8,34.49,7.31,5.72,13.03,8.07,9.19,1.12,31.11,0.05,0.47,,0.23,62.9,21.33,76.17,793.95,,29.83,9.81
2019-06-13 14:00:00,2019-06-13 15:00:00,20.25,28.96,6.35,3.83,10.19,8.56,9.13,1.16,32.37,0.04,0.45,,0.16,67.23,22.04,69.72,460.06,,28.55,9.81
2019-06-13 15:00:00,2019-06-13 16:00:00,17.88,25.52,6.34,4.14,10.49,8.47,10.7,1.14,32.5,0.02,0.25,,0.09,64.86,21.53,86.1,303.06,,28.24,9.81
2019-06-13 16:00:00,2019-06-13 17:00:00,16.1,26.88,6.43,4.53,10.96,8.25,10.61,1.17,36.03,0.06,0.19,,0.06,62.77,21.42,83.06,365.83,,27.59,9.81
2019-06-13 17:00:00,2019-06-13 18:00:00,19.82,29.04,7.24,9.54,16.8,8.1,9.07,1.08,23.63,0.06,0.47,,0.13,81.25,19.69,71.53,64.34,,24.27,9.81
2019-06-13 18:00:00,2019-06-13 19:00:00,20.54,26.52,6.4,6.65,13.05,8.0,9.1,1.09,25.16,0.05,0.31,,0.08,82.76,13.57,73.56,31.59,,23.79,9.81
2019-06-13 19:00:00,2019-06-13 20:00:00,,,7.08,9.62,16.7,8.06,11.06,1.19,16.72,0.08,0.27,,0.06,84.97,13.32,75.0,22.49,,24.08,9.81
2019-06-13 20:00:00,2019-06-13 21:00:00,,,6.42,4.95,11.37,7.91,9.12,1.14,25.11,0.06,0.13,,0.07,81.32,13.82,79.87,22.48,,24.98,9.81
2019-06-13 21:00:00,2019-06-13 22:00:00,21.81,22.81,6.42,4.83,11.26,7.93,9.01,1.15,26.03,0.04,0.08,,0.03,76.69,15.24,76.48,22.48,,25.66,9.81
2019-06-13 22:00:00,2019-06-13 23:00:00,18.91,21.46,6.21,4.36,10.56,7.81,8.71,1.08,26.62,0.03,0.06,,0.04,77.12,14.57,64.97,22.5,,25.55,9.81
2019-06-13 23:00:00,2019-06-14 00:00:00,16.52,20.08,6.2,5.03,11.24,7.9,8.74,1.11,24.15,0.03,0.07,,0.04,80.47,14.73,67.64,22.49,,25.23,9.81
2019-06-14 00:00:00,2019-06-14 01:00:00,14.06,20.66,6.21,3.92,10.13,7.72,10.16,1.05,24.48,0.01,0.04,,0.01,80.59,14.25,76.66,22.49,,25.36,9.81
2019-06-14 01:00:00,2019-06-14 02:00:00,12.4,28.84,6.5,4.4,10.89,7.89,11.96,1.2,25.01,0.04,0.06,,0.02,80.26,14.37,74.26,22.5,,25.43,9.81
2019-06-14 02:00:00,2019-06-14 03:00:00,14.8,28.86,6.58,4.62,11.2,8.15,10.91,1.33,24.77,0.05,0.06,,0.03,78.55,13.62,77.2,22.49,,25.74,9.81
2019-06-14 03:00:00,2019-06-14 04:00:00,21.69,27.7,6.23,3.63,9.86,7.59,8.83,1.12,24.55,0.05,0.06,,0.02,78.6,13.7,77.09,22.49,,25.61,9.81
2019-06-14 04:00:00,2019-06-14 05:00:00,25.05,27.38,7.36,6.55,13.91,8.11,15.01,1.41,21.19,0.07,0.07,,0.02,81.53,13.34,76.18,22.49,,25.28,9.81
2019-06-14 05:00:00,2019-06-14 06:00:00,28.53,29.87,6.58,5.06,11.64,7.61,10.69,1.23,21.21,0.13,0.12,,0.06,82.35,13.33,74.51,22.67,,25.17,9.81
2019-06-14 06:00:00,2019-06-14 07:00:00,,,6.43,4.44,10.87,7.29,12.59,1.16,20.56,0.04,0.07,,0.04,83.83,11.95,82.28,39.5,,24.99,9.81
2019-06-14 07:00:00,2019-06-14 08:00:00,,,6.92,5.22,12.14,7.29,9.12,1.11,20.32,0.04,0.06,,0.04,81.13,14.75,72.36,226.83,,25.61,9.81
2019-06-14 08:00:00,2019-06-14 09:00:00,25.16,27.48,7.33,5.29,12.61,7.79,9.38,1.2,22.96,0.04,0.29,,0.06,74.22,14.76,81.81,387.98,,27.06,9.81
2019-06-14 09:00:00,2019-06-14 10:00:00,24.41,30.49,8.23,6.44,14.65,8.08,10.46,1.16,23.48,0.03,1.1,,0.2,73.89,15.15,66.78,526.03,,27.43,9.81
2019-06-14 10:00:00,2019-06-14 11:00:00,26.24,33.22,8.36,7.21,15.56,8.4,9.95,1.17,27.45,0.03,0.58,,0.21,70.3,17.15,67.43,591.12,,28.23,9.81
2019-06-14 11:00:00,2019-06-14 12:00:00,25.55,37.4,6.69,4.67,11.37,8.36,14.28,1.19,32.89,0.04,0.85,,0.18,63.69,18.16,79.42,645.75,,29.45,9.81
2019-06-14 12:00:00,2019-06-14 13:00:00,27.95,44.86,6.55,4.03,10.59,8.3,10.24,1.1,30.92,0.03,0.27,,0.1,60.4,17.38,75.96,784.41,,30.21,9.81
2019-06-14 13:00:00,2019-06-14 14:00:00,30.45,40.69,6.67,4.57,11.22,8.67,10.12,1.22,31.71,0.04,0.7,,0.31,66.64,20.43,75.02,552.18,,28.88,9.81
2019-06-14 14:00:00,2019-06-14 15:00:00,29.99,36.43,6.7,4.49,11.19,8.66,16.62,1.3,28.5,0.06,0.63,,0.14,66.63,18.35,77.86,379.1,,28.56,9.81
