From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),RF (mm)
2020-11-07 22:00:00,2020-11-07 23:00:00,28.5,41.5,,28.8,31.65,17.55,,28.6,96.0,0.55,,14.0,764.0,0.0
2020-11-07 23:00:00,2020-11-08 00:00:00,27.5,41.25,,18.65,21.4,20.62,,28.83,95.75,0.9,,14.0,763.5,2.0
2020-11-08 00:00:00,2020-11-08 01:00:00,17.5,28.75,,11.53,12.98,21.45,,28.95,95.0,1.23,,14.0,762.75,1.5
2020-11-08 01:00:00,2020-11-08 02:00:00,13.75,18.75,,18.93,13.95,21.25,,28.95,95.5,0.4,,14.0,761.25,0.0
2020-11-08 02:00:00,2020-11-08 03:00:00,25.5,28.25,,19.5,13.6,21.18,,29.08,96.25,0.5,,14.0,761.0,0.0
2020-11-08 03:00:00,2020-11-08 04:00:00,28.5,33.5,,15.8,12.1,19.1,,28.62,97.0,0.6,,14.0,760.5,0.0
2020-11-08 04:00:00,2020-11-08 05:00:00,39.75,49.25,,20.57,14.8,18.08,,28.42,97.0,0.38,,14.0,760.0,0.0
2020-11-08 05:00:00,2020-11-08 06:00:00,58.75,83.0,,24.4,16.23,18.33,,28.38,97.0,0.5,,14.25,761.5,0.0
2020-11-08 06:00:00,2020-11-08 07:00:00,60.0,86.75,,27.2,19.52,17.82,,28.35,97.25,0.42,,41.5,763.0,0.0
2020-11-08 07:00:00,2020-11-08 08:00:00,77.25,103.75,,24.23,18.05,21.25,,28.48,95.75,0.7,,119.75,764.25,0.0
2020-11-08 08:00:00,2020-11-08 09:00:00,79.25,114.5,,21.6,15.93,23.67,,29.07,89.5,1.23,,214.75,765.0,0.0
2020-11-08 09:00:00,2020-11-08 10:00:00,67.25,98.25,,14.32,10.63,24.9,,29.18,78.75,2.95,,401.0,766.0,0.0
2020-11-08 10:00:00,2020-11-08 11:00:00,73.5,108.5,,14.28,9.8,25.25,,29.43,76.75,3.33,,418.75,765.25,0.0
2020-11-08 11:00:00,2020-11-08 12:00:00,70.0,109.0,,12.43,8.93,22.0,,29.3,76.25,3.6,,409.0,764.0,0.0
2020-11-08 12:00:00,2020-11-08 13:00:00,64.5,104.75,,12.55,8.38,20.52,,29.25,74.5,3.7,,429.25,762.75,0.0
2020-11-08 13:00:00,2020-11-08 14:00:00,64.75,100.0,,10.57,8.47,20.8,,29.25,74.0,3.6,,351.25,761.75,0.0
2020-11-08 14:00:00,2020-11-08 15:00:00,62.75,100.0,,11.35,9.22,20.55,,29.0,75.0,3.52,,248.75,760.75,0.0
2020-11-08 15:00:00,2020-11-08 16:00:00,67.25,108.75,,10.28,8.83,22.8,,28.9,75.75,3.5,,175.25,760.0,0.0
2020-11-08 16:00:00,2020-11-08 17:00:00,64.75,108.25,,12.53,9.05,22.2,,28.62,76.25,2.93,,88.25,760.0,0.0
2020-11-08 17:00:00,2020-11-08 18:00:00,64.0,109.0,,13.6,9.1,23.05,,29.0,77.0,3.0,,25.5,761.0,0.0
2020-11-08 18:00:00,2020-11-08 19:00:00,,,,,,,,,,,,,,
2020-11-08 19:00:00,2020-11-08 20:00:00,,,,,,,,,,,,,,
2020-11-08 20:00:00,2020-11-08 21:00:00,,,,,,,,,,,,,,
2020-11-08 21:00:00,2020-11-08 22:00:00,,,,,,,,,,,,,,
2020-11-08 22:00:00,2020-11-08 23:00:00,,,,,,,,,,,,,,
2020-11-08 23:00:00,2020-11-09 00:00:00,,,,,,,,,,,,,,
2020-11-09 00:00:00,2020-11-09 01:00:00,,,,,,,,,,,,,,
2020-11-09 01:00:00,2020-11-09 02:00:00,,,,,,,,,,,,,,
2020-11-09 02:00:00,2020-11-09 03:00:00,,,,,,,,,,,,,,
2020-11-09 03:00:00,2020-11-09 04:00:00,,,,,,,,,,,,,,
2020-11-09 04:00:00,2020-11-09 05:00:00,,,,,,,,,,,,,,
2020-11-09 05:00:00,2020-11-09 06:00:00,,,,,,,,,,,,,,
2020-11-09 06:00:00,2020-11-09 07:00:00,,,,,,,,,,,,,,
2020-11-09 07:00:00,2020-11-09 08:00:00,,,,,,,,,,,,,,
2020-11-09 08:00:00,2020-11-09 09:00:00,,,,,,,,,,,,,,
2020-11-09 09:00:00,2020-11-09 10:00:00,,,,,,,,,,,,,,
2020-11-09 10:00:00,2020-11-09 11:00:00,,,,,,,,,,,,,,
2020-11-09 11:00:00,2020-11-09 12:00:00,,,,,,,,,,,,,,
2020-11-09 12:00:00,2020-11-09 13:00:00,,,,,,,,,,,,,,
2020-11-09 13:00:00,2020-11-09 14:00:00,,,,,,,,,,,,,,
