From Date,To Date,PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),RF (mm)
2020-11-07 23:00:00,2020-11-08 00:00:00,11.75,,,,,,0.09,27.87,,,,,,75.0,3.5,227.0,,972.25,,
2020-11-08 00:00:00,2020-11-08 01:00:00,14.25,,,,,,0.1,26.22,,,,,,78.0,2.95,218.0,,967.5,,
2020-11-08 01:00:00,2020-11-08 02:00:00,13.75,,,,,,0.1,26.23,,,,,,80.0,3.38,222.25,,967.75,,
2020-11-08 02:00:00,2020-11-08 03:00:00,10.75,,,,,,0.09,27.05,,,,,,80.5,3.85,213.75,,981.5,,
2020-11-08 03:00:00,2020-11-08 04:00:00,12.5,,,,,,0.06,24.94,,,,,,80.75,5.62,226.75,,977.0,,
2020-11-08 04:00:00,2020-11-08 05:00:00,10.25,,,,,,0.09,24.41,,,,,,81.25,4.6,230.0,,,,
2020-11-08 05:00:00,2020-11-08 06:00:00,10.25,,,,,,0.11,26.11,,,,,,82.5,3.8,223.25,,,,
2020-11-08 06:00:00,2020-11-08 07:00:00,17.25,,,,,,0.14,23.46,,,,,,82.75,3.48,217.5,,,,
2020-11-08 07:00:00,2020-11-08 08:00:00,18.5,,,,,,0.18,23.18,,,,,,77.25,4.38,218.25,,,,
2020-11-08 08:00:00,2020-11-08 09:00:00,21.75,,,,,,0.07,26.06,,,,,,69.75,7.33,225.0,,,,
2020-11-08 09:00:00,2020-11-08 10:00:00,25.0,,,,,,0.09,27.33,,,,,,64.25,6.85,228.0,,994.0,,
2020-11-08 10:00:00,2020-11-08 11:00:00,22.5,,,,,,0.07,29.57,,,,,,58.75,6.33,232.75,,974.0,,
2020-11-08 11:00:00,2020-11-08 12:00:00,31.5,,,,,,0.05,33.73,,,,,,54.75,6.12,242.25,,952.5,,
2020-11-08 12:00:00,2020-11-08 13:00:00,30.75,,,,,,0.06,35.18,,,,,,58.75,6.45,232.0,,853.75,,
2020-11-08 13:00:00,2020-11-08 14:00:00,39.75,,,,,,0.07,36.6,,,,,,72.25,6.1,199.25,92.5,790.5,,
2020-11-08 14:00:00,2020-11-08 15:00:00,32.0,,,,,,0.09,42.32,,,,,,65.75,10.05,227.5,215.0,818.75,,
2020-11-08 15:00:00,2020-11-08 16:00:00,36.75,,,,,,0.17,55.68,,,,,,66.25,9.9,229.75,,820.75,,
2020-11-08 16:00:00,2020-11-08 17:00:00,53.0,,,,,,0.09,62.34,,,,,,68.0,8.77,219.5,,820.5,,
2020-11-08 17:00:00,2020-11-08 18:00:00,31.5,,,,,,0.12,69.39,,,,,,70.75,6.22,228.75,,819.5,,
2020-11-08 18:00:00,2020-11-08 19:00:00,33.5,,,,,,0.14,67.05,,,,,,72.25,4.5,211.25,,818.0,,
2020-11-08 19:00:00,2020-11-08 20:00:00,43.25,,,,,,0.16,56.4,,,,,,74.5,3.02,201.75,,816.25,,
2020-11-08 20:00:00,2020-11-08 21:00:00,41.25,,,,,,0.15,56.92,,,,,,75.5,2.58,194.0,,813.25,,
2020-11-08 21:00:00,2020-11-08 22:00:00,41.75,,,,,,0.17,54.38,,,,,,79.75,2.43,169.5,,812.0,,
2020-11-08 22:00:00,2020-11-08 23:00:00,40.75,,,,,,0.18,44.67,,,,,,83.75,1.43,137.0,808.0,,,
2020-11-08 23:00:00,2020-11-09 00:00:00,39.0,,,,,,0.2,43.02,,,,,,85.0,1.8,153.0,860.0,,,
2020-11-09 00:00:00,2020-11-09 01:00:00,37.0,,,,,,0.11,41.41,,,,,,85.0,1.92,156.75,,,,
2020-11-09 01:00:00,2020-11-09 02:00:00,41.0,,,,,,0.13,38.87,,,,,,85.0,1.38,161.0,,997.0,,
2020-11-09 02:00:00,2020-11-09 03:00:00,45.25,,,,,,0.14,37.76,,,,,,85.0,1.35,160.5,,947.25,,
