From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),RF (mm)
2020-11-07 23:00:00,2020-11-08 00:00:00,21.5,33.25,3.23,21.4,14.0,22.0,0.43,0.88,40.84,0.6,3.15,,,26.95,86.25,0.35,354.0,15.25,761.25,,0.0
2020-11-08 00:00:00,2020-11-08 01:00:00,15.0,29.0,2.6,32.43,18.77,20.43,3.2,0.48,,0.75,2.8,,,27.08,90.0,0.35,354.0,15.25,762.0,,0.0
2020-11-08 01:00:00,2020-11-08 02:00:00,20.25,36.25,2.9,10.5,7.95,21.1,4.08,0.39,52.86,0.75,3.42,,,27.4,86.5,0.3,354.0,15.75,761.25,,0.0
2020-11-08 02:00:00,2020-11-08 03:00:00,29.75,50.5,3.0,18.7,12.38,23.07,4.0,0.12,,0.77,3.5,,,28.02,85.0,0.33,354.0,16.0,761.0,,0.0
2020-11-08 03:00:00,2020-11-08 04:00:00,38.5,54.25,2.65,31.4,17.32,29.27,4.15,0.27,,0.88,3.67,,,28.67,89.25,0.35,354.0,15.5,761.0,,0.0
2020-11-08 04:00:00,2020-11-08 05:00:00,41.0,55.25,2.37,19.9,11.07,28.32,4.08,0.58,,1.1,5.0,,,28.5,88.0,0.32,354.0,15.75,761.0,,0.0
2020-11-08 05:00:00,2020-11-08 06:00:00,45.0,68.75,3.17,6.55,6.05,27.93,2.65,0.4,,0.85,2.7,,,27.88,84.5,0.3,354.0,16.0,761.0,,0.0
2020-11-08 06:00:00,2020-11-08 07:00:00,49.75,80.75,2.72,7.12,6.0,29.23,2.65,0.77,174.3,1.0,3.48,,,27.02,83.0,0.3,354.0,26.75,760.25,,0.0
2020-11-08 07:00:00,2020-11-08 08:00:00,56.25,83.5,2.8,8.85,7.0,26.95,2.88,0.82,,0.97,3.27,,,26.93,80.75,0.35,354.0,67.5,759.25,,0.0
2020-11-08 08:00:00,2020-11-08 09:00:00,60.5,85.5,3.05,8.05,6.78,25.8,2.3,0.45,,0.97,3.57,,,26.77,78.5,0.43,354.0,96.5,758.25,,0.0
2020-11-08 09:00:00,2020-11-08 10:00:00,61.5,88.0,2.75,7.57,6.22,24.98,2.55,0.47,,1.0,3.33,,,26.93,77.0,0.42,354.0,131.0,756.75,,0.0
2020-11-08 10:00:00,2020-11-08 11:00:00,60.75,92.75,2.77,7.7,6.33,24.33,2.67,0.11,,1.05,3.43,,,27.58,76.0,0.62,354.0,218.25,756.25,,0.0
2020-11-08 11:00:00,2020-11-08 12:00:00,61.75,96.0,2.77,7.77,6.4,27.0,5.87,0.13,,1.0,3.67,,,27.75,74.75,0.5,354.0,226.5,755.25,,0.0
2020-11-08 12:00:00,2020-11-08 13:00:00,56.5,90.0,2.55,10.67,7.03,30.5,4.77,0.48,27.28,1.0,3.75,,,27.65,74.0,0.43,354.0,212.75,755.75,,0.0
2020-11-08 13:00:00,2020-11-08 14:00:00,52.5,91.0,2.77,10.38,7.8,28.55,5.42,0.5,,1.05,3.92,,,27.68,72.75,0.33,354.0,228.5,754.5,,0.0
2020-11-08 14:00:00,2020-11-08 15:00:00,54.25,94.25,3.03,8.98,7.22,27.97,4.75,0.65,94.47,1.1,4.58,,,27.15,72.75,0.5,354.0,183.0,755.25,,0.0
2020-11-08 15:00:00,2020-11-08 16:00:00,55.25,93.5,2.72,8.72,6.85,26.85,4.2,0.91,,1.03,3.7,,,26.67,74.0,0.55,354.0,103.0,757.0,,0.0
2020-11-08 16:00:00,2020-11-08 17:00:00,55.25,89.25,2.85,9.18,7.23,25.52,3.9,0.51,51.18,1.05,4.12,,,26.65,75.25,0.55,354.0,55.75,758.25,,0.0
