From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mg/m3),AT (degree C),RF (mm),Xylene (ug/m3)
2022-08-08 16:00:00,2022-08-08 17:00:00,23.62,44.35,7.83,10.76,12.09,15.86,21.29,1.41,1.55,0.0,,0.04,0.01,,73.42,1.62,246.23,37.92,,25.31,,
2022-08-08 17:00:00,2022-08-08 18:00:00,23.81,44.74,9.31,12.56,14.26,14.92,21.29,1.87,,0.0,,0.04,0.01,,75.45,1.45,241.3,26.57,,24.79,,
2022-08-08 18:00:00,2022-08-08 19:00:00,23.31,43.74,9.04,12.38,13.94,14.68,21.16,1.24,0.48,0.0,,0.05,0.02,,78.34,1.4,239.23,0.83,,23.98,,
2022-08-08 19:00:00,2022-08-08 20:00:00,22.4,41.95,13.06,11.8,16.9,13.18,21.21,1.24,,0.0,,0.05,0.02,,82.33,1.76,242.53,0.0,,23.19,,
2022-08-08 20:00:00,2022-08-08 21:00:00,19.96,37.17,12.72,10.69,16.03,12.92,21.23,1.18,0.68,0.0,,0.06,0.02,,82.23,1.58,189.92,0.0,,22.68,,
2022-08-08 21:00:00,2022-08-08 22:00:00,17.98,33.3,10.82,8.71,13.43,12.68,21.09,1.08,0.02,0.0,,0.06,0.02,,81.39,1.58,232.72,0.0,,22.35,,
2022-08-08 22:00:00,2022-08-08 23:00:00,18.8,34.91,8.5,8.12,11.23,12.63,21.22,0.91,,0.0,,0.06,0.02,,82.19,1.38,248.31,0.0,,21.91,,
2022-08-08 23:00:00,2022-08-09 00:00:00,15.26,27.95,8.04,7.89,10.73,12.42,21.12,1.25,1.45,0.0,,0.06,0.02,,86.61,1.32,242.84,0.0,,21.45,,
2022-08-09 00:00:00,2022-08-09 01:00:00,13.75,25.0,7.97,7.11,10.25,12.09,21.2,1.27,1.05,0.0,,0.06,0.02,,87.24,1.38,263.93,0.0,,21.25,,
2022-08-09 01:00:00,2022-08-09 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 02:00:00,2022-08-09 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 03:00:00,2022-08-09 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 04:00:00,2022-08-09 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 05:00:00,2022-08-09 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 06:00:00,2022-08-09 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 07:00:00,2022-08-09 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 08:00:00,2022-08-09 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 09:00:00,2022-08-09 10:00:00,24.14,45.38,10.46,8.46,13.0,10.59,21.29,1.42,,0.0,,0.04,0.01,,79.42,2.1,243.16,41.99,,22.9,,
2022-08-09 10:00:00,2022-08-09 11:00:00,24.28,45.65,8.25,9.55,11.79,10.53,21.36,1.4,0.8,0.0,,0.04,0.01,,79.54,2.09,244.87,42.11,,23.08,,
2022-08-09 11:00:00,2022-08-09 12:00:00,21.16,39.52,10.49,9.65,13.67,10.21,21.22,1.55,,0.0,,0.04,0.01,,78.09,2.19,247.63,42.3,,23.56,,
2022-08-09 12:00:00,2022-08-09 13:00:00,22.04,41.26,7.97,10.15,11.88,10.9,21.33,1.51,1.32,0.0,,0.04,0.02,,75.45,1.89,248.53,42.27,,24.37,,
2022-08-09 13:00:00,2022-08-09 14:00:00,22.82,42.78,8.08,10.8,12.31,10.74,21.41,1.57,4.71,0.0,,0.04,0.01,,76.66,1.57,230.36,42.31,,24.48,,
