From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2022-08-08 11:00:00,2022-08-08 12:00:00,,40.0,2.57,8.87,6.8,13.96,44.99,0.47,5.42,,,,,,,1.58,239.41,0.0,997.55,,34.05,
2022-08-08 12:00:00,2022-08-08 13:00:00,5.0,38.55,2.33,9.15,6.75,15.32,47.96,0.49,5.58,,,,,,,2.53,235.02,0.0,996.95,,34.58,
2022-08-08 13:00:00,2022-08-08 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 14:00:00,2022-08-08 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 15:00:00,2022-08-08 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 16:00:00,2022-08-08 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 17:00:00,2022-08-08 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 18:00:00,2022-08-08 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 19:00:00,2022-08-08 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 20:00:00,2022-08-08 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 21:00:00,2022-08-08 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 22:00:00,2022-08-08 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 23:00:00,2022-08-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 00:00:00,2022-08-09 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 01:00:00,2022-08-09 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 02:00:00,2022-08-09 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 03:00:00,2022-08-09 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 04:00:00,2022-08-09 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 05:00:00,2022-08-09 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 06:00:00,2022-08-09 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 07:00:00,2022-08-09 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 08:00:00,2022-08-09 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 09:00:00,2022-08-09 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 10:00:00,2022-08-09 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 11:00:00,2022-08-09 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 12:00:00,2022-08-09 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 13:00:00,2022-08-09 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 14:00:00,2022-08-09 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 15:00:00,2022-08-09 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 16:00:00,2022-08-09 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 17:00:00,2022-08-09 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 18:00:00,2022-08-09 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 19:00:00,2022-08-09 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 20:00:00,2022-08-09 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 21:00:00,2022-08-09 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 22:00:00,2022-08-09 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 23:00:00,2022-08-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 00:00:00,2022-08-10 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 01:00:00,2022-08-10 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 02:00:00,2022-08-10 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 03:00:00,2022-08-10 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 04:00:00,2022-08-10 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 05:00:00,2022-08-10 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 06:00:00,2022-08-10 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 07:00:00,2022-08-10 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 08:00:00,2022-08-10 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 09:00:00,2022-08-10 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 10:00:00,2022-08-10 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 11:00:00,2022-08-10 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 12:00:00,2022-08-10 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 13:00:00,2022-08-10 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 14:00:00,2022-08-10 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 15:00:00,2022-08-10 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 16:00:00,2022-08-10 17:00:00,,45.0,9.29,15.65,15.87,21.99,57.24,0.48,5.62,,,,,,,2.22,216.1,0.0,995.22,,36.06,
2022-08-10 17:00:00,2022-08-10 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 18:00:00,2022-08-10 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 19:00:00,2022-08-10 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 20:00:00,2022-08-10 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 21:00:00,2022-08-10 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 22:00:00,2022-08-10 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 23:00:00,2022-08-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 00:00:00,2022-08-11 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 01:00:00,2022-08-11 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 02:00:00,2022-08-11 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 03:00:00,2022-08-11 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 04:00:00,2022-08-11 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 05:00:00,2022-08-11 06:00:00,,,,,,,,,,,,,,,,,,,,,,
