From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm),Xylene (ug/m3)
2022-08-30 17:00:00,2022-08-30 18:00:00,44.0,88.0,1.44,4.3,5.45,0.54,63.03,0.49,1.18,,,,,,74.38,1.01,207.81,22.94,971.36,29.11,,
2022-08-30 18:00:00,2022-08-30 19:00:00,53.66,84.55,4.87,16.03,19.98,12.51,68.07,0.51,1.26,,,,,,77.68,0.89,192.05,1.93,971.71,28.41,,
2022-08-30 19:00:00,2022-08-30 20:00:00,47.1,78.24,10.11,17.72,25.95,16.17,65.86,0.51,1.39,,,,,,76.98,0.75,124.17,0.0,972.48,28.32,,
2022-08-30 20:00:00,2022-08-30 21:00:00,31.08,72.43,7.78,15.41,21.73,15.73,66.48,0.54,1.32,,,,,,77.8,1.01,122.59,0.0,973.67,28.05,,
2022-08-30 21:00:00,2022-08-30 22:00:00,21.98,58.53,7.67,11.93,18.16,14.92,66.9,0.55,1.21,,,,,,81.47,0.91,205.72,0.0,974.73,27.62,,
2022-08-30 22:00:00,2022-08-30 23:00:00,21.88,45.32,6.4,8.17,13.38,14.54,67.03,0.56,1.06,,,,,,84.22,0.93,257.15,0.0,975.13,27.23,,
2022-08-30 23:00:00,2022-08-31 00:00:00,20.24,37.93,5.2,7.32,11.53,14.99,67.28,0.57,1.01,,,,,,85.84,1.1,107.67,0.0,974.92,26.54,,
2022-08-31 00:00:00,2022-08-31 01:00:00,10.34,30.72,6.04,6.86,11.76,15.46,67.56,0.56,1.12,,,,,,86.72,1.04,107.07,0.0,974.23,26.03,,
2022-08-31 01:00:00,2022-08-31 02:00:00,12.51,26.62,5.55,5.58,10.09,15.02,68.37,0.54,1.26,,,,,,87.76,1.17,96.17,0.0,973.98,25.63,,
2022-08-31 02:00:00,2022-08-31 03:00:00,9.49,24.47,6.13,6.71,11.69,15.14,68.28,0.52,1.34,,,,,,89.24,0.9,80.33,0.0,973.66,25.27,,
2022-08-31 03:00:00,2022-08-31 04:00:00,9.0,21.23,4.98,5.1,9.17,15.08,68.1,0.49,1.15,,,,,,88.86,0.89,92.55,0.0,973.26,25.13,,
2022-08-31 04:00:00,2022-08-31 05:00:00,6.37,20.0,7.1,6.52,12.29,15.22,68.74,0.47,1.13,,,,,,90.02,0.53,123.23,0.0,973.07,24.86,,
2022-08-31 05:00:00,2022-08-31 06:00:00,6.0,22.66,5.79,6.3,11.0,14.61,69.15,0.45,1.27,,,,,,89.52,0.6,189.7,0.0,973.18,24.78,,
2022-08-31 06:00:00,2022-08-31 07:00:00,16.34,32.08,9.53,9.73,17.47,17.46,69.41,0.43,1.02,,,,,,88.51,0.62,216.61,20.85,973.72,24.55,,
2022-08-31 07:00:00,2022-08-31 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-31 08:00:00,2022-08-31 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-31 09:00:00,2022-08-31 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-31 10:00:00,2022-08-31 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-31 11:00:00,2022-08-31 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-31 12:00:00,2022-08-31 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-31 13:00:00,2022-08-31 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-31 14:00:00,2022-08-31 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-31 15:00:00,2022-08-31 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-31 16:00:00,2022-08-31 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-31 17:00:00,2022-08-31 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-31 18:00:00,2022-08-31 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-31 19:00:00,2022-08-31 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-31 20:00:00,2022-08-31 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-31 21:00:00,2022-08-31 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-31 22:00:00,2022-08-31 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-31 23:00:00,2022-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 00:00:00,2022-09-01 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 01:00:00,2022-09-01 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 02:00:00,2022-09-01 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 03:00:00,2022-09-01 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 04:00:00,2022-09-01 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 05:00:00,2022-09-01 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 06:00:00,2022-09-01 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 07:00:00,2022-09-01 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 08:00:00,2022-09-01 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 09:00:00,2022-09-01 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 10:00:00,2022-09-01 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 11:00:00,2022-09-01 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 12:00:00,2022-09-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 13:00:00,2022-09-01 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 14:00:00,2022-09-01 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 15:00:00,2022-09-01 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 16:00:00,2022-09-01 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 17:00:00,2022-09-01 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 18:00:00,2022-09-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 19:00:00,2022-09-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 20:00:00,2022-09-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 21:00:00,2022-09-01 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 22:00:00,2022-09-01 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 23:00:00,2022-09-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-02 00:00:00,2022-09-02 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-02 01:00:00,2022-09-02 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-02 02:00:00,2022-09-02 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-02 03:00:00,2022-09-02 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-02 04:00:00,2022-09-02 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-02 05:00:00,2022-09-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-02 06:00:00,2022-09-02 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-02 07:00:00,2022-09-02 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-02 08:00:00,2022-09-02 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-02 09:00:00,2022-09-02 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-02 10:00:00,2022-09-02 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-02 11:00:00,2022-09-02 12:00:00,7.18,19.16,3.78,6.78,9.86,14.08,77.39,0.44,1.23,,,,,,68.75,1.48,196.64,376.63,975.27,29.52,,
2022-09-02 12:00:00,2022-09-02 13:00:00,10.52,28.53,3.12,6.34,8.87,13.37,77.9,0.44,1.1,,,,,,64.93,1.34,191.08,749.61,974.35,30.68,,
2022-09-02 13:00:00,2022-09-02 14:00:00,8.36,24.91,1.8,4.55,6.02,13.57,77.57,0.43,1.13,,,,,,66.07,1.33,187.43,417.91,973.47,30.61,,
2022-09-02 14:00:00,2022-09-02 15:00:00,8.0,17.66,2.81,4.07,6.35,12.87,77.15,0.42,1.06,,,,,,61.26,1.3,207.44,458.39,972.78,31.9,,
2022-09-02 15:00:00,2022-09-02 16:00:00,5.42,17.61,1.31,3.98,5.04,11.54,77.24,0.41,1.15,,,,,,58.54,1.61,200.1,561.75,972.43,32.9,,
2022-09-02 16:00:00,2022-09-02 17:00:00,5.0,,3.2,7.74,20.45,32.49,126.55,0.47,0.97,,,,,,59.8,1.03,189.17,88.93,972.17,31.46,,
2022-09-02 17:00:00,2022-09-02 18:00:00,,,2.81,16.45,12.64,13.17,105.23,0.46,1.34,,,,,,67.09,0.97,180.17,36.48,972.67,30.09,,
2022-09-02 18:00:00,2022-09-02 19:00:00,6.0,54.0,9.04,19.07,26.41,16.18,72.83,0.43,1.42,,,,,,73.69,0.75,142.57,2.66,972.96,28.64,,
2022-09-02 19:00:00,2022-09-02 20:00:00,22.73,57.45,12.83,20.43,30.86,16.76,75.65,0.43,1.36,,,,,,78.93,0.84,208.43,0.0,973.55,27.72,,
2022-09-02 20:00:00,2022-09-02 21:00:00,24.12,63.77,16.9,18.5,32.24,15.79,76.2,0.45,1.66,,,,,,82.31,0.82,182.77,0.0,974.06,27.0,,
2022-09-02 21:00:00,2022-09-02 22:00:00,25.76,63.47,15.0,16.07,28.26,15.88,77.03,0.48,1.18,,,,,,83.16,0.78,108.39,0.0,974.79,26.79,,
2022-09-02 22:00:00,2022-09-02 23:00:00,26.88,57.93,11.45,11.09,20.41,15.69,77.0,0.5,1.28,,,,,,85.39,1.02,116.21,0.0,974.96,26.39,,
2022-09-02 23:00:00,2022-09-03 00:00:00,18.22,41.58,8.73,7.28,14.37,14.88,77.44,0.51,1.04,,,,,,86.51,0.86,130.39,0.0,974.72,25.97,,
2022-09-03 00:00:00,2022-09-03 01:00:00,9.07,19.57,7.14,6.15,11.96,15.58,77.54,0.52,1.21,,,,,,85.62,0.83,94.88,0.0,974.53,25.61,,
2022-09-03 01:00:00,2022-09-03 02:00:00,5.36,15.53,6.71,7.53,12.98,14.07,77.83,0.52,1.33,,,,,,85.83,0.87,135.97,0.0,974.27,25.62,,
2022-09-03 02:00:00,2022-09-03 03:00:00,6.76,17.24,7.68,6.39,12.62,15.22,78.05,0.5,1.04,,,,,,88.17,0.6,123.39,0.0,974.13,25.43,,
2022-09-03 03:00:00,2022-09-03 04:00:00,7.88,15.62,9.0,8.46,15.78,15.22,77.38,0.5,1.19,,,,,,88.8,0.66,167.83,0.0,974.13,25.34,,
2022-09-03 04:00:00,2022-09-03 05:00:00,11.51,20.71,8.27,7.26,13.98,14.61,77.09,0.48,1.06,,,,,,90.37,0.74,176.51,0.0,974.17,25.06,,
2022-09-03 05:00:00,2022-09-03 06:00:00,24.29,29.23,9.12,9.6,17.02,13.8,77.17,0.46,1.07,,,,,,90.32,0.82,169.12,0.0,974.45,24.9,,
2022-09-03 06:00:00,2022-09-03 07:00:00,12.79,29.53,8.8,8.11,15.27,14.86,77.51,0.45,1.09,,,,,,87.76,0.69,185.5,10.68,974.58,25.04,,
2022-09-03 07:00:00,2022-09-03 08:00:00,25.13,42.27,15.95,9.81,22.77,15.02,77.97,0.45,1.11,,,,,,86.71,0.96,194.62,95.85,975.04,25.61,,
2022-09-03 08:00:00,2022-09-03 09:00:00,20.84,45.68,9.9,5.91,13.96,14.34,77.82,0.44,1.03,,,,,,81.26,1.43,203.75,457.34,975.75,27.22,,
2022-09-03 09:00:00,2022-09-03 10:00:00,16.48,25.14,6.76,4.82,10.32,14.68,78.01,0.44,1.0,,,,,,74.26,1.5,180.59,510.95,975.93,29.16,,
2022-09-03 10:00:00,2022-09-03 11:00:00,16.0,23.57,5.1,3.82,7.97,15.4,77.46,0.42,1.28,,,,,,70.03,0.99,181.65,363.24,975.48,30.21,,
2022-09-03 11:00:00,2022-09-03 12:00:00,7.22,16.1,4.15,4.29,7.66,14.58,77.61,0.41,1.46,,,,,,63.91,1.15,213.92,330.59,974.91,32.06,,
2022-09-03 12:00:00,2022-09-03 13:00:00,6.0,15.66,2.88,5.27,7.61,15.05,76.59,0.4,1.21,,,,,,61.37,1.48,213.83,895.16,973.85,32.52,,
2022-09-03 13:00:00,2022-09-03 14:00:00,6.0,19.24,2.18,4.59,6.36,13.94,75.82,0.4,1.35,,,,,,59.24,2.21,196.09,898.04,972.85,33.33,,
2022-09-03 14:00:00,2022-09-03 15:00:00,7.76,15.7,2.18,3.61,5.38,12.65,76.26,0.39,1.39,,,,,,57.97,2.38,201.0,812.42,972.0,33.73,,
2022-09-03 15:00:00,2022-09-03 16:00:00,6.25,10.25,1.25,2.32,3.33,9.09,77.18,0.39,1.06,,,,,,55.92,1.89,195.51,396.08,971.2,33.97,,
2022-09-03 16:00:00,2022-09-03 17:00:00,6.0,,,1.83,,24.55,173.47,0.47,1.04,,,,,,64.3,0.71,180.61,59.77,970.96,31.64,,
2022-09-03 17:00:00,2022-09-03 18:00:00,6.0,34.0,2.47,11.81,10.53,25.81,92.08,0.4,1.14,,,,,,75.49,0.96,133.51,36.0,971.32,29.13,,
2022-09-03 18:00:00,2022-09-03 19:00:00,13.0,37.04,3.3,11.41,14.1,15.17,66.25,0.35,1.2,,,,,,80.73,0.84,157.81,1.17,971.95,27.81,,
2022-09-03 19:00:00,2022-09-03 20:00:00,15.63,44.3,3.44,8.26,11.05,4.17,71.11,0.36,1.03,,,,,,80.42,0.95,281.05,0.0,972.89,27.78,,
2022-09-03 20:00:00,2022-09-03 21:00:00,18.64,46.1,4.1,9.36,12.7,8.09,74.93,0.37,1.04,,,,,,82.86,0.9,251.41,0.0,973.63,27.11,,
2022-09-03 21:00:00,2022-09-03 22:00:00,11.96,41.08,5.44,11.19,15.62,13.46,76.41,0.38,1.17,,,,,,84.01,1.0,92.24,0.0,974.25,26.64,,
2022-09-03 22:00:00,2022-09-03 23:00:00,14.52,38.0,7.04,12.63,18.36,14.98,75.89,0.4,1.13,,,,,,84.65,0.79,105.28,0.0,974.46,26.51,,
2022-09-03 23:00:00,2022-09-04 00:00:00,18.52,38.77,7.14,10.61,16.42,15.51,76.14,0.42,1.19,,,,,,84.45,0.72,107.96,0.0,974.47,26.58,,
2022-09-04 00:00:00,2022-09-04 01:00:00,11.1,38.1,6.47,11.21,16.47,15.09,76.72,0.42,1.31,,,,,,82.7,1.08,215.69,0.0,974.37,27.02,,
2022-09-04 01:00:00,2022-09-04 02:00:00,13.5,33.51,3.84,8.68,11.78,15.37,76.53,0.43,1.07,,,,,,82.94,1.02,201.77,0.0,974.14,26.82,,
2022-09-04 02:00:00,2022-09-04 03:00:00,11.37,26.05,6.41,7.05,12.26,15.11,76.96,0.44,1.41,,,,,,88.08,0.73,109.9,0.0,973.71,25.89,,
2022-09-04 03:00:00,2022-09-04 04:00:00,10.12,19.14,6.61,7.71,13.08,15.8,76.94,0.45,1.21,,,,,,85.8,0.94,166.77,0.0,973.62,26.03,,
2022-09-04 04:00:00,2022-09-04 05:00:00,10.0,21.76,6.84,9.49,15.05,15.67,77.17,0.44,1.35,,,,,,85.37,0.7,163.65,0.0,973.51,25.64,,
2022-09-04 05:00:00,2022-09-04 06:00:00,10.88,23.0,7.68,8.74,14.98,15.93,77.0,0.44,1.32,,,,,,84.03,0.62,180.19,0.0,973.89,25.38,,
2022-09-04 06:00:00,2022-09-04 07:00:00,10.12,19.93,8.46,7.25,14.12,15.4,76.72,0.43,1.25,,,,,,83.04,0.78,182.58,33.05,974.24,25.6,,
2022-09-04 07:00:00,2022-09-04 08:00:00,10.0,20.71,11.5,7.66,17.0,15.56,76.6,0.43,1.36,,,,,,77.71,1.19,220.32,180.93,974.7,27.45,,
2022-09-04 08:00:00,2022-09-04 09:00:00,16.16,30.0,10.05,6.92,15.1,15.39,76.3,0.42,1.26,,,,,,73.27,1.44,201.55,445.35,975.09,28.23,,
2022-09-04 09:00:00,2022-09-04 10:00:00,10.84,27.34,7.54,6.5,12.64,14.89,76.64,0.42,1.45,,,,,,69.11,1.0,197.9,604.52,974.94,29.98,,
2022-09-04 10:00:00,2022-09-04 11:00:00,15.28,25.28,4.35,6.43,9.97,15.33,76.75,0.41,1.45,,,,,,66.05,1.22,244.3,172.06,974.44,31.42,,
2022-09-04 11:00:00,2022-09-04 12:00:00,15.12,27.86,2.96,5.96,8.37,15.18,75.87,0.4,1.28,,,,,,63.32,1.43,234.33,312.36,973.89,32.46,,
2022-09-04 12:00:00,2022-09-04 13:00:00,11.48,22.96,1.59,6.01,7.3,13.75,75.87,0.39,1.31,,,,,,58.73,1.39,234.23,971.15,972.96,33.36,,
2022-09-04 13:00:00,2022-09-04 14:00:00,8.36,16.85,1.31,5.04,6.11,13.14,75.45,0.38,1.21,,,,,,55.33,1.44,206.54,786.55,971.75,34.58,,
2022-09-04 14:00:00,2022-09-04 15:00:00,6.24,13.48,2.58,4.6,6.7,8.55,74.2,0.37,1.18,,,,,,53.79,1.47,179.18,764.33,970.72,35.24,,
2022-09-04 15:00:00,2022-09-04 16:00:00,5.12,11.0,0.97,3.97,4.69,1.9,74.28,0.37,1.15,,,,,,57.6,1.51,205.35,153.02,970.42,33.6,,
2022-09-04 16:00:00,2022-09-04 17:00:00,11.13,16.33,1.32,3.25,4.33,1.18,74.03,0.36,1.3,,,,,,63.73,1.0,213.76,152.37,969.87,32.28,,
2022-09-04 17:00:00,2022-09-04 18:00:00,20.67,39.31,0.95,3.52,4.3,1.22,73.24,0.34,1.24,,,,,,66.5,0.7,124.05,24.56,970.24,31.13,,
2022-09-04 18:00:00,2022-09-04 19:00:00,21.84,46.0,1.96,5.81,7.4,1.29,74.39,0.37,1.19,,,,,,73.94,1.03,151.84,9.5,970.54,29.69,,
2022-09-04 19:00:00,2022-09-04 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-04 20:00:00,2022-09-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-04 21:00:00,2022-09-04 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-04 22:00:00,2022-09-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-04 23:00:00,2022-09-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-05 00:00:00,2022-09-05 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-05 01:00:00,2022-09-05 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-05 02:00:00,2022-09-05 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-05 03:00:00,2022-09-05 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-05 04:00:00,2022-09-05 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-05 05:00:00,2022-09-05 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-05 06:00:00,2022-09-05 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-05 07:00:00,2022-09-05 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-05 08:00:00,2022-09-05 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-05 09:00:00,2022-09-05 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-05 10:00:00,2022-09-05 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-05 11:00:00,2022-09-05 12:00:00,6.92,16.0,2.47,4.71,6.72,15.81,74.07,0.35,1.35,,,,,,64.56,1.5,225.23,246.22,973.85,31.88,,
2022-09-05 12:00:00,2022-09-05 13:00:00,6.12,14.1,1.71,5.68,7.06,14.66,74.62,0.34,1.33,,,,,,61.05,1.76,211.25,933.63,972.77,32.93,,
2022-09-05 13:00:00,2022-09-05 14:00:00,6.0,11.0,2.08,5.3,7.0,14.0,75.14,0.34,1.26,,,,,,58.27,1.76,200.45,726.55,971.46,33.91,,
2022-09-05 14:00:00,2022-09-05 15:00:00,5.12,11.38,0.88,4.71,5.26,14.28,74.88,0.34,1.15,,,,,,63.91,1.33,219.5,188.4,970.45,32.42,,
2022-09-05 15:00:00,2022-09-05 16:00:00,7.64,16.57,1.55,7.18,8.43,7.0,74.54,0.34,1.29,,,,,,83.87,0.87,148.41,77.61,970.17,27.76,,
2022-09-05 16:00:00,2022-09-05 17:00:00,14.16,25.52,7.17,20.11,25.94,18.29,78.95,0.36,0.96,,,,,,88.26,0.78,144.41,125.37,969.78,27.88,,
2022-09-05 17:00:00,2022-09-05 18:00:00,20.28,32.57,6.42,18.09,23.31,10.33,73.48,0.38,1.24,,,,,,85.37,0.87,203.59,27.87,970.26,27.42,,
2022-09-05 18:00:00,2022-09-05 19:00:00,12.19,75.01,4.97,20.32,24.34,11.71,14.89,0.43,1.24,,,,,,86.99,1.01,165.85,0.23,971.35,27.09,,
2022-09-05 19:00:00,2022-09-05 20:00:00,22.45,109.38,16.1,24.52,37.6,16.01,11.06,0.48,1.27,,,,,,88.44,0.73,111.68,0.0,972.17,26.81,,
2022-09-05 20:00:00,2022-09-05 21:00:00,24.41,73.0,12.45,21.57,31.71,15.31,11.4,0.51,1.62,,,,,,87.19,0.9,104.45,0.0,972.37,26.77,,
2022-09-05 21:00:00,2022-09-05 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-05 22:00:00,2022-09-05 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-05 23:00:00,2022-09-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-06 00:00:00,2022-09-06 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-06 01:00:00,2022-09-06 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-06 02:00:00,2022-09-06 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-06 03:00:00,2022-09-06 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-09-06 04:00:00,2022-09-06 05:00:00,,,,,,,,,,,,,,,,,,,,,,
