From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppm),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm),Xylene (ug/m3)
2022-10-01 00:00:00,2022-10-01 01:00:00,5.5,17.16,,,,,37.14,0.65,5.57,0.0,,,,,86.96,1.53,243.17,0.0,779.59,13.45,,
2022-10-01 01:00:00,2022-10-01 02:00:00,,15.1,,,,,36.83,0.63,5.15,0.0,,,,,93.69,1.43,245.22,0.0,779.11,13.12,,
2022-10-01 02:00:00,2022-10-01 03:00:00,,,,,,,37.09,0.64,5.39,0.0,,,,,93.05,1.79,261.02,0.0,778.68,12.71,,
2022-10-01 03:00:00,2022-10-01 04:00:00,,3.22,,,,,37.02,0.63,5.15,0.0,,,,,89.58,1.67,249.83,0.0,778.54,12.52,,
2022-10-01 04:00:00,2022-10-01 05:00:00,,5.97,,,,,37.09,0.64,5.34,0.0,,,,,88.61,1.67,231.53,0.0,778.5,12.62,,
2022-10-01 05:00:00,2022-10-01 06:00:00,2.16,11.32,,0.55,,,37.32,0.63,5.37,0.0,,,,,91.44,1.58,221.69,0.0,778.8,12.92,,
2022-10-01 06:00:00,2022-10-01 07:00:00,4.08,12.68,2.71,1.81,2.92,,37.31,0.63,5.6,0.0,,,,,92.39,1.17,178.15,0.0,779.24,12.98,,
2022-10-01 07:00:00,2022-10-01 08:00:00,5.32,12.9,5.89,8.47,9.3,,37.09,0.62,5.49,0.0,,,,,93.21,1.14,221.44,0.0,779.81,12.68,,
2022-10-01 08:00:00,2022-10-01 09:00:00,9.31,25.9,14.16,15.81,19.92,,37.09,0.62,5.19,0.0,,,,,94.55,1.36,259.88,0.0,780.51,13.0,,
2022-10-01 09:00:00,2022-10-01 10:00:00,13.33,39.07,4.35,16.75,12.44,,37.04,0.6,5.58,0.0,,,,,94.4,2.14,282.69,21.79,781.13,12.45,,
2022-10-01 10:00:00,2022-10-01 11:00:00,17.24,29.32,1.56,21.06,12.05,,37.2,0.59,5.37,0.0,,,,,93.88,2.09,284.35,36.11,780.85,12.89,,
2022-10-01 11:00:00,2022-10-01 12:00:00,21.13,38.73,1.97,24.05,14.38,,37.42,0.6,5.35,0.0,,,,,86.58,2.93,299.17,85.62,780.24,14.87,,
2022-10-01 12:00:00,2022-10-01 13:00:00,33.84,76.91,0.7,23.77,12.9,,37.62,0.58,5.2,0.0,,,,,82.41,2.83,300.55,65.12,779.49,15.52,,
2022-10-01 13:00:00,2022-10-01 14:00:00,31.43,65.19,2.39,20.45,12.82,,37.57,0.57,5.18,0.0,,,,,82.32,2.52,301.92,33.02,778.97,15.61,,
2022-10-01 14:00:00,2022-10-01 15:00:00,25.73,61.16,2.58,19.01,11.62,,37.27,0.57,5.33,0.0,,,,,82.71,2.55,309.67,27.25,778.47,15.55,,
2022-10-01 15:00:00,2022-10-01 16:00:00,33.75,62.97,6.65,20.54,16.33,,37.45,0.58,5.39,0.0,,,,,86.07,1.85,268.98,0.27,778.34,14.79,,
2022-10-01 16:00:00,2022-10-01 17:00:00,31.88,68.32,11.88,22.38,21.55,,37.27,0.58,5.5,0.0,,,,,87.11,1.71,287.71,0.73,778.43,14.74,,
2022-10-01 17:00:00,2022-10-01 18:00:00,41.57,72.74,16.66,23.06,25.8,,37.13,0.6,5.42,0.0,,,,,89.92,1.51,270.7,0.0,778.56,14.17,,
2022-10-01 18:00:00,2022-10-01 19:00:00,37.5,87.48,14.79,20.87,23.13,,37.2,0.61,5.43,0.0,,,,,90.93,1.81,274.73,0.0,779.04,13.98,,
2022-10-01 19:00:00,2022-10-01 20:00:00,43.4,89.03,15.99,19.98,23.65,,37.06,0.63,5.52,0.0,,,,,91.73,1.36,275.48,0.0,779.74,13.74,,
2022-10-01 20:00:00,2022-10-01 21:00:00,46.15,79.0,16.0,16.3,21.68,,37.11,0.65,5.4,0.0,,,,,90.08,1.33,268.75,0.0,780.29,13.61,,
2022-10-01 21:00:00,2022-10-01 22:00:00,24.67,51.71,10.63,13.59,15.89,,37.22,0.66,5.51,0.0,,,,,90.13,1.48,272.17,0.0,780.77,13.34,,
2022-10-01 22:00:00,2022-10-01 23:00:00,20.12,43.55,2.42,9.39,5.88,,37.21,0.66,5.21,0.0,,,,,90.77,1.71,261.8,0.0,780.69,13.21,,
2022-10-01 23:00:00,2022-10-02 00:00:00,9.83,33.91,0.03,3.74,2.92,,37.16,0.66,5.21,0.0,,,,,91.66,1.58,264.33,0.0,780.44,13.16,,
2022-10-02 00:00:00,2022-10-02 01:00:00,8.5,22.03,,,,,37.17,0.66,5.28,0.0,,,,,90.83,1.76,267.11,0.0,779.77,13.17,,
2022-10-02 01:00:00,2022-10-02 02:00:00,13.36,16.54,,,,,37.35,0.67,5.27,0.0,,,,,91.7,1.93,287.46,0.0,779.36,13.12,,
2022-10-02 02:00:00,2022-10-02 03:00:00,6.4,14.0,,,,,37.33,0.67,5.41,0.0,,,,,90.24,2.26,296.87,0.0,778.72,13.32,,
2022-10-02 03:00:00,2022-10-02 04:00:00,10.92,13.37,,,,,37.32,0.67,5.15,0.0,,,,,92.04,1.95,293.49,0.0,778.36,12.78,,
2022-10-02 04:00:00,2022-10-02 05:00:00,8.67,8.71,,,,,37.53,0.66,5.05,0.0,,,,,95.59,2.24,289.67,0.0,778.35,12.53,,
2022-10-02 05:00:00,2022-10-02 06:00:00,6.08,10.42,,5.41,2.21,,37.48,0.66,5.36,0.0,,,,,93.93,2.12,298.51,0.0,778.54,12.84,,
2022-10-02 06:00:00,2022-10-02 07:00:00,7.8,24.93,0.05,21.56,9.54,,37.54,0.67,5.39,0.0,,,,,91.84,2.0,286.08,0.0,779.0,13.06,,
