From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2020-11-08 18:00:00,2020-11-08 19:00:00,51.07,66.47,0.54,5.84,6.48,3.56,11.09,0.48,2.79,0.0,,,,87.12,0.35,273.51,,,,25.69,0.0
2020-11-08 19:00:00,2020-11-08 20:00:00,57.75,81.62,0.9,6.83,8.02,4.19,11.12,0.57,2.06,0.0,,,,80.68,0.22,229.72,,891.96,,23.5,0.0
2020-11-08 20:00:00,2020-11-08 21:00:00,36.9,55.18,0.97,6.89,8.19,4.18,11.08,0.63,1.45,0.0,,,,74.32,0.2,197.58,,793.4,,20.34,0.0
2020-11-08 21:00:00,2020-11-08 22:00:00,55.38,68.0,1.7,7.11,9.5,4.76,11.02,0.71,1.18,0.0,,,,84.91,0.27,178.94,,892.31,,22.13,0.0
2020-11-08 22:00:00,2020-11-08 23:00:00,64.0,76.0,2.14,6.9,9.94,4.8,10.96,0.77,1.18,0.0,,,,82.86,0.17,205.24,,899.1,,20.93,0.0
2020-11-08 23:00:00,2020-11-09 00:00:00,53.0,65.5,1.69,6.89,9.26,4.43,10.95,0.75,1.18,0.0,,,,79.26,0.14,197.05,,835.52,,19.81,0.0
2020-11-09 00:00:00,2020-11-09 01:00:00,48.15,52.0,1.15,6.44,8.0,4.18,11.11,0.7,1.5,0.0,,,,77.96,0.26,181.86,,856.18,,19.39,0.0
2020-11-09 01:00:00,2020-11-09 02:00:00,38.33,45.0,1.08,5.6,7.09,3.85,11.14,0.66,1.44,0.0,,,,79.94,0.23,233.21,,785.72,,20.2,0.0
2020-11-09 02:00:00,2020-11-09 03:00:00,37.91,45.0,1.21,4.94,6.61,3.63,11.1,0.61,1.33,0.0,,,,77.84,0.23,236.61,,890.76,,19.73,0.0
2020-11-09 03:00:00,2020-11-09 04:00:00,38.62,44.47,1.21,4.8,6.5,3.76,11.1,0.58,1.09,0.0,,,,78.75,0.28,279.29,,897.5,,20.13,0.0
2020-11-09 04:00:00,2020-11-09 05:00:00,36.5,42.5,1.06,4.79,6.28,3.46,11.02,0.56,1.13,0.0,,,,80.09,0.18,247.86,,,,20.46,0.0
2020-11-09 05:00:00,2020-11-09 06:00:00,,,1.11,5.04,6.59,3.33,10.97,0.54,0.82,0.0,,,,73.81,0.12,215.2,,891.07,,19.05,0.0
2020-11-09 06:00:00,2020-11-09 07:00:00,44.09,47.58,2.02,5.4,8.29,3.85,11.02,0.54,0.79,0.0,,,,78.55,0.29,222.3,,884.71,,21.91,0.0
2020-11-09 07:00:00,2020-11-09 08:00:00,41.62,52.41,2.59,5.5,9.24,4.31,10.83,0.56,1.15,0.0,,,,64.27,0.48,244.72,,822.06,,25.06,0.0
2020-11-09 08:00:00,2020-11-09 09:00:00,47.36,53.28,2.09,5.3,8.31,4.47,10.96,0.55,2.0,0.0,,,,54.01,0.54,255.4,,773.12,,27.16,0.0
2020-11-09 09:00:00,2020-11-09 10:00:00,31.56,50.38,1.11,5.03,6.6,4.29,11.1,0.55,3.28,0.0,,,,54.6,0.48,239.61,,,,33.52,0.0
2020-11-09 10:00:00,2020-11-09 11:00:00,30.0,41.25,0.55,5.07,5.77,4.0,11.13,0.55,6.12,0.0,,,,50.23,0.6,214.07,,898.69,,33.52,0.0
2020-11-09 11:00:00,2020-11-09 12:00:00,30.86,45.55,0.42,6.05,6.5,3.94,11.15,0.59,9.21,0.0,,,,49.13,0.78,245.12,,884.04,,34.03,0.0
2020-11-09 12:00:00,2020-11-09 13:00:00,28.18,39.97,0.55,6.58,7.2,4.07,11.09,0.58,9.83,0.0,,,,41.84,0.51,196.98,,809.22,,32.88,0.0
2020-11-09 13:00:00,2020-11-09 14:00:00,24.55,31.89,1.0,5.86,7.23,3.42,11.36,0.58,7.64,0.0,,,,45.82,0.71,241.59,,840.6,,32.46,0.0
2020-11-09 14:00:00,2020-11-09 15:00:00,29.11,33.47,0.77,6.17,7.16,3.59,11.45,0.58,6.88,0.0,,,,46.73,0.67,256.0,,896.19,,33.53,0.0
2020-11-09 15:00:00,2020-11-09 16:00:00,27.62,31.47,0.89,6.77,7.91,4.19,11.35,0.58,4.99,0.0,,,,52.42,0.68,275.33,,,,33.77,0.0
2020-11-09 16:00:00,2020-11-09 17:00:00,18.56,34.62,0.6,8.34,9.02,5.46,11.51,0.6,3.71,0.0,,,,64.37,0.51,299.76,,,,30.66,0.0
2020-11-09 17:00:00,2020-11-09 18:00:00,18.28,50.75,0.44,8.57,9.0,5.02,11.09,0.7,3.77,0.0,,,,77.43,0.45,292.22,,882.88,,26.53,0.0
2020-11-09 18:00:00,2020-11-09 19:00:00,51.94,73.28,0.71,8.98,9.78,5.21,11.14,0.75,2.57,0.0,,,,84.74,0.29,274.81,,,,26.32,0.0
2020-11-09 19:00:00,2020-11-09 20:00:00,66.14,94.43,1.57,10.19,12.25,6.08,11.35,0.84,1.56,0.0,,,,84.55,0.29,257.13,,884.31,,24.65,0.0
2020-11-09 20:00:00,2020-11-09 21:00:00,69.62,90.88,2.97,10.07,14.25,6.88,11.42,0.94,1.42,0.0,,,,86.69,0.2,220.0,,884.74,,23.88,0.0
2020-11-09 21:00:00,2020-11-09 22:00:00,79.44,100.5,4.76,10.03,16.83,7.67,11.65,1.02,1.1,0.0,,,,87.36,0.29,237.06,,866.83,,23.19,0.0
