From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2022-03-14 16:00:00,2022-03-14 17:00:00,,,,,,,,,,,,2.52,4.81,,32.19,0.51,304.35,120.48,750.0,,,0.0
2022-03-14 17:00:00,2022-03-14 18:00:00,64.3,137.8,2.63,36.52,34.62,17.07,21.75,1.38,7.59,4.95,,3.31,8.11,,40.84,0.38,271.34,18.23,750.0,,,0.0
2022-03-14 18:00:00,2022-03-14 19:00:00,80.7,165.4,13.91,56.0,65.99,17.07,30.45,2.01,1.23,8.37,,7.24,18.05,,48.07,0.39,289.83,0.0,750.0,,,0.0
2022-03-14 19:00:00,2022-03-14 20:00:00,102.8,198.3,17.07,52.02,66.74,20.58,31.52,2.27,0.47,10.27,,9.65,24.02,,55.37,0.22,167.33,0.0,750.0,,,0.0
2022-03-14 20:00:00,2022-03-14 21:00:00,121.7,239.55,19.36,39.21,58.78,22.06,25.32,2.53,0.01,12.89,,9.27,24.6,,66.13,0.22,99.55,0.0,750.0,,,0.0
2022-03-14 21:00:00,2022-03-14 22:00:00,156.0,295.5,16.07,34.73,50.67,20.98,19.95,2.55,0.1,14.84,,8.96,24.72,,69.66,0.3,190.53,0.0,750.0,,,0.0
2022-03-14 22:00:00,2022-03-14 23:00:00,152.8,271.92,12.76,30.09,42.39,21.91,17.57,2.39,0.02,14.47,,7.93,22.6,,73.2,0.27,185.47,0.0,750.0,,,0.0
2022-03-14 23:00:00,2022-03-15 00:00:00,135.1,243.0,9.76,23.86,33.13,21.21,12.82,2.05,,13.11,,6.32,17.98,,77.17,0.25,215.87,0.0,750.0,,,0.0
2022-03-15 00:00:00,2022-03-15 01:00:00,127.4,217.7,10.55,16.88,28.21,18.98,10.81,1.84,0.02,13.03,,6.3,16.41,,81.63,0.24,150.11,0.0,750.0,,,0.0
2022-03-15 01:00:00,2022-03-15 02:00:00,129.7,186.33,7.81,13.57,21.81,15.43,8.85,1.52,,11.44,,5.18,12.38,,83.8,0.3,117.06,0.0,750.0,,,0.0
