From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree)
2022-04-22 16:00:00,2022-04-22 17:00:00,33.87,154.2,0.27,1.91,2.17,3.66,0.27,23.22,,4.69,271.45,,800.25,
2022-04-22 17:00:00,2022-04-22 18:00:00,40.97,152.28,0.27,1.95,2.22,4.18,0.29,23.67,,3.64,266.48,,800.24,
2022-04-22 18:00:00,2022-04-22 19:00:00,53.89,158.33,0.29,3.05,3.34,4.93,0.36,20.65,,1.01,188.58,,800.24,
2022-04-22 19:00:00,2022-04-22 20:00:00,36.61,158.36,0.28,2.96,3.23,5.91,0.42,13.47,,0.73,130.84,,800.27,
2022-04-22 20:00:00,2022-04-22 21:00:00,43.17,154.07,0.29,2.89,3.19,6.25,0.48,13.52,,0.38,149.84,,800.27,
2022-04-22 21:00:00,2022-04-22 22:00:00,45.94,145.35,0.28,3.98,4.25,6.65,0.55,10.39,,0.5,184.23,,800.27,
2022-04-22 22:00:00,2022-04-22 23:00:00,41.03,146.25,0.28,5.56,5.84,7.05,0.57,8.71,,0.64,172.91,,800.28,
2022-04-22 23:00:00,2022-04-23 00:00:00,39.63,136.9,0.28,3.74,4.02,6.55,0.53,9.44,,0.61,174.88,,800.29,
2022-04-23 00:00:00,2022-04-23 01:00:00,42.74,148.22,0.29,4.93,5.21,6.88,0.7,6.73,,0.66,161.4,,800.29,
2022-04-23 01:00:00,2022-04-23 02:00:00,47.26,130.89,0.29,3.84,4.12,6.67,0.65,7.3,,0.96,170.03,,800.28,
2022-04-23 02:00:00,2022-04-23 03:00:00,43.48,95.11,0.28,2.64,2.92,6.14,0.47,7.94,,0.96,159.86,,800.29,
2022-04-23 03:00:00,2022-04-23 04:00:00,37.82,80.49,0.28,2.21,2.48,5.7,0.39,8.3,,0.67,168.51,,800.3,
2022-04-23 04:00:00,2022-04-23 05:00:00,34.26,70.64,0.28,1.93,2.21,5.64,0.35,9.03,,0.89,172.01,,800.3,
