From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),RF (mm),AT (degree C)
2023-02-13 15:00:00,2023-02-13 16:00:00,65.05,159.11,3.38,26.13,16.36,38.83,1.01,0.9,31.91,2.25,12.13,4.78,12.63,,31.71,1.76,276.12,376.47,920.47,-0.42,,0.0,20.17
2023-02-13 16:00:00,2023-02-13 17:00:00,58.6,147.49,4.56,33.05,20.93,36.82,1.13,0.99,36.0,2.32,14.03,6.0,14.93,,32.46,1.49,286.92,203.56,920.42,-0.57,,0.0,19.94
2023-02-13 17:00:00,2023-02-13 18:00:00,55.6,154.94,5.06,35.38,22.54,36.68,1.2,1.14,25.32,2.97,21.1,10.35,21.49,,33.55,0.92,277.46,35.49,920.98,-0.55,,0.0,18.79
2023-02-13 18:00:00,2023-02-13 19:00:00,55.89,155.11,8.16,51.53,33.47,31.1,1.31,1.45,17.05,4.58,22.68,11.45,25.16,,37.54,0.62,277.53,0.0,922.35,-0.54,,0.0,17.16
2023-02-13 19:00:00,2023-02-13 20:00:00,50.41,157.59,5.38,44.13,27.37,34.77,1.41,1.46,14.68,2.67,14.23,6.82,16.48,,40.36,0.91,267.06,0.0,923.83,-0.58,,0.0,15.63
2023-02-13 20:00:00,2023-02-13 21:00:00,62.07,165.33,4.29,33.98,21.19,35.73,1.29,1.25,14.1,3.89,21.23,10.44,26.22,,45.08,1.02,268.72,0.0,925.1,-0.65,,0.0,14.34
2023-02-13 21:00:00,2023-02-13 22:00:00,61.75,162.18,3.81,29.51,18.48,35.45,1.2,1.03,14.23,3.12,17.14,8.97,23.38,,51.05,0.71,260.84,0.0,925.98,-0.61,,0.0,13.1
2023-02-13 22:00:00,2023-02-13 23:00:00,68.6,154.3,2.62,21.02,13.09,37.08,1.06,0.89,14.23,2.65,13.34,7.66,20.18,,55.52,1.1,276.62,0.0,926.5,-0.62,,0.0,12.5
2023-02-13 23:00:00,2023-02-14 00:00:00,61.42,141.67,2.38,20.91,12.83,36.01,1.04,0.88,12.64,2.64,10.36,6.57,17.4,,60.74,0.95,275.63,0.0,927.3,-0.58,,0.0,11.75
2023-02-14 00:00:00,2023-02-14 01:00:00,58.44,133.81,3.89,18.24,12.65,36.06,0.22,0.73,10.05,3.17,8.32,5.69,15.16,,63.3,0.54,273.91,0.0,927.15,-0.61,,0.0,11.26
2023-02-14 01:00:00,2023-02-14 02:00:00,59.05,130.55,3.73,14.87,10.76,35.82,0.3,0.73,12.83,3.33,7.26,5.19,13.79,,65.65,0.79,271.38,0.0,927.5,-0.66,,0.0,10.76
2023-02-14 02:00:00,2023-02-14 03:00:00,61.92,126.27,3.69,14.09,10.32,34.77,0.18,0.71,13.09,3.69,6.66,4.79,12.4,,68.66,0.65,291.06,0.0,927.18,-0.61,,0.0,10.25
2023-02-14 03:00:00,2023-02-14 04:00:00,59.25,125.72,3.67,11.6,9.0,34.22,0.12,0.59,12.7,3.13,6.48,4.63,11.9,,71.56,0.79,296.4,0.0,926.92,-0.59,,0.0,9.83
2023-02-14 04:00:00,2023-02-14 05:00:00,54.94,117.05,5.64,28.84,19.59,29.54,0.04,0.59,2.28,2.69,6.35,4.53,11.38,,82.69,0.3,77.25,0.0,926.62,-0.58,,0.0,8.3
2023-02-14 05:00:00,2023-02-14 06:00:00,54.06,119.41,4.34,26.25,17.19,30.18,0.02,0.61,2.05,2.44,6.04,4.22,10.76,,82.38,0.23,193.16,0.0,927.67,-0.54,,0.0,8.29
2023-02-14 06:00:00,2023-02-14 07:00:00,65.16,120.78,8.81,31.62,23.59,28.13,0.16,0.74,0.63,3.27,41.51,4.22,10.44,,83.98,0.61,306.64,0.0,928.75,-0.51,,0.0,8.23
2023-02-14 07:00:00,2023-02-14 08:00:00,62.15,143.59,8.4,27.5,21.11,29.86,0.26,0.78,1.65,4.31,87.61,4.63,10.96,,83.7,0.27,141.99,28.68,929.75,5.54,,0.0,8.27
2023-02-14 08:00:00,2023-02-14 09:00:00,59.62,135.55,6.17,22.75,16.83,29.1,4.96,0.73,5.06,3.28,47.09,4.43,10.86,,73.77,0.21,123.53,145.26,930.8,0.57,,0.0,10.52
