From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (),Benzene (ug/m3),Toluene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm)
2017-12-08 14:00:00,2017-12-08 15:00:00,90.0,,2.27,26.47,15.9,19.57,,82.77,0.43,0.17,36.0,0.27,121.0,222.67,751.0,-0.33,30.27,0.0
2017-12-08 15:00:00,2017-12-08 16:00:00,81.5,,3.03,39.5,23.45,21.9,0.34,80.8,0.4,0.1,35.5,0.33,121.0,98.5,751.0,-0.35,30.32,0.0
2017-12-08 16:00:00,2017-12-08 17:00:00,87.5,,3.37,55.07,32.07,35.95,0.67,71.27,0.83,0.38,35.25,0.28,121.0,20.5,751.0,-0.3,29.53,0.0
2017-12-08 17:00:00,2017-12-08 18:00:00,92.0,,3.37,92.42,50.45,40.38,1.43,40.45,1.7,0.95,37.25,0.1,121.0,6.0,751.5,-0.3,28.1,0.0
2017-12-08 18:00:00,2017-12-08 19:00:00,161.0,,16.58,124.1,79.45,30.08,2.86,13.55,3.6,3.18,39.25,0.1,121.0,6.0,752.0,-0.3,27.2,0.0
2017-12-08 19:00:00,2017-12-08 20:00:00,157.25,,3.8,112.97,63.17,23.25,2.78,18.13,6.38,6.12,42.0,0.1,121.0,6.0,752.0,-0.3,26.57,0.0
2017-12-08 20:00:00,2017-12-08 21:00:00,147.5,,2.72,88.93,49.5,19.45,2.56,25.8,7.23,6.18,44.75,0.1,121.0,6.0,752.0,-0.3,26.07,0.0
2017-12-08 21:00:00,2017-12-08 22:00:00,148.5,,2.63,64.25,36.33,18.62,1.51,37.6,5.35,4.38,46.75,0.1,121.0,6.0,752.0,-0.3,25.45,0.0
2017-12-08 22:00:00,2017-12-08 23:00:00,138.75,,3.37,67.33,38.55,17.62,1.43,35.5,2.9,2.05,48.5,0.1,121.0,6.0,752.0,-0.3,24.92,0.0
2017-12-08 23:00:00,2017-12-09 00:00:00,141.67,,3.03,58.97,33.8,17.33,1.64,32.73,2.67,1.73,50.0,0.1,121.0,6.0,752.0,-0.3,24.6,0.0
2017-12-09 00:00:00,2017-12-09 01:00:00,142.25,,3.47,57.4,33.33,16.95,1.49,33.1,2.88,1.77,50.75,0.1,121.0,6.0,752.0,-0.3,24.28,0.0
2017-12-09 01:00:00,2017-12-09 02:00:00,137.33,,2.33,47.33,27.07,15.63,1.21,36.77,2.83,1.7,52.0,0.1,121.0,6.0,752.0,-0.3,24.07,0.0
2017-12-09 02:00:00,2017-12-09 03:00:00,132.25,,2.58,41.55,24.22,14.9,0.86,38.18,2.57,1.38,53.25,0.1,121.0,6.0,752.0,-0.3,23.53,0.0
2017-12-09 03:00:00,2017-12-09 04:00:00,133.5,,2.72,37.4,22.1,14.48,1.12,36.53,2.0,0.82,55.0,0.1,121.0,6.0,752.0,-0.3,23.05,0.0
2017-12-09 04:00:00,2017-12-09 05:00:00,138.0,,2.2,38.0,22.0,15.83,1.26,31.17,1.9,0.83,57.0,0.1,121.0,6.0,752.33,-0.3,22.57,0.0
2017-12-09 05:00:00,2017-12-09 06:00:00,144.0,,2.77,40.7,23.9,17.57,1.4,29.73,2.0,0.87,58.0,0.1,121.0,6.0,753.0,-0.3,22.43,0.0
2017-12-09 06:00:00,2017-12-09 07:00:00,151.0,,2.47,46.07,19.88,17.2,1.4,24.53,2.0,0.85,59.5,0.1,121.0,6.0,753.0,-0.3,22.1,0.0
2017-12-09 07:00:00,2017-12-09 08:00:00,175.5,,8.23,57.4,35.32,19.25,1.68,19.85,1.9,0.75,60.25,0.1,121.0,28.5,753.5,-0.3,21.95,0.0
2017-12-09 08:00:00,2017-12-09 09:00:00,193.75,,7.9,60.58,36.2,20.55,1.49,25.65,2.05,0.85,56.5,0.13,121.0,121.25,754.0,-0.3,22.92,0.0
2017-12-09 09:00:00,2017-12-09 10:00:00,217.0,,3.55,47.35,18.73,19.2,0.84,40.3,2.53,1.37,53.67,0.13,121.0,212.67,754.0,-0.3,23.8,0.0
2017-12-09 10:00:00,2017-12-09 11:00:00,190.0,,2.75,48.75,18.77,17.2,1.25,52.5,2.17,1.1,48.33,0.1,121.0,303.0,754.0,-0.3,26.07,0.0
2017-12-09 11:00:00,2017-12-09 12:00:00,178.33,,2.2,44.23,24.63,20.23,1.17,74.67,2.5,1.2,40.33,0.13,121.0,336.33,753.0,-0.3,28.67,0.0
2017-12-09 12:00:00,2017-12-09 13:00:00,144.25,,1.82,30.5,17.7,25.38,0.52,88.48,2.18,0.95,36.0,0.15,121.0,320.25,753.0,-0.3,29.85,0.0
2017-12-09 13:00:00,2017-12-09 14:00:00,94.33,,2.57,27.63,16.8,27.57,0.66,92.23,1.1,0.43,36.67,0.17,121.0,259.0,752.33,-0.3,30.1,0.0
2017-12-09 14:00:00,2017-12-09 15:00:00,106.0,,2.53,27.5,16.67,23.38,0.76,91.95,0.67,0.23,36.0,0.1,121.0,191.5,752.0,-0.3,30.58,0.0
2017-12-09 15:00:00,2017-12-09 16:00:00,101.0,,2.43,30.6,13.7,21.3,1.06,87.8,0.62,0.52,36.75,0.1,121.0,73.25,752.0,-0.3,30.8,0.0
2017-12-09 16:00:00,2017-12-09 17:00:00,100.33,,44.33,87.9,82.8,22.0,3.01,53.47,0.97,1.0,39.67,0.1,121.0,13.67,752.0,-0.3,29.87,0.0
2017-12-09 17:00:00,2017-12-09 18:00:00,117.25,,37.15,118.4,93.18,25.4,4.4,26.65,3.65,3.17,44.5,0.1,121.0,6.0,752.0,-0.3,28.08,0.0
2017-12-09 18:00:00,2017-12-09 19:00:00,162.25,,192.57,152.35,237.6,37.32,1.61,9.97,7.85,8.65,50.75,0.1,121.0,6.0,752.5,-0.3,26.75,0.0
2017-12-09 19:00:00,2017-12-09 20:00:00,272.5,,244.3,154.83,281.0,45.07,0.01,8.63,18.2,20.43,53.33,0.1,121.0,6.0,753.0,-0.3,26.07,0.0
2017-12-09 20:00:00,2017-12-09 21:00:00,316.33,,337.1,148.85,353.28,37.95,0.01,10.25,21.83,21.6,55.75,0.1,121.0,6.0,753.0,-0.3,25.53,0.0
2017-12-09 21:00:00,2017-12-09 22:00:00,374.33,,407.75,142.13,407.12,42.93,0.02,11.3,26.27,24.12,58.5,0.1,121.0,6.0,753.0,-0.3,25.08,0.0
2017-12-09 22:00:00,2017-12-09 23:00:00,451.33,,306.55,132.7,319.8,34.58,0.01,9.33,31.75,30.38,59.5,0.1,121.0,6.0,753.75,-0.3,24.72,0.0
2017-12-09 23:00:00,2017-12-10 00:00:00,455.33,,280.05,121.95,292.55,29.62,0.01,9.12,23.45,21.38,60.25,0.1,121.0,6.0,753.5,-0.3,24.5,0.0
2017-12-10 00:00:00,2017-12-10 01:00:00,416.33,,292.02,113.83,297.98,23.9,0.01,8.85,24.15,22.78,61.75,0.1,121.0,6.5,753.0,-0.3,24.1,0.0
2017-12-10 01:00:00,2017-12-10 02:00:00,405.33,,249.35,111.38,262.0,19.93,2.46,8.32,24.25,22.5,63.5,0.1,121.0,7.0,753.0,-0.3,23.8,0.0
2017-12-10 02:00:00,2017-12-10 03:00:00,374.25,,106.35,107.3,143.55,11.47,6.32,6.05,21.53,19.9,62.0,0.1,121.0,6.25,753.0,-0.3,23.75,0.0
2017-12-10 03:00:00,2017-12-10 04:00:00,267.0,,27.78,88.65,69.73,6.8,3.07,6.55,13.35,13.45,60.25,0.1,121.0,6.0,753.0,-0.3,23.75,0.0
2017-12-10 04:00:00,2017-12-10 05:00:00,226.75,,9.3,61.25,40.13,14.5,1.31,12.08,8.92,8.62,61.75,0.1,121.0,6.0,753.0,-0.3,23.15,0.0
2017-12-10 05:00:00,2017-12-10 06:00:00,210.67,,5.57,58.7,35.77,13.67,0.73,12.2,5.5,5.07,63.0,0.1,121.0,6.67,754.0,-0.3,22.8,0.0
2017-12-10 06:00:00,2017-12-10 07:00:00,212.5,,11.67,68.07,45.73,12.72,0.68,9.43,4.65,3.95,64.25,0.1,121.0,7.25,754.0,-0.3,22.53,0.0
2017-12-10 07:00:00,2017-12-10 08:00:00,247.75,,10.75,69.5,45.73,11.85,1.3,8.7,3.7,2.75,65.0,0.1,121.0,23.75,754.0,-0.3,22.5,0.0
2017-12-10 08:00:00,2017-12-10 09:00:00,280.5,,9.17,74.75,47.2,15.8,3.43,14.52,3.6,2.65,62.75,0.1,121.0,104.0,754.0,-0.3,23.45,0.0
2017-12-10 09:00:00,2017-12-10 10:00:00,296.67,,5.45,77.2,30.33,17.75,3.35,28.47,3.67,2.63,58.67,0.1,121.0,186.0,754.0,-0.3,25.07,0.0
2017-12-10 10:00:00,2017-12-10 11:00:00,317.67,,7.33,76.93,35.15,16.77,3.7,49.23,3.52,2.52,52.75,0.1,121.0,253.5,754.0,-0.3,27.18,0.0
2017-12-10 11:00:00,2017-12-10 12:00:00,308.0,,4.15,56.2,33.22,16.38,2.73,64.23,4.0,2.88,43.75,0.1,121.0,292.25,754.0,-0.3,29.5,0.0
