From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Temp (),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),RF (mm),AT (degree C)
2019-06-20 14:00:00,2019-06-20 15:00:00,33.0,119.5,,,,,7.57,,186.32,0.4,64.0,,,33.97,38.67,,,,741.0,,,37.67
2019-06-20 15:00:00,2019-06-20 16:00:00,33.0,120.0,,,,,7.1,0.81,191.27,0.4,66.65,,,33.78,38.25,,,,741.0,,,37.85
2019-06-20 16:00:00,2019-06-20 17:00:00,34.5,117.0,,,,,12.0,0.84,196.9,0.43,61.3,,,33.88,38.0,,,,741.0,,,38.08
2019-06-20 17:00:00,2019-06-20 18:00:00,41.67,138.0,,,,,12.87,0.9,188.53,0.45,62.55,,,30.75,41.75,,,,741.0,,,37.62
2019-06-20 18:00:00,2019-06-20 19:00:00,46.0,143.0,,,,,6.53,0.95,168.06,0.35,71.6,,,29.85,50.25,,,,741.0,,,36.1
2019-06-20 19:00:00,2019-06-20 20:00:00,47.75,177.67,,,,,7.43,1.08,136.15,0.47,70.05,,,34.3,56.0,0.57,325.0,,741.0,,,34.67
2019-06-20 20:00:00,2019-06-20 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-20 21:00:00,2019-06-20 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-20 22:00:00,2019-06-20 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-20 23:00:00,2019-06-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-21 00:00:00,2019-06-21 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-21 01:00:00,2019-06-21 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-21 02:00:00,2019-06-21 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-21 03:00:00,2019-06-21 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-21 04:00:00,2019-06-21 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-21 05:00:00,2019-06-21 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-21 06:00:00,2019-06-21 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-21 07:00:00,2019-06-21 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-21 08:00:00,2019-06-21 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-21 09:00:00,2019-06-21 10:00:00,56.0,169.0,,,,,13.9,1.15,151.8,1.1,125.9,,,33.4,46.0,0.5,125.0,,742.0,,,36.9
2019-06-21 10:00:00,2019-06-21 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-21 11:00:00,2019-06-21 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-21 12:00:00,2019-06-21 13:00:00,56.0,169.0,,,,,,0.93,104.27,,,,,24.45,43.0,0.65,260.5,,741.0,,,38.4
2019-06-21 13:00:00,2019-06-21 14:00:00,46.0,158.0,,,,,18.25,1.23,183.94,0.4,39.77,,,24.6,42.5,0.7,269.25,,741.0,,,38.67
2019-06-21 14:00:00,2019-06-21 15:00:00,45.0,156.25,,,,,18.92,1.1,180.85,0.38,41.23,,,24.75,41.0,0.72,259.25,,741.0,,,39.03
2019-06-21 15:00:00,2019-06-21 16:00:00,41.5,149.75,,,,,14.28,0.97,195.71,0.32,42.5,,,29.42,38.5,0.77,209.75,,741.0,,,39.08
2019-06-21 16:00:00,2019-06-21 17:00:00,40.75,144.5,,,,,14.05,0.95,193.34,0.38,48.2,,,31.5,38.25,0.75,205.0,,741.0,,,38.88
2019-06-21 17:00:00,2019-06-21 18:00:00,43.75,141.75,0.53,35.78,19.38,47.2,14.03,1.08,194.29,0.38,39.7,,,25.02,38.0,0.88,196.0,,741.0,,,39.0
2019-06-21 18:00:00,2019-06-21 19:00:00,46.5,152.25,0.38,28.82,15.62,49.75,13.07,1.19,179.08,0.43,45.23,,,25.58,42.25,0.65,202.0,,741.0,,,38.12
2019-06-21 19:00:00,2019-06-21 20:00:00,50.0,177.0,0.47,32.15,17.5,52.5,13.27,1.35,133.63,0.75,52.0,,,25.43,47.25,0.43,269.5,,741.0,,,36.85
2019-06-21 20:00:00,2019-06-21 21:00:00,58.25,199.5,0.77,34.95,19.23,58.2,13.82,1.47,118.17,0.7,55.75,,,26.57,49.5,0.45,244.0,,741.0,,,36.08
2019-06-21 21:00:00,2019-06-21 22:00:00,69.0,199.0,0.85,44.35,24.27,88.7,13.03,1.65,95.07,1.48,59.98,,,32.92,50.5,0.43,198.25,,741.0,,,35.98
2019-06-21 22:00:00,2019-06-21 23:00:00,80.0,240.0,8.95,79.9,49.75,80.53,11.6,1.68,49.25,1.7,69.1,,,33.6,52.0,0.4,138.0,,741.0,,,35.35
2019-06-21 23:00:00,2019-06-22 00:00:00,82.0,264.5,10.43,103.47,63.55,120.88,8.9,1.73,10.44,2.0,73.8,,,33.65,60.0,0.53,103.5,,741.0,,,33.9
2019-06-22 00:00:00,2019-06-22 01:00:00,96.0,312.5,11.73,98.95,62.18,146.5,15.82,1.43,20.23,2.2,77.22,,,33.7,55.0,0.45,124.75,,741.0,,,34.2
2019-06-22 01:00:00,2019-06-22 02:00:00,88.0,264.5,1.48,52.85,29.35,96.9,26.55,0.99,87.07,1.57,80.33,,,29.15,45.0,0.55,166.5,,741.0,,,34.7
2019-06-22 02:00:00,2019-06-22 03:00:00,71.0,183.0,0.8,49.97,27.25,71.5,24.97,1.11,71.75,1.35,85.4,,,25.3,49.0,0.52,177.5,,741.0,,,33.62
2019-06-22 03:00:00,2019-06-22 04:00:00,64.25,163.75,0.8,33.62,18.55,74.43,37.25,1.02,105.21,1.05,83.97,,,25.48,49.25,0.68,182.25,,741.0,,,32.95
2019-06-22 04:00:00,2019-06-22 05:00:00,62.75,151.5,0.62,36.07,19.7,72.2,27.28,1.11,75.42,1.0,84.77,,,26.05,54.0,0.43,203.5,,741.0,,,32.17
2019-06-22 05:00:00,2019-06-22 06:00:00,69.0,162.0,0.95,40.98,22.55,89.15,31.2,1.12,74.83,1.22,84.17,,,28.48,53.75,0.53,188.0,,741.0,,,31.77
2019-06-22 06:00:00,2019-06-22 07:00:00,80.0,190.25,1.32,46.35,25.73,106.38,42.62,1.11,90.44,1.5,86.38,,,32.55,53.0,0.68,171.75,,741.0,,,32.25
2019-06-22 07:00:00,2019-06-22 08:00:00,77.0,194.0,,,,,,,113.86,1.57,77.73,,,35.67,52.33,0.63,189.0,,741.0,,,33.03
2019-06-22 08:00:00,2019-06-22 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-22 09:00:00,2019-06-22 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-22 10:00:00,2019-06-22 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-22 11:00:00,2019-06-22 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-22 12:00:00,2019-06-22 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-22 13:00:00,2019-06-22 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-22 14:00:00,2019-06-22 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-22 15:00:00,2019-06-22 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-22 16:00:00,2019-06-22 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-22 17:00:00,2019-06-22 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-22 18:00:00,2019-06-22 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-22 19:00:00,2019-06-22 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-22 20:00:00,2019-06-22 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-22 21:00:00,2019-06-22 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-22 22:00:00,2019-06-22 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-22 23:00:00,2019-06-23 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 00:00:00,2019-06-23 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 01:00:00,2019-06-23 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 02:00:00,2019-06-23 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 03:00:00,2019-06-23 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 04:00:00,2019-06-23 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 05:00:00,2019-06-23 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 06:00:00,2019-06-23 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 07:00:00,2019-06-23 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 08:00:00,2019-06-23 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 09:00:00,2019-06-23 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 10:00:00,2019-06-23 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 11:00:00,2019-06-23 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 12:00:00,2019-06-23 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 13:00:00,2019-06-23 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 14:00:00,2019-06-23 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 15:00:00,2019-06-23 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 16:00:00,2019-06-23 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 17:00:00,2019-06-23 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 18:00:00,2019-06-23 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 19:00:00,2019-06-23 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 20:00:00,2019-06-23 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 21:00:00,2019-06-23 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 22:00:00,2019-06-23 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-23 23:00:00,2019-06-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-24 00:00:00,2019-06-24 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-24 01:00:00,2019-06-24 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-24 02:00:00,2019-06-24 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-24 03:00:00,2019-06-24 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-24 04:00:00,2019-06-24 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-24 05:00:00,2019-06-24 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-24 06:00:00,2019-06-24 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-24 07:00:00,2019-06-24 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-24 08:00:00,2019-06-24 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-24 09:00:00,2019-06-24 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-24 10:00:00,2019-06-24 11:00:00,63.0,177.0,,,,,7.3,0.9,54.16,0.2,48.8,,,29.5,65.25,1.02,289.5,,742.0,,,34.15
2019-06-24 11:00:00,2019-06-24 12:00:00,9.0,206.0,0.43,30.38,15.5,100.85,5.52,0.63,66.37,0.35,57.9,,,30.68,70.5,1.4,310.0,,742.0,,,32.65
2019-06-24 12:00:00,2019-06-24 13:00:00,7.67,201.0,0.88,22.27,12.55,83.2,3.58,0.19,81.59,0.22,52.25,,,32.52,64.75,1.5,312.25,,742.0,,,32.83
2019-06-24 13:00:00,2019-06-24 14:00:00,5.0,187.0,1.1,18.95,10.98,48.97,3.85,0.68,94.48,0.15,50.53,,,28.48,64.5,1.5,309.0,,742.0,,,32.92
2019-06-24 14:00:00,2019-06-24 15:00:00,5.0,199.67,0.97,16.55,9.6,37.8,4.25,0.52,105.5,0.1,47.58,,,27.65,59.5,1.6,316.5,,741.0,,,32.85
2019-06-24 15:00:00,2019-06-24 16:00:00,5.0,194.33,2.65,18.35,11.93,36.38,5.07,0.45,104.62,0.12,36.17,,,27.8,60.25,1.52,306.5,,741.0,,,32.75
