From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm)
2019-08-21 15:00:00,2019-08-21 16:00:00,32.0,,2.77,9.1,7.1,5.1,,31.5,1.2,2.23,30.0,73.33,0.3,257.0,37.67,,-0.9,33.3,0.0
2019-08-21 16:00:00,2019-08-21 17:00:00,23.5,,3.88,12.25,9.65,5.17,,27.8,1.3,3.9,27.77,74.0,0.3,257.0,46.75,,-0.62,33.52,0.0
2019-08-21 17:00:00,2019-08-21 18:00:00,11.5,,3.47,15.68,11.15,6.1,,22.75,,,27.53,74.0,0.3,257.0,15.0,,-0.5,33.65,0.0
2019-08-21 18:00:00,2019-08-21 19:00:00,31.25,,3.62,15.28,11.05,8.15,,20.32,,,30.07,74.0,0.3,257.0,12.0,,-0.38,33.55,0.0
2019-08-21 19:00:00,2019-08-21 20:00:00,50.5,,3.68,23.9,15.73,10.8,,14.6,0.9,1.4,30.95,74.0,0.3,257.25,12.0,,-0.5,33.55,0.0
2019-08-21 20:00:00,2019-08-21 21:00:00,46.5,,3.83,19.05,13.22,6.3,,14.6,0.9,1.55,30.55,74.0,0.3,257.0,12.0,,-0.9,33.5,0.0
2019-08-21 21:00:00,2019-08-21 22:00:00,29.5,,2.38,16.48,10.73,4.62,,15.3,0.9,1.82,30.12,74.0,0.3,257.0,12.0,,-0.33,33.43,0.0
2019-08-21 22:00:00,2019-08-21 23:00:00,28.25,,3.25,13.48,9.8,6.08,,15.45,0.78,1.55,29.92,74.0,0.3,257.0,12.0,,-0.4,33.4,0.0
2019-08-21 23:00:00,2019-08-22 00:00:00,28.25,,4.38,20.27,14.32,5.05,,12.28,0.4,0.6,29.93,74.0,0.3,257.0,12.0,,-0.62,33.38,0.0
2019-08-22 00:00:00,2019-08-22 01:00:00,26.0,,6.2,25.88,18.8,5.93,,7.45,0.4,0.6,30.35,74.0,0.3,257.0,12.0,,-0.4,33.3,0.0
2019-08-22 01:00:00,2019-08-22 02:00:00,49.0,,3.8,18.23,12.8,7.17,,15.5,0.4,0.9,30.5,74.0,0.3,257.5,12.0,,-0.35,33.3,0.0
2019-08-22 02:00:00,2019-08-22 03:00:00,44.5,,3.47,11.2,8.78,5.4,,19.35,0.4,0.6,30.72,74.0,0.3,258.0,12.0,,-0.35,33.3,0.0
2019-08-22 03:00:00,2019-08-22 04:00:00,28.75,,2.65,7.55,6.15,4.88,,22.73,0.4,0.6,30.83,74.0,0.3,258.0,12.0,,-0.45,33.3,0.0
2019-08-22 04:00:00,2019-08-22 05:00:00,21.5,,2.77,7.5,6.22,5.53,,23.0,0.4,0.6,30.5,74.0,0.3,257.0,12.0,,-0.53,33.23,0.0
