From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Temp (),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF ()
2019-10-07 16:00:00,2019-10-07 17:00:00,30.0,106.0,1.8,33.8,19.4,13.4,12.9,0.39,63.0,0.9,2.4,0.8,,,52.0,3.0,86.0,73.0,740.0,0.0,29.2,0.0
2019-10-07 17:00:00,2019-10-07 18:00:00,54.0,141.0,1.97,41.8,23.82,15.65,8.05,0.38,51.88,1.0,3.9,1.92,,,59.0,2.55,98.5,36.5,739.75,0.15,28.3,0.0
2019-10-07 18:00:00,2019-10-07 19:00:00,83.0,173.0,4.5,66.1,38.8,18.73,8.05,0.38,33.28,1.12,4.3,3.55,0.03,,66.0,2.22,81.25,19.25,739.5,0.12,26.9,0.0
2019-10-07 19:00:00,2019-10-07 20:00:00,93.0,196.0,4.25,49.4,29.73,29.05,10.95,0.39,26.73,2.0,11.8,7.05,0.12,,74.5,2.55,85.5,19.0,739.0,0.12,25.55,0.0
2019-10-07 20:00:00,2019-10-07 21:00:00,84.0,175.0,3.3,46.2,27.3,28.8,10.5,0.37,22.0,1.2,6.2,3.4,0.1,,79.0,2.6,80.0,19.0,739.0,0.0,24.8,0.0
2019-10-07 21:00:00,2019-10-07 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-07 22:00:00,2019-10-07 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-07 23:00:00,2019-10-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 00:00:00,2019-10-08 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 01:00:00,2019-10-08 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 02:00:00,2019-10-08 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 03:00:00,2019-10-08 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 04:00:00,2019-10-08 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 05:00:00,2019-10-08 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 06:00:00,2019-10-08 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 07:00:00,2019-10-08 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 08:00:00,2019-10-08 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 09:00:00,2019-10-08 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 10:00:00,2019-10-08 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 11:00:00,2019-10-08 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 12:00:00,2019-10-08 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 13:00:00,2019-10-08 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 14:00:00,2019-10-08 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 15:00:00,2019-10-08 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 16:00:00,2019-10-08 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 17:00:00,2019-10-08 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 18:00:00,2019-10-08 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 19:00:00,2019-10-08 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 20:00:00,2019-10-08 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 21:00:00,2019-10-08 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 22:00:00,2019-10-08 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-08 23:00:00,2019-10-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-09 00:00:00,2019-10-09 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-09 01:00:00,2019-10-09 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-09 02:00:00,2019-10-09 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-09 03:00:00,2019-10-09 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-09 04:00:00,2019-10-09 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-09 05:00:00,2019-10-09 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-09 06:00:00,2019-10-09 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-09 07:00:00,2019-10-09 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-09 08:00:00,2019-10-09 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-09 09:00:00,2019-10-09 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-09 10:00:00,2019-10-09 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-09 11:00:00,2019-10-09 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-09 12:00:00,2019-10-09 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-10-09 13:00:00,2019-10-09 14:00:00,56.0,106.0,2.4,27.1,16.4,16.3,8.7,1.24,67.7,0.4,0.5,1.3,,,40.0,2.4,105.0,207.0,740.0,0.1,31.0,0.0
2019-10-09 14:00:00,2019-10-09 15:00:00,33.0,85.0,2.55,25.12,15.45,16.33,4.92,1.19,67.2,0.43,0.47,1.98,,,38.75,2.15,122.5,211.25,740.0,0.05,31.33,0.0
2019-10-09 15:00:00,2019-10-09 16:00:00,36.0,91.0,2.35,30.38,18.07,14.85,3.48,0.75,62.83,0.45,1.25,2.05,,,39.5,2.4,114.5,71.25,740.0,0.0,31.18,0.0
2019-10-09 16:00:00,2019-10-09 17:00:00,48.0,92.0,2.38,34.85,20.45,14.93,3.92,0.41,57.0,0.47,1.65,2.77,,,41.75,2.23,109.5,60.25,740.0,0.08,30.72,0.0
2019-10-09 17:00:00,2019-10-09 18:00:00,47.0,100.0,4.47,55.35,33.08,15.93,5.07,0.47,39.05,0.53,1.8,2.65,,,50.25,2.2,113.25,33.5,740.0,0.05,29.15,0.0
2019-10-09 18:00:00,2019-10-09 19:00:00,77.0,140.0,14.68,84.57,56.88,23.47,1.88,0.6,13.88,1.23,1.15,7.45,,,57.0,1.15,132.25,19.25,740.0,0.03,27.78,0.0
2019-10-09 19:00:00,2019-10-09 20:00:00,68.0,173.0,18.52,88.7,62.23,26.35,3.75,0.61,9.72,1.7,5.88,11.2,0.15,,56.75,1.08,148.25,19.0,740.0,0.17,27.2,0.0
2019-10-09 20:00:00,2019-10-09 21:00:00,68.0,175.0,26.77,99.18,74.55,35.05,6.72,0.56,6.68,1.55,1.12,10.68,0.28,,58.75,1.02,144.75,19.0,740.0,0.08,26.52,0.0
2019-10-09 21:00:00,2019-10-09 22:00:00,78.0,190.0,14.8,97.92,64.08,55.2,11.4,0.6,8.75,0.62,0.78,6.05,0.38,,60.75,1.43,147.75,19.0,740.0,0.17,25.95,0.0
2019-10-09 22:00:00,2019-10-09 23:00:00,,,22.27,108.2,75.67,43.88,12.25,0.63,7.98,0.85,0.75,4.5,0.17,,61.5,1.35,151.75,19.0,740.0,0.0,25.52,0.0
2019-10-09 23:00:00,2019-10-10 00:00:00,118.0,213.0,69.42,110.05,115.0,36.42,17.9,0.67,0.47,1.27,0.77,4.22,0.15,,66.0,0.75,123.75,19.0,740.0,0.0,24.62,0.0
2019-10-10 00:00:00,2019-10-10 01:00:00,137.0,248.0,101.03,93.8,132.03,53.8,25.25,0.7,0.57,0.98,0.62,3.25,0.05,,68.75,0.48,127.75,19.0,740.0,0.1,24.18,0.0
2019-10-10 01:00:00,2019-10-10 02:00:00,166.0,295.0,113.17,84.27,136.93,61.6,26.8,0.73,1.85,0.75,0.68,4.67,0.22,,70.75,0.62,196.0,19.0,740.0,0.1,24.02,0.0
2019-10-10 02:00:00,2019-10-10 03:00:00,174.0,306.0,103.2,78.35,125.53,54.47,21.38,0.76,0.65,1.25,0.7,4.77,0.12,,75.0,0.68,172.5,19.0,740.0,0.0,23.32,0.0
2019-10-10 03:00:00,2019-10-10 04:00:00,161.0,267.0,104.12,71.15,122.47,53.23,28.38,0.84,0.95,1.2,0.6,3.3,0.05,,77.0,0.6,218.25,19.0,740.0,0.05,23.0,0.0
2019-10-10 04:00:00,2019-10-10 05:00:00,172.0,310.0,56.5,61.15,78.47,56.38,20.82,0.85,0.98,1.58,0.62,3.9,0.05,,78.5,0.72,210.0,19.0,740.0,0.05,22.77,0.0
2019-10-10 05:00:00,2019-10-10 06:00:00,156.0,278.0,58.58,48.92,73.65,55.67,16.38,0.87,1.6,1.82,0.67,4.7,0.12,,83.0,0.75,151.5,19.0,740.0,0.05,22.12,0.0
2019-10-10 06:00:00,2019-10-10 07:00:00,154.0,263.0,107.1,61.73,119.9,56.52,14.65,0.9,0.37,1.62,0.72,4.47,0.08,,84.0,0.88,168.0,27.25,740.0,0.08,22.08,0.0
2019-10-10 07:00:00,2019-10-10 08:00:00,168.0,340.0,3.0,29.0,17.9,63.3,10.8,1.01,10.57,2.02,0.55,4.27,0.12,,82.75,1.92,206.75,77.75,740.0,0.1,22.12,0.0
2019-10-10 08:00:00,2019-10-10 09:00:00,204.0,283.0,2.97,27.8,17.22,56.38,11.45,1.0,25.1,1.67,0.5,2.53,0.05,,81.5,2.15,210.75,158.25,740.0,0.08,23.55,0.0
2019-10-10 09:00:00,2019-10-10 10:00:00,126.0,183.0,2.17,24.58,14.82,45.67,13.35,1.01,37.58,1.45,0.47,2.08,,,70.75,1.6,205.5,233.0,740.0,0.03,26.28,0.0
2019-10-10 10:00:00,2019-10-10 11:00:00,109.0,164.0,1.52,22.05,12.95,34.27,9.85,1.02,56.83,1.07,2.33,2.23,0.03,,57.5,1.67,188.0,291.75,740.0,0.03,28.35,0.0
2019-10-10 11:00:00,2019-10-10 12:00:00,77.0,150.0,1.52,21.8,12.85,25.32,7.77,1.08,69.35,0.82,2.35,2.55,,,48.25,1.9,169.25,318.0,740.0,0.03,29.85,0.0
2019-10-10 12:00:00,2019-10-10 13:00:00,66.0,121.0,1.88,26.33,15.5,20.0,9.25,1.05,75.9,0.57,0.6,2.12,,,42.75,2.02,102.5,325.5,740.0,0.0,30.77,0.0
2019-10-10 13:00:00,2019-10-10 14:00:00,53.0,113.0,3.98,33.92,21.25,18.2,8.78,1.06,70.97,0.43,1.15,1.98,0.07,,42.75,2.17,113.25,163.5,740.0,0.03,30.92,0.0
2019-10-10 14:00:00,2019-10-10 15:00:00,58.0,112.0,4.88,33.4,21.7,18.45,7.65,1.07,71.25,0.5,0.82,2.3,,,40.25,2.23,116.25,227.25,740.0,0.1,31.2,0.0
2019-10-10 15:00:00,2019-10-10 16:00:00,47.0,102.0,1.9,28.52,16.73,16.62,9.53,0.73,71.68,0.4,0.65,1.8,,,39.5,2.38,125.5,85.0,740.0,0.1,31.15,0.0
2019-10-10 16:00:00,2019-10-10 17:00:00,64.0,111.0,2.2,39.5,22.8,15.62,10.97,0.62,61.92,0.43,0.6,1.93,,,42.75,2.22,114.25,63.75,740.0,0.1,30.47,0.0
2019-10-10 17:00:00,2019-10-10 18:00:00,,,9.6,96.43,59.1,14.8,9.5,0.66,27.45,0.72,0.72,3.77,,,49.5,1.18,121.0,32.75,740.0,0.05,29.45,0.0
2019-10-10 18:00:00,2019-10-10 19:00:00,69.0,173.0,23.75,130.95,89.0,21.8,9.1,0.7,8.12,1.77,1.22,12.77,,,55.5,0.83,126.5,19.25,740.0,0.07,28.12,0.0
2019-10-10 19:00:00,2019-10-10 20:00:00,89.0,229.0,23.6,108.15,76.75,27.8,9.4,0.72,10.88,2.3,1.38,15.78,0.25,,57.75,0.82,144.5,19.0,740.0,0.03,27.25,0.0
2019-10-10 20:00:00,2019-10-10 21:00:00,93.0,197.0,21.12,109.22,75.25,39.03,10.45,0.74,8.85,1.83,1.02,9.05,0.17,,60.25,0.8,141.75,19.0,740.0,0.08,26.47,0.0
2019-10-10 21:00:00,2019-10-10 22:00:00,112.0,205.0,21.4,94.08,67.45,50.8,10.38,0.78,8.1,1.18,0.95,7.83,0.18,,63.0,0.95,133.5,19.0,740.0,0.0,25.72,0.0
2019-10-10 22:00:00,2019-10-10 23:00:00,,,13.68,80.65,54.0,50.35,11.47,0.79,15.05,1.5,0.75,5.08,0.08,,64.5,1.42,106.75,19.0,740.0,0.1,24.93,0.0
2019-10-10 23:00:00,2019-10-11 00:00:00,118.0,204.0,16.93,82.97,57.92,47.65,15.98,0.81,13.43,1.77,0.6,2.78,,,65.75,1.28,98.25,19.0,740.0,0.05,24.5,0.0
2019-10-11 00:00:00,2019-10-11 01:00:00,167.0,256.0,19.02,79.88,57.95,56.12,18.15,0.85,11.57,1.95,0.68,3.05,,,68.5,1.43,83.25,19.0,740.0,0.05,24.03,0.0
2019-10-11 01:00:00,2019-10-11 02:00:00,187.0,267.0,13.9,67.88,47.4,62.0,14.72,0.86,9.23,2.25,0.8,2.7,,,74.0,2.15,70.75,19.0,740.0,0.08,23.15,0.0
2019-10-11 02:00:00,2019-10-11 03:00:00,194.0,260.0,18.4,62.53,48.22,70.12,13.78,0.89,6.72,2.27,0.72,2.55,,,76.75,1.85,75.75,19.0,740.0,0.03,22.55,0.0
2019-10-11 03:00:00,2019-10-11 04:00:00,214.0,287.0,28.3,69.93,60.2,65.97,12.9,0.91,2.58,2.0,0.75,2.73,0.03,,78.0,1.15,68.5,19.0,740.0,0.03,22.43,0.0
2019-10-11 04:00:00,2019-10-11 05:00:00,283.0,306.0,22.05,55.88,47.65,69.35,13.25,0.94,3.7,2.1,0.92,3.3,0.03,,81.25,1.45,55.0,19.0,740.0,0.03,22.05,0.0
2019-10-11 05:00:00,2019-10-11 06:00:00,187.0,296.0,7.2,47.25,31.0,71.3,12.58,0.97,6.0,1.97,0.88,3.42,0.03,,82.75,1.82,68.0,19.0,740.0,0.03,21.62,0.0
2019-10-11 06:00:00,2019-10-11 07:00:00,204.0,267.0,13.88,54.9,40.47,73.85,13.73,0.99,3.1,2.02,0.85,4.35,0.03,,83.75,1.77,64.75,27.0,740.0,0.05,21.45,0.0
2019-10-11 07:00:00,2019-10-11 08:00:00,214.0,279.0,14.8,65.9,47.1,94.4,24.5,1.08,6.4,2.9,0.88,4.72,0.08,,80.5,1.2,88.0,77.25,740.0,0.1,22.3,0.0
2019-10-11 08:00:00,2019-10-11 09:00:00,254.0,317.0,11.4,51.83,36.83,80.58,26.2,1.06,27.8,2.75,2.82,4.0,0.05,,74.0,1.15,118.75,155.25,740.0,0.2,24.18,0.0
2019-10-11 09:00:00,2019-10-11 10:00:00,196.0,243.0,4.77,36.95,23.52,51.62,25.12,1.1,38.0,1.3,1.73,2.55,,,63.0,1.25,128.5,230.0,740.0,0.08,26.92,0.0
2019-10-11 10:00:00,2019-10-11 11:00:00,114.0,163.0,3.28,31.38,19.35,32.73,18.2,1.15,57.3,0.72,1.43,2.3,,,52.0,1.4,117.5,291.5,740.25,0.0,28.7,0.0
2019-10-11 11:00:00,2019-10-11 12:00:00,69.0,113.0,7.8,40.85,28.1,23.65,14.23,1.12,65.4,0.83,0.88,2.6,,,42.25,1.9,106.0,324.5,739.75,0.08,29.95,0.0
2019-10-11 12:00:00,2019-10-11 13:00:00,75.0,122.0,5.78,33.73,22.65,20.43,13.12,1.13,66.92,0.77,0.9,2.85,,,38.0,1.85,115.75,314.25,739.75,0.08,30.85,0.0
2019-10-11 13:00:00,2019-10-11 14:00:00,62.0,101.0,2.3,30.77,18.23,17.77,14.88,1.18,73.1,0.6,0.82,2.35,,,37.5,2.08,104.25,177.25,739.75,0.17,31.15,0.0
2019-10-11 14:00:00,2019-10-11 15:00:00,61.0,112.0,2.07,26.77,15.93,18.27,13.57,1.18,76.9,0.57,1.68,2.22,,,37.75,2.08,101.0,237.0,740.0,0.17,31.48,0.0
2019-10-11 15:00:00,2019-10-11 16:00:00,65.0,108.0,1.55,29.57,16.98,17.65,13.77,0.74,83.23,0.53,0.68,1.98,,,40.5,2.03,118.75,83.0,740.0,0.15,31.1,0.0
2019-10-11 16:00:00,2019-10-11 17:00:00,73.0,113.0,1.58,37.35,21.15,15.73,12.97,0.55,72.3,0.5,1.65,2.0,,,41.5,1.92,106.5,65.25,740.0,0.1,30.7,0.0
2019-10-11 17:00:00,2019-10-11 18:00:00,62.0,113.0,5.25,79.85,46.77,14.4,11.7,0.7,41.1,0.72,0.75,2.98,,,46.75,1.4,102.0,32.75,740.0,0.17,29.88,0.0
2019-10-11 18:00:00,2019-10-11 19:00:00,63.0,139.0,14.3,102.4,66.08,18.57,10.88,0.74,19.8,1.43,1.08,9.57,,,54.0,1.17,123.0,19.25,740.0,0.1,28.6,0.0
2019-10-11 19:00:00,2019-10-11 20:00:00,74.0,172.0,23.2,112.9,78.93,23.2,11.2,0.64,6.77,1.87,4.03,10.72,,,60.75,0.77,122.25,19.0,740.0,0.2,27.55,0.0
2019-10-11 20:00:00,2019-10-11 21:00:00,87.0,189.0,35.98,114.27,90.03,33.88,12.25,0.56,7.47,1.75,4.8,9.02,0.3,,63.25,0.88,131.75,19.0,740.0,0.1,27.03,0.0
2019-10-11 21:00:00,2019-10-11 22:00:00,111.0,221.0,29.7,107.28,81.22,37.8,13.97,0.57,7.57,1.8,0.72,6.3,0.17,,67.0,1.02,102.75,19.0,740.0,0.05,26.17,0.0
2019-10-11 22:00:00,2019-10-11 23:00:00,132.0,239.0,29.75,121.05,88.57,45.42,16.05,0.62,10.03,1.93,0.65,6.6,0.1,,67.25,0.75,97.5,19.0,740.0,0.05,25.97,0.0
2019-10-11 23:00:00,2019-10-12 00:00:00,164.0,262.0,29.12,104.53,79.25,56.42,19.18,0.63,9.48,2.5,3.65,5.15,,,70.5,1.27,77.75,19.0,740.0,0.08,25.4,0.0
2019-10-12 00:00:00,2019-10-12 01:00:00,202.0,284.0,10.57,75.53,48.8,64.7,15.97,0.63,15.88,1.97,0.73,3.08,,,73.75,1.68,74.0,19.0,740.0,0.03,24.62,0.0
2019-10-12 01:00:00,2019-10-12 02:00:00,164.0,243.0,24.5,78.95,61.93,66.75,14.22,0.67,4.78,1.52,1.75,2.35,,,80.25,1.0,93.25,19.0,740.0,0.03,23.6,0.0
2019-10-12 02:00:00,2019-10-12 03:00:00,184.0,256.0,56.97,78.1,87.85,71.62,14.48,0.67,1.8,1.42,0.43,2.2,,,83.0,0.7,98.25,19.0,740.0,0.08,23.32,0.0
2019-10-12 03:00:00,2019-10-12 04:00:00,243.0,327.0,22.7,63.62,52.3,76.43,12.5,0.71,2.47,1.6,0.47,2.42,,,86.5,1.25,82.0,19.0,740.0,0.05,22.73,0.0
2019-10-12 04:00:00,2019-10-12 05:00:00,204.0,268.0,26.73,60.73,54.02,75.88,11.32,0.71,1.4,1.6,1.8,2.48,,,88.0,0.93,84.0,19.0,740.0,0.0,22.33,0.0
2019-10-12 05:00:00,2019-10-12 06:00:00,221.0,280.0,18.8,60.05,47.2,77.4,11.78,0.72,2.15,1.68,1.85,2.62,,,90.0,0.8,108.25,19.0,740.0,0.1,21.98,0.0
2019-10-12 06:00:00,2019-10-12 07:00:00,233.0,283.0,52.55,67.58,78.62,80.03,10.62,0.73,1.7,1.8,1.85,3.35,0.03,,90.5,0.62,181.25,24.75,740.0,0.1,22.03,0.0
2019-10-12 07:00:00,2019-10-12 08:00:00,233.0,320.0,6.4,46.9,30.1,79.0,13.8,0.81,7.47,2.1,4.2,3.75,0.1,,86.0,1.02,234.75,68.75,740.0,0.08,22.95,0.0
2019-10-12 08:00:00,2019-10-12 09:00:00,267.0,333.0,6.28,48.27,30.77,94.22,16.12,0.81,22.7,2.4,7.12,3.38,0.12,,82.5,1.57,229.25,139.75,740.0,0.05,24.15,0.0
2019-10-12 09:00:00,2019-10-12 10:00:00,263.0,357.0,5.72,52.45,32.57,85.0,75.05,0.86,34.47,2.33,6.65,2.65,0.1,,74.25,1.8,239.0,202.75,740.0,0.05,26.3,0.0
2019-10-12 10:00:00,2019-10-12 11:00:00,296.0,407.0,2.67,41.3,24.18,56.92,84.1,0.91,62.82,2.25,6.92,3.2,0.03,,59.75,1.53,210.0,269.75,740.0,0.03,28.62,0.0
2019-10-12 11:00:00,2019-10-12 12:00:00,189.0,259.0,1.47,25.88,14.9,35.62,23.2,0.91,72.22,1.23,4.6,1.88,0.03,,51.5,1.48,189.0,288.25,740.0,0.05,30.08,0.0
2019-10-12 12:00:00,2019-10-12 13:00:00,,,1.47,24.32,14.18,26.8,11.5,1.17,74.52,0.72,2.17,1.45,0.05,,47.5,1.98,169.5,257.75,739.5,0.1,30.65,0.0
2019-10-12 13:00:00,2019-10-12 14:00:00,71.0,141.0,1.43,25.5,14.72,23.38,13.15,0.71,76.45,198.6,73.5,1.9,348.3,,43.0,2.2,120.25,177.5,739.0,0.0,31.3,0.0
2019-10-12 14:00:00,2019-10-12 15:00:00,78.0,130.0,1.75,31.25,18.05,23.12,11.18,0.73,75.58,0.6,2.25,1.23,,,42.5,2.48,99.25,210.5,739.5,0.0,31.48,0.0
2019-10-12 15:00:00,2019-10-12 16:00:00,90.0,139.0,1.95,33.55,19.43,22.5,9.57,0.71,75.45,0.65,1.18,2.0,,,41.5,2.6,100.25,84.75,739.75,0.0,31.43,0.0
2019-10-12 16:00:00,2019-10-12 17:00:00,66.0,119.0,2.08,44.27,25.25,20.1,9.43,0.58,68.67,0.53,1.32,1.77,,,45.0,2.33,103.0,64.75,740.0,0.05,30.8,0.0
2019-10-12 17:00:00,2019-10-12 18:00:00,72.0,140.0,3.17,71.52,40.65,20.95,9.82,0.57,47.75,0.8,4.47,3.12,,,50.25,1.75,91.25,30.25,740.0,0.12,29.67,0.0
2019-10-12 18:00:00,2019-10-12 19:00:00,109.0,210.0,35.33,137.03,101.65,23.1,11.95,0.58,21.9,1.8,10.73,6.75,0.1,,54.0,1.7,98.0,19.0,740.0,0.1,28.5,0.0
2019-10-12 19:00:00,2019-10-12 20:00:00,128.0,238.0,70.85,163.6,144.65,37.43,18.7,0.61,9.47,3.02,17.25,11.62,0.4,,56.25,1.75,101.25,19.0,740.0,0.08,27.9,0.0
