From Date,To Date,PM2.5 (ug/m3),CO (mg/m3),Ozone (ug/m3)
2020-12-16 09:00:00,2020-12-16 10:00:00,159.91,,11.1
2020-12-16 10:00:00,2020-12-16 11:00:00,189.43,2.64,10.9
2020-12-16 11:00:00,2020-12-16 12:00:00,216.91,2.93,20.08
2020-12-16 12:00:00,2020-12-16 13:00:00,205.37,1.85,15.84
2020-12-16 13:00:00,2020-12-16 14:00:00,173.45,2.12,12.35
2020-12-16 14:00:00,2020-12-16 15:00:00,142.66,2.46,12.84
2020-12-16 15:00:00,2020-12-16 16:00:00,103.77,2.46,21.98
2020-12-16 16:00:00,2020-12-16 17:00:00,90.99,4.35,33.16
2020-12-16 17:00:00,2020-12-16 18:00:00,,,
2020-12-16 18:00:00,2020-12-16 19:00:00,85.0,0.22,6.71
2020-12-16 19:00:00,2020-12-16 20:00:00,67.62,0.3,5.5
2020-12-16 20:00:00,2020-12-16 21:00:00,79.4,0.3,11.63
2020-12-16 21:00:00,2020-12-16 22:00:00,94.74,0.3,15.78
2020-12-16 22:00:00,2020-12-16 23:00:00,93.47,0.3,17.45
2020-12-16 23:00:00,2020-12-17 00:00:00,92.33,0.3,18.85
2020-12-17 00:00:00,2020-12-17 01:00:00,95.96,0.3,17.24
2020-12-17 01:00:00,2020-12-17 02:00:00,84.53,0.3,16.7
2020-12-17 02:00:00,2020-12-17 03:00:00,90.18,0.3,15.43
2020-12-17 03:00:00,2020-12-17 04:00:00,96.49,0.3,12.51
2020-12-17 04:00:00,2020-12-17 05:00:00,93.48,0.3,10.91
2020-12-17 05:00:00,2020-12-17 06:00:00,99.34,0.3,10.16
2020-12-17 06:00:00,2020-12-17 07:00:00,111.07,0.3,9.44
2020-12-17 07:00:00,2020-12-17 08:00:00,113.84,0.3,8.71
2020-12-17 08:00:00,2020-12-17 09:00:00,127.0,0.3,11.55
2020-12-17 09:00:00,2020-12-17 10:00:00,159.72,0.29,16.26
2020-12-17 10:00:00,2020-12-17 11:00:00,166.28,0.18,10.92
2020-12-17 11:00:00,2020-12-17 12:00:00,130.11,0.27,10.45
2020-12-17 12:00:00,2020-12-17 13:00:00,93.41,0.32,12.4
2020-12-17 13:00:00,2020-12-17 14:00:00,75.63,0.29,14.11
2020-12-17 14:00:00,2020-12-17 15:00:00,63.98,0.32,14.91
