From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm),Xylene (ug/m3)
2021-06-19 15:00:00,2021-06-19 16:00:00,8.4,33.3,1.88,5.73,7.99,9.81,2.37,0.25,15.8,12.01,,10.0,10.0,,,,,,,,0.0,
2021-06-19 16:00:00,2021-06-19 17:00:00,16.57,93.08,1.81,5.45,7.67,9.86,2.46,0.25,14.2,14.71,,10.0,10.0,,,,,,,,0.0,
2021-06-19 17:00:00,2021-06-19 18:00:00,17.94,98.58,1.78,5.78,7.87,9.7,2.45,0.26,13.01,15.34,,10.0,10.0,,,,,,,,0.0,
2021-06-19 18:00:00,2021-06-19 19:00:00,25.75,138.21,1.77,7.01,8.98,9.87,2.52,0.29,10.46,15.98,,10.0,10.0,,,,,,,,0.0,
2021-06-19 19:00:00,2021-06-19 20:00:00,23.83,127.17,1.94,7.17,9.38,10.1,2.55,0.33,9.46,16.02,,10.0,10.0,,,,,,,,0.0,
2021-06-19 20:00:00,2021-06-19 21:00:00,20.29,108.7,1.89,6.94,9.06,10.29,2.54,0.34,8.29,12.62,,10.0,10.0,,,,,,,,0.0,
2021-06-19 21:00:00,2021-06-19 22:00:00,14.17,76.85,1.63,6.7,8.45,9.73,2.53,0.34,9.39,9.96,,10.0,10.0,,,,,,,,0.0,
2021-06-19 22:00:00,2021-06-19 23:00:00,12.29,47.48,1.75,5.84,7.88,9.2,2.42,0.32,14.54,6.72,,10.0,10.0,,,,,,,,0.0,
2021-06-19 23:00:00,2021-06-20 00:00:00,11.52,34.76,1.72,4.9,6.97,8.88,2.37,0.3,13.89,4.85,,10.0,10.0,,,,,,,,0.0,
2021-06-20 00:00:00,2021-06-20 01:00:00,12.8,35.3,1.7,4.92,6.96,8.62,2.32,0.34,9.7,4.57,,10.0,10.0,,,,,,,,0.0,
2021-06-20 01:00:00,2021-06-20 02:00:00,12.57,31.79,1.8,4.88,7.05,8.4,2.32,0.34,8.13,4.62,,10.0,10.0,,,,,,,,0.0,
2021-06-20 02:00:00,2021-06-20 03:00:00,11.36,29.84,1.8,4.85,7.05,8.52,2.3,0.34,7.46,4.4,,10.0,10.0,,,,,,,,0.0,
2021-06-20 03:00:00,2021-06-20 04:00:00,11.08,34.33,1.87,4.94,7.25,8.46,2.34,0.34,5.27,4.59,,10.0,10.0,,,,,,,,0.0,
2021-06-20 04:00:00,2021-06-20 05:00:00,15.22,41.08,1.94,6.01,8.28,8.71,2.42,0.35,2.12,4.92,,10.0,10.0,,,,,,,,0.0,
2021-06-20 05:00:00,2021-06-20 06:00:00,17.95,47.1,2.32,6.71,9.47,8.89,2.48,0.35,0.81,5.69,,10.0,10.0,,,,,,,,0.0,
2021-06-20 06:00:00,2021-06-20 07:00:00,19.85,53.69,2.55,6.89,9.96,9.0,2.48,0.36,1.37,6.25,,10.0,10.0,,,,,,,,0.0,
2021-06-20 07:00:00,2021-06-20 08:00:00,25.58,55.07,2.3,6.65,9.39,9.18,2.43,0.38,1.51,6.16,,10.0,10.0,,,,,,,,0.0,
2021-06-20 08:00:00,2021-06-20 09:00:00,27.33,52.86,2.27,6.92,9.62,9.35,2.41,0.39,4.62,6.44,,10.0,10.0,,,,,,,,0.0,
2021-06-20 09:00:00,2021-06-20 10:00:00,29.84,64.18,2.0,7.19,9.46,9.15,2.41,0.39,10.15,7.21,,10.0,10.0,,,,,,,,0.0,
2021-06-20 10:00:00,2021-06-20 11:00:00,28.46,67.2,1.95,7.05,9.24,8.7,2.34,0.38,17.93,7.73,,10.0,10.0,,,,,,,,0.0,
2021-06-20 11:00:00,2021-06-20 12:00:00,32.15,78.1,1.76,6.57,8.5,8.52,2.33,0.37,20.42,8.3,,10.0,10.0,,,,,,,,0.0,
2021-06-20 12:00:00,2021-06-20 13:00:00,35.26,82.47,1.69,6.33,8.16,8.32,2.33,0.36,21.9,8.86,,10.0,10.0,,,,,,,,0.0,
2021-06-20 13:00:00,2021-06-20 14:00:00,37.1,89.48,1.67,6.08,7.94,8.53,2.4,0.34,24.23,9.12,,10.0,10.0,,,,,,,,0.0,
2021-06-20 14:00:00,2021-06-20 15:00:00,38.64,92.16,1.78,5.71,7.79,8.19,2.39,0.34,27.42,8.89,,10.0,10.0,,,,,,,,0.0,
2021-06-20 15:00:00,2021-06-20 16:00:00,35.26,92.94,1.71,5.86,7.85,8.19,2.31,0.33,26.29,9.02,,10.0,10.0,,,,,,,,0.0,
2021-06-20 16:00:00,2021-06-20 17:00:00,27.76,80.06,1.7,5.64,7.65,8.06,2.34,0.32,21.21,8.09,,10.0,10.0,,,,,,,,0.0,
2021-06-20 17:00:00,2021-06-20 18:00:00,16.87,59.81,1.76,5.79,7.87,8.32,2.37,0.31,15.88,8.18,,10.0,10.0,,,,,,,,0.0,
2021-06-20 18:00:00,2021-06-20 19:00:00,10.05,39.21,1.86,6.76,8.89,8.23,2.46,0.33,10.71,8.96,,10.0,10.0,,,,,,,,0.0,
2021-06-20 19:00:00,2021-06-20 20:00:00,15.36,60.25,1.91,8.24,10.32,8.45,2.41,0.36,11.43,8.43,,10.0,10.0,,,,,,,,0.0,
2021-06-20 20:00:00,2021-06-20 21:00:00,30.45,81.91,2.0,8.38,10.54,8.52,2.43,0.38,10.96,7.52,,10.0,10.0,,,,,,,,0.0,
2021-06-20 21:00:00,2021-06-20 22:00:00,34.42,86.23,2.25,8.16,10.73,9.71,2.68,0.39,7.01,6.96,,10.0,7.5,,,,,,,,0.0,
2021-06-20 22:00:00,2021-06-20 23:00:00,31.04,75.16,2.09,8.0,10.38,8.02,2.5,0.38,7.99,7.15,,10.0,10.0,,,,,,,,0.0,
2021-06-20 23:00:00,2021-06-21 00:00:00,32.12,75.67,2.19,7.89,10.38,8.48,2.48,0.36,8.51,6.77,,10.0,10.0,,,,,,,,0.0,
2021-06-21 00:00:00,2021-06-21 01:00:00,26.9,76.8,2.3,7.25,9.96,8.68,2.5,0.35,5.95,6.31,,10.0,10.0,,,,,,,,0.0,
2021-06-21 01:00:00,2021-06-21 02:00:00,23.16,57.24,2.26,6.45,9.14,8.69,2.53,0.35,4.64,6.12,,10.0,10.0,,,,,,,,0.0,
2021-06-21 02:00:00,2021-06-21 03:00:00,19.02,40.27,2.26,6.1,8.81,8.59,2.56,0.35,2.68,5.94,,10.0,10.0,,,,,,,,0.0,
2021-06-21 03:00:00,2021-06-21 04:00:00,26.34,49.34,2.32,6.48,9.25,8.48,2.52,0.34,2.7,5.69,,10.0,10.0,,,,,,,,0.0,
2021-06-21 04:00:00,2021-06-21 05:00:00,33.33,70.68,2.41,6.68,9.57,8.59,2.46,0.34,2.84,6.01,,10.0,10.0,,,,,,,,0.0,
2021-06-21 05:00:00,2021-06-21 06:00:00,32.64,70.53,2.45,6.72,9.67,8.73,2.42,0.34,2.83,6.12,,10.0,10.0,,,,,,,,0.0,
2021-06-21 06:00:00,2021-06-21 07:00:00,31.31,70.27,2.5,7.49,10.39,8.91,2.5,0.35,2.73,6.06,,10.0,10.0,,,,,,,,0.0,
2021-06-21 07:00:00,2021-06-21 08:00:00,35.76,78.62,2.45,7.7,10.55,8.82,2.5,0.37,5.68,5.94,,10.0,10.0,,,,,,,,0.0,
2021-06-21 08:00:00,2021-06-21 09:00:00,39.19,88.84,2.42,7.72,10.5,8.95,2.5,0.4,5.39,6.28,,10.0,10.0,,,,,,,,0.0,
2021-06-21 09:00:00,2021-06-21 10:00:00,41.63,82.37,2.15,7.12,9.61,8.64,2.53,0.43,9.6,6.99,,10.0,10.0,,,,,,,,0.0,
2021-06-21 10:00:00,2021-06-21 11:00:00,38.39,74.33,1.94,7.5,9.67,10.44,2.5,0.39,38.36,6.41,,10.0,10.0,,,,,,,,0.0,
2021-06-21 11:00:00,2021-06-21 12:00:00,28.58,76.97,1.9,6.94,9.04,13.99,2.41,0.35,33.22,4.78,,7.37,8.04,,,,,,,,0.0,
2021-06-21 12:00:00,2021-06-21 13:00:00,31.16,89.63,1.72,6.07,8.04,14.9,2.48,0.33,50.78,6.74,,7.8,8.29,,,,,,,,0.0,
2021-06-21 13:00:00,2021-06-21 14:00:00,29.14,76.87,1.6,5.81,7.61,18.5,2.3,0.33,42.75,5.72,,4.76,5.79,,,,,,,,0.0,
2021-06-21 14:00:00,2021-06-21 15:00:00,20.9,58.31,1.38,4.49,6.05,13.83,1.96,0.3,20.42,6.69,,6.19,5.69,,,,,,,,0.0,
2021-06-21 15:00:00,2021-06-21 16:00:00,15.11,48.83,1.38,4.08,5.69,12.16,1.96,0.29,19.4,9.37,,7.37,5.98,,,,,,,,0.0,
2021-06-21 16:00:00,2021-06-21 17:00:00,12.32,43.77,1.35,4.29,5.83,11.33,1.92,0.29,20.41,15.5,,7.77,6.16,,,,,,,,0.0,
2021-06-21 17:00:00,2021-06-21 18:00:00,15.46,85.97,1.38,4.52,6.05,10.22,1.9,0.29,20.32,14.66,,8.02,6.29,,,,,,,,0.0,
2021-06-21 18:00:00,2021-06-21 19:00:00,22.81,124.09,1.45,5.17,6.79,9.68,2.0,0.31,21.38,14.12,,8.64,6.82,,,,,,,,0.0,
2021-06-21 19:00:00,2021-06-21 20:00:00,27.75,118.78,1.44,6.01,7.59,9.43,1.99,0.35,18.86,12.23,,9.06,7.22,,,,,,,,0.0,
2021-06-21 20:00:00,2021-06-21 21:00:00,29.39,114.42,1.65,6.18,7.98,9.03,1.93,0.38,13.85,10.38,,9.1,7.38,,,,,,,,0.0,
2021-06-21 21:00:00,2021-06-21 22:00:00,23.0,86.51,1.62,6.22,8.03,8.63,1.93,0.38,12.37,8.91,,7.96,7.09,,,,,,,,0.0,
2021-06-21 22:00:00,2021-06-21 23:00:00,22.93,64.99,1.68,6.88,8.65,8.22,1.93,0.39,12.48,7.72,,7.18,6.56,,,,,,,,0.0,
2021-06-21 23:00:00,2021-06-22 00:00:00,27.4,77.43,1.68,7.32,9.1,7.99,1.93,0.38,13.47,6.73,,6.34,6.21,,,,,,,,0.0,
2021-06-22 00:00:00,2021-06-22 01:00:00,32.6,84.0,1.73,7.16,8.99,7.56,1.92,0.38,11.97,6.43,,5.73,5.65,,,,,,,,0.0,
2021-06-22 01:00:00,2021-06-22 02:00:00,34.89,81.71,1.82,6.79,8.75,7.5,1.88,0.38,10.12,6.15,,5.47,5.53,,,,,,,,0.0,
2021-06-22 02:00:00,2021-06-22 03:00:00,33.92,77.11,1.84,7.05,9.05,7.45,1.88,0.38,8.25,6.04,,5.23,5.29,,,,,,,,0.0,
2021-06-22 03:00:00,2021-06-22 04:00:00,36.6,79.79,1.95,7.61,9.8,7.55,1.91,0.37,5.94,6.65,,5.06,5.3,,,,,,,,0.0,
2021-06-22 04:00:00,2021-06-22 05:00:00,33.41,66.02,1.79,7.17,9.11,7.22,1.94,0.36,6.54,6.72,,4.91,5.16,,,,,,,,0.0,
2021-06-22 05:00:00,2021-06-22 06:00:00,33.42,61.55,1.99,7.05,9.29,7.24,1.85,0.36,5.71,6.81,,5.12,5.19,,,,,,,,0.0,
2021-06-22 06:00:00,2021-06-22 07:00:00,34.79,69.89,1.95,8.48,10.59,7.34,1.92,0.39,6.33,7.01,,5.18,5.31,,,,,,,,0.0,
2021-06-22 07:00:00,2021-06-22 08:00:00,37.85,79.67,1.95,8.59,10.71,7.2,1.91,0.39,12.37,6.52,,4.79,5.08,,,,,,,,0.0,
2021-06-22 08:00:00,2021-06-22 09:00:00,38.55,93.7,1.99,8.22,10.43,7.0,1.98,0.42,17.3,6.64,,4.91,5.02,,,,,,,,0.0,
2021-06-22 09:00:00,2021-06-22 10:00:00,38.73,122.9,1.86,8.4,10.42,6.84,1.99,0.42,23.99,8.75,,4.61,5.18,,,,,,,,0.0,
2021-06-22 10:00:00,2021-06-22 11:00:00,36.89,128.92,1.83,6.63,8.69,6.34,1.99,0.38,26.14,27.38,,4.85,5.54,,,,,,,,0.0,
2021-06-22 11:00:00,2021-06-22 12:00:00,34.77,175.46,1.72,5.58,7.64,6.02,2.01,0.34,30.11,28.68,,5.53,5.68,,,,,,,,0.0,
2021-06-22 12:00:00,2021-06-22 13:00:00,36.32,182.34,1.67,5.07,7.04,5.68,1.99,0.32,33.55,23.09,,6.1,5.95,,,,,,,,0.0,
2021-06-22 13:00:00,2021-06-22 14:00:00,33.7,159.53,1.66,4.79,6.74,5.63,2.04,0.3,37.92,18.86,,6.33,5.78,,,,,,,,0.0,
2021-06-22 14:00:00,2021-06-22 15:00:00,37.2,160.24,1.55,4.83,6.6,5.55,2.08,0.3,40.92,14.07,,7.07,6.03,,,,,,,,0.0,
2021-06-22 15:00:00,2021-06-22 16:00:00,35.7,167.19,2.48,12.72,15.26,5.65,2.1,0.29,36.95,10.07,,7.27,6.06,,,,,,,,0.0,
2021-06-22 16:00:00,2021-06-22 17:00:00,43.13,174.2,5.16,51.83,55.06,5.8,2.18,0.32,11.15,9.49,,8.18,6.12,,,,,,,,0.0,
2021-06-22 17:00:00,2021-06-22 18:00:00,44.86,178.11,2.37,34.49,35.13,5.66,2.16,0.33,31.4,8.71,,8.34,6.15,,,,,,,,0.0,
2021-06-22 18:00:00,2021-06-22 19:00:00,36.74,180.71,2.12,15.51,17.31,5.78,2.06,0.36,40.61,12.53,,8.84,6.57,,,,,,,,0.0,
2021-06-22 19:00:00,2021-06-22 20:00:00,58.95,269.44,2.07,11.49,13.53,5.94,2.07,0.41,36.01,15.05,,9.49,7.32,,,,,,,,0.0,
2021-06-22 20:00:00,2021-06-22 21:00:00,62.78,282.61,2.08,11.91,13.93,6.06,2.05,0.48,28.86,14.77,,9.1,7.17,,,,,,,,0.0,
2021-06-22 21:00:00,2021-06-22 22:00:00,57.17,239.36,2.22,12.07,14.27,6.33,2.06,0.57,24.91,11.27,,8.98,7.93,,,,,,,,0.0,
2021-06-22 22:00:00,2021-06-22 23:00:00,54.81,223.56,2.31,12.21,14.53,6.34,2.01,0.64,19.82,8.6,,8.79,8.31,,,,,,,,0.0,
2021-06-22 23:00:00,2021-06-23 00:00:00,51.83,211.93,2.21,10.62,12.92,6.4,2.06,0.61,18.56,7.57,,7.98,8.06,,,,,,,,0.0,
2021-06-23 00:00:00,2021-06-23 01:00:00,45.7,158.3,2.23,8.26,10.79,6.45,2.02,0.56,16.68,6.39,,6.62,6.98,,,,,,,,0.0,
2021-06-23 01:00:00,2021-06-23 02:00:00,45.78,146.39,2.26,7.37,10.01,6.4,2.04,0.58,13.78,6.58,,5.93,6.15,,,,,,,,0.0,
2021-06-23 02:00:00,2021-06-23 03:00:00,43.05,124.46,2.25,6.56,9.21,6.31,2.01,0.56,12.4,7.18,,5.74,5.71,,,,,,,,0.0,
2021-06-23 03:00:00,2021-06-23 04:00:00,43.19,127.35,2.33,7.87,10.53,6.4,2.04,0.55,8.7,8.29,,6.36,5.83,,,,,,,,0.0,
2021-06-23 04:00:00,2021-06-23 05:00:00,40.91,115.58,2.41,7.03,9.9,6.37,2.06,0.52,7.5,8.11,,6.91,5.91,,,,,,,,0.0,
2021-06-23 05:00:00,2021-06-23 06:00:00,42.31,117.05,2.42,6.6,9.52,6.46,2.08,0.49,7.58,7.23,,6.65,5.79,,,,,,,,0.0,
2021-06-23 06:00:00,2021-06-23 07:00:00,39.34,129.97,2.46,6.47,9.46,6.15,1.91,0.45,9.22,6.33,,5.8,5.58,,,,,,,,0.0,
2021-06-23 07:00:00,2021-06-23 08:00:00,44.84,159.35,2.33,7.84,10.5,6.25,1.89,0.48,9.92,5.92,,5.49,5.38,,,,,,,,0.0,
2021-06-23 08:00:00,2021-06-23 09:00:00,56.44,186.79,2.38,8.73,11.4,6.39,1.89,0.53,18.76,6.39,,5.12,5.2,,,,,,,,0.0,
2021-06-23 09:00:00,2021-06-23 10:00:00,55.81,176.16,2.32,8.41,11.04,6.05,1.96,0.54,25.85,7.6,,4.39,5.02,,,,,,,,0.0,
2021-06-23 10:00:00,2021-06-23 11:00:00,43.25,140.63,2.13,6.37,8.88,5.6,2.06,0.47,30.18,10.5,,4.74,5.68,,,,,,,,0.0,
2021-06-23 11:00:00,2021-06-23 12:00:00,44.36,165.92,2.07,5.62,8.14,5.44,2.09,0.44,34.53,14.96,,6.3,6.02,,,,,,,,0.0,
2021-06-23 12:00:00,2021-06-23 13:00:00,53.05,211.56,2.04,5.21,7.75,5.17,2.01,0.42,39.09,14.8,,8.07,6.28,,,,,,,,0.0,
2021-06-23 13:00:00,2021-06-23 14:00:00,48.43,205.53,1.93,5.07,7.45,5.02,2.02,0.4,40.93,14.62,,8.74,6.27,,,,,,,,0.0,
2021-06-23 14:00:00,2021-06-23 15:00:00,45.31,167.86,2.1,4.93,7.54,5.16,2.11,0.38,38.78,15.32,,8.7,6.13,,,,,,,,0.0,
2021-06-23 15:00:00,2021-06-23 16:00:00,44.85,195.45,2.08,5.2,7.78,4.87,2.08,0.35,37.14,14.69,,9.49,6.13,,,,,,,,0.0,
2021-06-23 16:00:00,2021-06-23 17:00:00,41.06,224.0,1.97,5.03,7.51,4.87,2.02,0.34,38.02,15.13,,9.21,6.17,,,,,,,,0.0,
2021-06-23 17:00:00,2021-06-23 18:00:00,52.49,279.64,2.02,5.49,7.96,4.9,2.09,0.34,36.87,15.89,,9.16,6.26,,,,,,,,0.0,
2021-06-23 18:00:00,2021-06-23 19:00:00,55.26,288.05,2.22,6.57,9.18,5.22,2.16,0.37,34.78,15.38,,9.14,6.2,,,,,,,,0.0,
2021-06-23 19:00:00,2021-06-23 20:00:00,52.38,260.16,2.11,7.48,9.92,4.94,2.15,0.41,32.7,14.88,,9.4,6.37,,,,,,,,0.0,
2021-06-23 20:00:00,2021-06-23 21:00:00,46.33,200.08,2.12,7.85,10.26,5.18,2.2,0.46,31.23,9.78,,9.04,6.39,,,,,,,,0.0,
2021-06-23 21:00:00,2021-06-23 22:00:00,44.85,166.27,2.17,7.43,9.93,5.11,2.15,0.47,27.93,7.03,,7.68,5.9,,,,,,,,0.0,
2021-06-23 22:00:00,2021-06-23 23:00:00,40.02,136.3,2.24,5.77,8.48,4.91,2.11,0.43,26.35,5.11,,6.75,5.3,,,,,,,,0.0,
2021-06-23 23:00:00,2021-06-24 00:00:00,34.46,99.16,2.28,5.24,8.04,4.87,2.05,0.39,24.21,4.04,,5.78,4.95,,,,,,,,0.0,
2021-06-24 00:00:00,2021-06-24 01:00:00,33.5,78.4,2.21,4.58,7.34,4.53,2.05,0.36,21.7,3.19,,4.46,4.13,,,,,,,,0.0,
2021-06-24 01:00:00,2021-06-24 02:00:00,32.74,74.28,2.09,4.36,6.97,4.49,2.05,0.36,20.25,2.64,,3.84,3.54,,,,,,,,0.0,
2021-06-24 02:00:00,2021-06-24 03:00:00,30.29,67.58,2.09,4.12,6.76,4.41,2.04,0.36,17.81,2.39,,3.27,3.14,,,,,,,,0.0,
2021-06-24 03:00:00,2021-06-24 04:00:00,30.52,62.09,2.25,4.01,6.88,4.44,1.93,0.36,14.49,2.61,,2.92,3.29,,,,,,,,0.0,
2021-06-24 04:00:00,2021-06-24 05:00:00,32.79,56.93,2.32,3.73,6.72,4.24,2.03,0.38,11.63,2.7,,3.27,3.21,,,,,,,,0.0,
2021-06-24 05:00:00,2021-06-24 06:00:00,32.48,58.6,2.19,4.2,6.96,4.38,2.06,0.39,9.75,3.06,,3.42,3.4,,,,,,,,0.0,
2021-06-24 06:00:00,2021-06-24 07:00:00,34.84,78.95,2.31,4.78,7.67,4.38,2.06,0.42,8.01,3.57,,3.82,3.75,,,,,,,,0.0,
