From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppm),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2021-06-30 14:00:00,2021-06-30 15:00:00,,,,,,,,,,0.0,72.64,,85.31,311.7,,35.33,0.0
2021-06-30 15:00:00,2021-06-30 16:00:00,30.48,54.26,2.46,1.59,4.75,29.16,1.29,0.55,7.77,3.04,75.6,,112.35,244.83,740.09,34.42,0.0
2021-06-30 16:00:00,2021-06-30 17:00:00,29.27,63.4,2.33,1.44,4.48,46.87,1.37,0.48,12.23,5.11,69.81,,169.15,237.68,739.72,35.1,0.0
2021-06-30 17:00:00,2021-06-30 18:00:00,26.8,74.47,2.43,1.6,4.71,48.22,1.45,0.47,20.19,3.89,71.73,,190.28,89.32,739.44,34.03,0.0
2021-06-30 18:00:00,2021-06-30 19:00:00,30.2,94.93,2.57,1.47,4.79,49.48,1.72,0.46,12.72,1.05,81.31,,99.99,11.73,739.72,32.24,0.0
2021-06-30 19:00:00,2021-06-30 20:00:00,28.15,69.78,2.49,1.41,4.62,42.66,1.7,0.44,6.21,0.0,90.28,,114.59,0.0,739.97,30.85,0.0
2021-06-30 20:00:00,2021-06-30 21:00:00,28.53,55.22,2.53,1.61,4.87,42.87,2.07,0.49,2.02,0.0,92.28,,112.17,0.0,740.29,29.84,0.0
2021-06-30 21:00:00,2021-06-30 22:00:00,34.67,55.9,2.53,1.37,4.66,40.49,2.43,0.53,2.13,0.0,93.33,,112.87,0.0,740.44,29.27,0.0
2021-06-30 22:00:00,2021-06-30 23:00:00,37.62,56.35,2.52,1.49,4.77,39.18,2.67,0.55,1.66,0.0,94.19,,128.43,0.0,740.47,29.02,0.0
2021-06-30 23:00:00,2021-07-01 00:00:00,33.5,55.71,2.49,1.53,4.72,38.71,2.82,0.56,1.06,0.0,95.2,,137.14,0.0,740.21,28.8,0.0
2021-07-01 00:00:00,2021-07-01 01:00:00,34.35,56.6,2.33,1.68,4.67,45.93,3.6,0.59,0.02,2.67,95.99,,142.85,0.0,739.76,28.7,0.0
2021-07-01 01:00:00,2021-07-01 02:00:00,35.75,56.94,2.38,1.48,4.55,42.78,4.97,0.61,,8.17,95.66,,163.68,0.0,739.52,28.81,0.0
2021-07-01 02:00:00,2021-07-01 03:00:00,32.15,54.25,2.49,1.4,4.62,31.39,3.98,0.64,,1.67,95.9,,155.13,0.0,738.96,28.83,0.0
2021-07-01 03:00:00,2021-07-01 04:00:00,38.2,61.42,2.55,1.42,4.72,33.25,3.72,0.64,,0.0,92.98,,194.67,0.0,739.15,29.11,0.0
2021-07-01 04:00:00,2021-07-01 05:00:00,33.44,60.71,2.43,1.54,4.67,32.34,3.59,0.62,,0.0,82.05,,245.27,0.0,739.16,29.82,0.0
2021-07-01 05:00:00,2021-07-01 06:00:00,22.39,55.9,2.52,1.52,4.76,31.91,3.5,0.59,,0.0,81.57,,215.04,1.87,739.45,29.45,0.0
2021-07-01 06:00:00,2021-07-01 07:00:00,22.41,64.95,2.5,1.49,4.71,32.07,3.45,0.55,,0.0,81.22,,222.44,49.94,739.8,29.48,0.0
2021-07-01 07:00:00,2021-07-01 08:00:00,21.34,57.57,2.5,1.4,4.64,31.5,3.46,0.52,,0.0,77.77,,205.43,126.41,740.44,30.5,0.0
2021-07-01 08:00:00,2021-07-01 09:00:00,16.94,50.75,2.48,1.35,4.56,29.88,3.45,0.49,,0.0,69.74,,158.3,255.01,740.8,32.81,0.0
2021-07-01 09:00:00,2021-07-01 10:00:00,20.74,42.86,2.49,1.49,4.68,28.28,3.5,0.48,,0.0,63.7,,186.13,326.43,741.02,34.44,0.0
2021-07-01 10:00:00,2021-07-01 11:00:00,18.59,55.55,2.53,1.35,4.65,36.89,2.72,0.43,2.19,0.0,61.66,,171.75,426.0,741.12,35.22,0.0
2021-07-01 11:00:00,2021-07-01 12:00:00,18.48,57.29,2.58,1.43,4.77,61.71,1.21,0.34,9.71,0.0,57.81,,156.99,453.57,741.01,36.66,0.0
2021-07-01 12:00:00,2021-07-01 13:00:00,,4.53,2.59,1.44,4.77,93.0,1.16,0.32,10.35,0.0,68.57,,105.98,267.49,740.69,33.98,0.0
2021-07-01 13:00:00,2021-07-01 14:00:00,,,2.48,1.77,4.92,65.84,1.49,0.37,5.01,0.0,76.41,,111.94,239.1,740.35,32.73,0.0
2021-07-01 14:00:00,2021-07-01 15:00:00,26.04,49.97,2.45,1.52,4.66,58.51,1.77,0.44,5.28,0.0,75.8,,111.85,406.03,739.97,33.26,0.0
2021-07-01 15:00:00,2021-07-01 16:00:00,24.61,52.58,2.47,1.49,4.67,74.61,1.66,0.46,1.15,0.0,73.06,,110.47,331.69,739.54,33.91,0.0
2021-07-01 16:00:00,2021-07-01 17:00:00,26.76,55.88,2.5,1.46,4.68,57.64,1.84,0.44,13.78,0.0,76.87,,94.61,183.56,739.04,32.79,0.0
2021-07-01 17:00:00,2021-07-01 18:00:00,24.53,58.09,2.5,1.5,4.75,46.53,1.86,0.4,12.8,0.0,82.0,,91.21,69.19,739.08,31.26,0.0
2021-07-01 18:00:00,2021-07-01 19:00:00,24.61,54.88,2.51,1.42,4.63,50.37,2.25,0.42,3.6,0.0,85.26,,102.0,16.14,739.67,30.18,0.0
2021-07-01 19:00:00,2021-07-01 20:00:00,26.18,53.77,2.55,1.34,4.65,48.22,2.54,0.44,2.91,0.0,88.3,,101.94,0.0,740.12,29.21,0.0
2021-07-01 20:00:00,2021-07-01 21:00:00,23.26,55.22,2.44,1.46,4.58,66.78,2.52,0.46,0.04,0.0,90.03,,104.17,0.0,740.71,28.51,0.0
2021-07-01 21:00:00,2021-07-01 22:00:00,24.63,48.66,2.54,1.66,4.91,68.56,2.36,0.48,,0.0,91.23,,109.45,0.0,740.81,28.14,0.0
2021-07-01 22:00:00,2021-07-01 23:00:00,26.43,56.34,2.45,1.51,4.67,62.67,2.41,0.5,,0.0,92.37,,104.8,0.0,741.03,28.03,0.0
