From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2021-07-26 16:00:00,2021-07-26 17:00:00,20.5,44.9,0.74,6.94,7.32,34.18,5.01,0.44,20.42,3.5,,38.8,1.52,,74.72,2.26,106.15,72.53,731.62,,32.03,0.42
2021-07-26 17:00:00,2021-07-26 18:00:00,,,1.23,8.8,10.1,43.59,6.42,0.5,16.31,4.54,,40.32,,,87.4,1.8,270.82,19.0,731.43,,29.47,1.35
2021-07-26 18:00:00,2021-07-26 19:00:00,,6.18,2.51,10.68,13.72,55.74,9.03,0.62,0.4,2.34,,47.18,,,88.58,0.69,259.66,24.32,731.68,,29.69,0.0
2021-07-26 19:00:00,2021-07-26 20:00:00,,31.86,1.96,23.84,25.41,56.86,7.72,0.92,12.04,7.99,,39.94,10.58,,86.05,1.37,257.25,0.28,732.0,,30.35,0.0
2021-07-26 20:00:00,2021-07-26 21:00:00,,59.33,0.59,15.74,15.45,31.01,3.09,0.82,21.64,7.51,,66.22,53.41,,83.04,1.52,59.88,,732.25,,30.85,0.0
2021-07-26 21:00:00,2021-07-26 22:00:00,,46.24,0.57,8.85,9.21,31.47,1.99,0.67,22.27,10.77,,20.2,47.36,,83.19,1.41,95.52,,732.46,,30.7,0.0
2021-07-26 22:00:00,2021-07-26 23:00:00,,33.03,0.5,6.24,6.61,25.24,1.71,0.61,19.77,11.15,,16.11,38.92,,86.22,1.19,130.09,,732.57,,30.23,0.0
2021-07-26 23:00:00,2021-07-27 00:00:00,,39.88,0.43,12.14,12.06,20.43,1.47,0.56,17.26,10.24,,13.21,29.97,,87.11,0.58,173.25,,732.6,,29.89,0.0
2021-07-27 00:00:00,2021-07-27 01:00:00,,52.2,0.44,8.43,8.4,20.31,1.41,0.53,21.18,9.72,,12.02,25.83,,86.3,0.45,99.66,,732.4,,29.74,0.0
2021-07-27 01:00:00,2021-07-27 02:00:00,,38.32,0.6,7.28,7.74,18.16,1.34,0.51,23.09,9.69,,9.97,19.62,,84.67,0.65,126.81,,732.27,,29.73,0.0
2021-07-27 02:00:00,2021-07-27 03:00:00,,35.94,0.61,7.97,8.39,18.43,1.4,0.51,15.68,9.38,,9.64,18.96,,87.03,1.05,126.58,,732.01,,29.4,0.0
2021-07-27 03:00:00,2021-07-27 04:00:00,,41.6,0.63,11.82,12.14,19.71,1.37,0.5,11.31,9.76,,9.19,15.98,,88.59,0.71,107.71,,731.75,,29.03,0.0
2021-07-27 04:00:00,2021-07-27 05:00:00,,37.83,0.78,18.88,19.0,20.27,1.3,0.51,5.4,9.42,,8.81,15.65,,88.96,0.69,126.1,,731.79,,28.99,0.0
2021-07-27 05:00:00,2021-07-27 06:00:00,,45.17,0.84,17.02,17.31,20.14,1.37,0.52,0.66,9.99,,9.58,16.68,,90.77,0.88,126.7,1.85,731.7,,28.78,0.01
2021-07-27 06:00:00,2021-07-27 07:00:00,,47.37,1.65,14.12,15.75,26.65,1.5,0.55,0.73,9.73,,9.3,15.97,,90.68,0.52,173.64,21.23,732.0,,28.88,0.01
2021-07-27 07:00:00,2021-07-27 08:00:00,,42.67,2.47,13.74,16.59,21.0,1.52,0.64,5.15,9.89,,9.08,14.22,,88.16,1.32,259.04,117.25,732.08,,29.57,0.0
2021-07-27 08:00:00,2021-07-27 09:00:00,,52.19,1.2,8.88,10.21,19.98,1.44,0.58,10.38,10.22,,9.23,15.1,,85.88,2.73,305.48,89.23,732.46,,29.38,0.0
2021-07-27 09:00:00,2021-07-27 10:00:00,,31.36,0.93,6.73,7.69,17.2,1.45,0.54,14.92,9.25,,9.05,16.35,,84.52,3.12,325.31,164.2,732.67,,29.35,0.01
2021-07-27 10:00:00,2021-07-27 11:00:00,,25.79,0.97,6.93,7.93,22.86,1.41,0.47,33.36,5.53,,6.45,13.63,,80.28,3.57,325.92,496.64,732.2,,30.63,0.07
2021-07-27 11:00:00,2021-07-27 12:00:00,,20.39,0.61,6.16,6.68,33.78,1.44,0.39,43.67,2.35,,3.42,9.24,,76.13,3.34,301.86,217.45,732.06,,31.63,0.22
2021-07-27 12:00:00,2021-07-27 13:00:00,,29.64,0.67,6.11,6.75,37.36,1.57,0.34,32.16,1.3,,2.43,7.02,,75.58,2.69,303.34,82.19,732.26,,31.35,0.09
2021-07-27 13:00:00,2021-07-27 14:00:00,,36.84,0.79,10.08,10.65,43.5,1.58,0.36,33.32,1.09,,2.14,5.6,,84.38,2.64,253.81,28.98,731.82,,29.92,0.04
2021-07-27 14:00:00,2021-07-27 15:00:00,19.5,31.03,0.75,9.61,10.16,42.84,1.38,0.39,19.55,1.36,,2.63,6.78,,85.63,2.01,244.98,7.08,731.59,,29.62,0.01
2021-07-27 15:00:00,2021-07-27 16:00:00,21.2,34.93,0.8,7.83,8.52,39.35,1.1,0.39,12.05,2.35,,4.39,9.8,,88.62,2.94,256.03,3.93,731.4,,28.79,0.03
2021-07-27 16:00:00,2021-07-27 17:00:00,27.2,35.1,0.97,7.0,7.98,35.08,1.14,0.39,8.29,2.59,,4.51,8.56,,92.91,2.71,272.32,10.63,731.08,,27.32,0.23
2021-07-27 17:00:00,2021-07-27 18:00:00,23.2,26.7,0.93,8.1,9.01,32.05,1.23,0.35,13.31,1.73,,2.85,6.2,,92.92,2.47,273.65,13.55,731.35,,26.75,0.28
2021-07-27 18:00:00,2021-07-27 19:00:00,14.1,20.8,1.29,8.3,9.72,27.43,1.14,0.38,6.42,2.08,,5.34,7.15,,92.74,2.4,252.42,9.69,731.65,,26.6,0.17
2021-07-27 19:00:00,2021-07-27 20:00:00,17.0,18.15,1.17,6.81,8.15,30.43,1.13,0.42,7.45,3.93,,6.5,9.8,,91.85,2.61,238.89,,731.99,,26.53,0.0
2021-07-27 20:00:00,2021-07-27 21:00:00,,,0.97,5.98,7.08,30.42,1.15,0.38,9.1,4.86,,7.11,12.24,,90.36,2.25,250.57,,732.51,,26.62,0.0
2021-07-27 21:00:00,2021-07-27 22:00:00,16.62,21.47,1.52,6.85,8.68,30.8,1.21,0.38,7.42,5.26,,7.38,13.61,,90.05,2.37,229.92,,733.07,,26.7,0.0
2021-07-27 22:00:00,2021-07-27 23:00:00,11.6,23.96,1.65,7.0,9.02,36.19,1.17,0.35,9.0,5.44,,7.57,14.35,,89.53,2.31,230.34,,733.34,,26.64,0.0
2021-07-27 23:00:00,2021-07-28 00:00:00,8.06,15.86,1.83,9.36,11.52,34.59,1.17,0.35,8.72,5.46,,7.59,15.05,,89.99,1.9,237.74,,733.3,,26.45,0.0
2021-07-28 00:00:00,2021-07-28 01:00:00,13.5,33.2,1.35,5.18,6.87,26.38,1.22,0.33,12.59,5.39,,7.14,14.41,,89.38,2.3,266.78,,732.78,,26.41,0.0
2021-07-28 01:00:00,2021-07-28 02:00:00,17.1,26.02,1.17,3.63,5.14,25.14,1.2,0.33,16.35,4.74,,6.38,12.85,,87.43,2.55,268.83,,732.54,,26.7,0.0
2021-07-28 02:00:00,2021-07-28 03:00:00,,,1.09,4.17,5.52,23.22,1.26,0.34,15.31,4.33,,5.89,11.42,,88.16,2.05,262.78,,732.47,,26.75,0.0
2021-07-28 03:00:00,2021-07-28 04:00:00,17.6,19.55,1.05,5.17,6.4,18.38,1.33,0.34,12.45,4.47,,5.78,11.73,,89.84,2.05,259.45,,732.25,,26.55,0.0
2021-07-28 04:00:00,2021-07-28 05:00:00,21.6,30.53,0.95,4.22,5.36,15.74,1.19,0.33,11.64,4.54,,5.88,12.17,,90.31,2.3,257.91,,732.08,,26.55,0.0
2021-07-28 05:00:00,2021-07-28 06:00:00,22.0,29.32,1.01,5.52,6.7,15.28,1.28,0.34,10.61,4.44,,6.03,12.37,,91.24,1.64,255.24,3.32,732.44,,26.48,0.0
2021-07-28 06:00:00,2021-07-28 07:00:00,21.51,30.75,2.27,6.96,9.88,21.1,1.46,0.36,7.05,4.49,,5.88,11.75,,90.85,1.9,264.53,7.82,732.84,,26.64,0.01
