From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2021-08-02 15:00:00,2021-08-02 16:00:00,6.2,19.8,0.58,0.73,1.45,14.55,1.45,0.19,12.91,2.48,,9.27,7.67,78.25,1.64,74.63,226.25,732.45,,30.72,0.0
2021-08-02 16:00:00,2021-08-02 17:00:00,9.2,19.0,0.46,0.87,1.39,12.71,1.46,0.2,11.75,3.1,,9.83,8.22,77.49,0.99,65.18,163.25,732.41,,30.61,0.0
2021-08-02 17:00:00,2021-08-02 18:00:00,9.5,18.8,0.49,0.72,1.27,12.77,1.53,0.2,14.94,3.7,,11.86,10.12,81.22,0.94,60.26,53.37,732.39,,30.14,0.0
2021-08-02 18:00:00,2021-08-02 19:00:00,16.6,27.9,0.4,1.54,1.96,16.09,1.52,0.26,16.71,4.27,,12.64,10.96,83.64,0.63,63.79,24.09,732.63,,29.72,0.0
2021-08-02 19:00:00,2021-08-02 20:00:00,22.0,36.6,0.57,1.9,2.48,21.17,1.61,0.31,16.04,4.13,,12.12,11.21,86.23,0.8,68.05,0.53,732.88,,29.08,0.0
2021-08-02 20:00:00,2021-08-02 21:00:00,23.1,38.2,0.57,1.57,2.18,21.04,1.71,0.3,13.29,5.38,,15.07,13.58,88.98,1.11,61.09,,733.38,,28.48,0.0
2021-08-02 21:00:00,2021-08-02 22:00:00,23.9,35.4,0.57,0.99,1.67,16.05,1.85,0.29,12.29,6.08,,18.57,16.58,84.11,1.18,61.63,,733.91,,28.91,0.0
2021-08-02 22:00:00,2021-08-02 23:00:00,12.0,20.9,0.4,0.98,1.39,15.24,1.86,0.28,10.74,5.87,,18.36,16.45,87.5,1.47,44.85,,734.04,,28.7,0.0
2021-08-02 23:00:00,2021-08-03 00:00:00,19.9,34.6,0.59,0.57,1.27,13.86,1.85,0.29,9.41,5.78,,19.04,16.89,89.81,1.43,50.24,,733.73,,28.42,0.0
2021-08-03 00:00:00,2021-08-03 01:00:00,20.3,36.8,0.39,0.71,1.1,12.38,1.81,0.28,9.31,5.52,,19.05,16.73,90.62,1.62,55.5,,733.55,,28.16,0.0
2021-08-03 01:00:00,2021-08-03 02:00:00,20.2,33.6,0.49,0.63,1.16,11.59,1.87,0.28,8.93,5.15,,18.08,15.81,88.66,1.93,62.34,,733.51,,28.11,0.0
2021-08-03 02:00:00,2021-08-03 03:00:00,13.3,32.9,0.31,0.73,1.05,9.71,1.69,0.24,10.84,4.57,,17.21,14.83,85.82,2.42,62.31,,733.13,,28.12,0.0
