From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2021-09-03 15:00:00,2021-09-03 16:00:00,11.6,25.9,2.58,2.65,3.23,15.14,0.44,0.27,5.17,13.88,,17.4,2.25,,55.66,0.8,163.48,216.53,750.0,,36.99,0.0
2021-09-03 16:00:00,2021-09-03 17:00:00,13.4,37.91,2.52,4.46,4.05,14.89,0.53,0.32,5.19,12.93,,16.87,2.15,,63.08,0.65,102.7,73.73,750.0,,33.61,0.0
2021-09-03 17:00:00,2021-09-03 18:00:00,18.9,40.86,2.66,5.55,4.68,15.06,0.51,0.35,5.15,11.53,,16.99,2.14,,69.45,0.67,92.31,37.14,750.0,,32.25,0.0
2021-09-03 18:00:00,2021-09-03 19:00:00,23.9,47.3,2.69,6.63,5.24,14.84,0.49,0.39,4.12,10.55,,16.25,1.96,,69.62,0.62,79.67,4.24,750.0,,31.64,0.0
2021-09-03 19:00:00,2021-09-03 20:00:00,23.11,44.49,2.88,7.41,5.76,14.77,0.46,0.43,1.71,10.74,,16.01,1.78,,72.96,0.37,98.79,,750.0,,31.29,0.0
2021-09-03 20:00:00,2021-09-03 21:00:00,29.8,49.82,2.88,6.07,5.12,14.87,0.48,0.43,2.77,10.59,,16.58,1.97,,74.5,0.55,131.97,,750.0,,31.16,0.0
2021-09-03 21:00:00,2021-09-03 22:00:00,18.2,36.91,2.88,5.01,4.59,13.58,0.49,0.38,4.34,9.05,,15.34,1.75,,74.28,0.69,151.92,,750.0,,28.92,0.01
2021-09-03 22:00:00,2021-09-03 23:00:00,6.18,17.48,2.92,4.78,4.51,13.67,0.52,0.31,2.96,7.29,,14.06,1.7,,83.31,0.71,86.03,,750.0,,27.33,0.07
2021-09-03 23:00:00,2021-09-04 00:00:00,6.7,11.29,2.9,4.82,4.51,13.66,0.49,0.29,2.72,6.41,,13.68,1.75,,85.15,0.55,97.15,,750.0,,26.93,0.1
2021-09-04 00:00:00,2021-09-04 01:00:00,4.83,8.68,2.88,5.12,4.64,13.18,0.4,0.26,2.14,6.31,,13.37,1.67,,85.88,0.32,152.26,,750.0,,26.93,0.11
2021-09-04 01:00:00,2021-09-04 02:00:00,5.7,16.48,3.21,6.95,5.79,13.45,0.42,0.25,0.98,6.03,,12.87,1.53,,86.09,0.25,148.05,,750.0,,27.15,0.0
2021-09-04 02:00:00,2021-09-04 03:00:00,6.0,10.4,3.48,8.33,6.66,13.63,0.39,0.24,0.65,5.41,,12.34,1.0,,85.57,0.31,154.63,,750.0,,27.17,0.0
2021-09-04 03:00:00,2021-09-04 04:00:00,5.5,13.75,3.29,6.31,5.53,13.49,0.41,0.23,1.94,4.72,,13.17,1.58,,84.62,0.59,174.83,,750.0,,27.13,0.0
2021-09-04 04:00:00,2021-09-04 05:00:00,4.32,12.63,3.16,4.29,4.43,13.66,0.4,0.21,2.1,4.5,,12.74,1.62,,84.15,0.39,166.07,,750.0,,27.04,0.0
2021-09-04 05:00:00,2021-09-04 06:00:00,2.1,8.86,3.1,3.89,4.21,13.73,0.5,0.21,1.76,4.48,,12.43,1.49,,85.09,0.61,202.55,0.01,750.0,,27.41,0.0
2021-09-04 06:00:00,2021-09-04 07:00:00,2.6,11.56,4.28,4.03,5.16,18.4,0.73,0.21,0.38,4.56,,12.63,1.22,,84.2,0.73,204.42,6.63,750.0,,27.55,0.12
2021-09-04 07:00:00,2021-09-04 08:00:00,2.0,9.53,4.13,3.96,5.0,18.62,1.02,0.22,,1.44,,16.96,1.79,,79.7,0.93,195.16,182.78,750.0,,28.38,0.21
2021-09-04 08:00:00,2021-09-04 09:00:00,,6.55,2.93,3.62,3.94,11.85,0.5,0.23,1.26,5.79,,17.0,3.17,,73.71,0.69,206.49,183.0,750.0,,30.34,0.0
2021-09-04 09:00:00,2021-09-04 10:00:00,4.0,11.52,2.91,3.16,3.71,13.33,0.48,0.25,2.99,4.87,,14.05,1.83,,71.28,0.54,187.66,289.9,750.0,,31.73,0.0
2021-09-04 10:00:00,2021-09-04 11:00:00,8.5,11.6,2.84,4.76,4.43,16.1,0.54,0.3,5.59,5.59,,12.67,1.65,,64.82,0.61,193.56,604.4,750.0,,34.18,0.0
2021-09-04 11:00:00,2021-09-04 12:00:00,33.5,,2.81,5.48,4.76,18.79,0.53,0.34,8.19,8.21,,12.34,1.6,,61.28,0.64,248.01,506.75,750.0,,35.29,0.0
2021-09-04 12:00:00,2021-09-04 13:00:00,12.7,,2.79,4.15,4.11,15.92,0.57,0.34,7.51,9.04,,11.7,1.18,,59.66,0.54,202.23,467.28,750.0,,35.86,0.0
2021-09-04 13:00:00,2021-09-04 14:00:00,11.3,,2.65,3.88,3.87,15.14,1.8,0.33,6.76,9.7,,11.99,1.46,,55.87,0.56,183.95,366.07,750.0,,36.87,0.0
2021-09-04 14:00:00,2021-09-04 15:00:00,12.6,23.2,2.51,3.72,3.7,12.34,2.94,0.31,5.67,9.18,,11.79,1.47,,59.81,0.54,151.21,315.68,750.0,,35.91,0.0
2021-09-04 15:00:00,2021-09-04 16:00:00,8.96,17.47,2.51,4.2,3.94,11.75,3.08,0.3,5.13,8.68,,12.39,1.56,,78.84,0.76,169.46,82.69,750.0,,30.08,1.11
2021-09-04 16:00:00,2021-09-04 17:00:00,9.5,18.78,2.51,7.09,5.34,10.26,2.9,0.34,3.07,9.33,,14.48,1.7,,83.57,0.43,215.72,53.47,750.0,,28.75,0.58
2021-09-04 17:00:00,2021-09-04 18:00:00,13.1,25.3,2.97,6.87,5.57,11.2,2.92,0.35,2.68,8.37,,14.71,1.78,,83.84,0.34,179.51,34.55,750.0,,28.92,0.0
2021-09-04 18:00:00,2021-09-04 19:00:00,10.8,21.1,3.0,7.89,6.11,10.89,2.93,0.37,2.5,7.09,,16.58,1.98,,84.76,0.46,193.62,1.29,750.0,,28.81,0.0
2021-09-04 19:00:00,2021-09-04 20:00:00,13.7,33.8,2.92,9.39,6.75,11.1,2.94,0.41,2.64,7.08,,15.44,1.75,,84.81,0.28,180.51,,750.0,,28.6,0.01
2021-09-04 20:00:00,2021-09-04 21:00:00,10.9,28.59,3.71,8.46,6.88,13.42,2.94,0.47,1.62,5.18,,13.97,1.35,,84.33,0.36,212.41,,750.0,,28.56,0.02
2021-09-04 21:00:00,2021-09-04 22:00:00,15.9,31.75,3.92,7.3,6.47,13.29,2.92,0.47,1.31,5.0,,14.42,1.56,,84.79,0.29,179.05,,750.0,,28.49,0.0
2021-09-04 22:00:00,2021-09-04 23:00:00,11.9,30.91,3.85,6.23,5.91,13.69,2.94,0.44,1.58,4.86,,14.15,1.44,,85.54,0.31,174.21,,750.0,,28.41,0.0
2021-09-04 23:00:00,2021-09-05 00:00:00,10.5,28.44,3.97,4.82,5.3,14.17,2.93,0.4,1.29,5.24,,14.21,1.35,,85.89,0.33,164.12,,750.0,,28.28,0.0
2021-09-05 00:00:00,2021-09-05 01:00:00,11.5,20.13,3.67,4.31,4.83,13.78,2.91,0.34,1.56,5.0,,13.0,1.02,,85.93,0.27,213.76,,750.0,,28.17,0.0
