From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree),RF (mm)
2021-12-10 15:00:00,2021-12-10 16:00:00,64.3,118.2,2.85,14.56,18.8,1.21,17.41,0.86,6.94,6.77,,4.24,8.4,,45.35,2.04,318.51,219.85,745.55,,24.1,0.0
2021-12-10 16:00:00,2021-12-10 17:00:00,67.76,130.3,3.08,15.77,20.34,1.26,17.39,0.82,9.54,7.12,,4.2,9.12,,48.19,1.12,304.76,98.28,745.51,,23.12,0.0
2021-12-10 17:00:00,2021-12-10 18:00:00,90.3,186.1,3.08,18.56,23.13,1.62,17.4,0.87,11.57,8.44,,6.77,12.77,,57.1,0.71,269.18,1.45,745.64,,20.45,0.0
2021-12-10 18:00:00,2021-12-10 19:00:00,84.3,174.23,3.48,20.57,25.71,1.96,17.69,0.99,7.76,10.58,,9.25,15.41,,62.22,0.71,273.62,0.0,745.91,,18.87,0.0
2021-12-10 19:00:00,2021-12-10 20:00:00,90.48,167.04,3.67,20.26,25.7,2.19,17.44,1.1,4.65,11.12,,5.0,12.64,,63.64,0.9,285.52,0.0,746.1,,18.16,0.0
2021-12-10 20:00:00,2021-12-10 21:00:00,106.59,175.44,3.73,19.95,25.47,2.23,17.45,1.22,4.25,11.16,,4.74,11.48,,66.24,0.98,295.87,0.0,746.27,,17.25,0.0
2021-12-10 21:00:00,2021-12-10 22:00:00,105.32,165.84,3.82,18.99,24.66,2.02,17.49,1.28,4.2,10.34,,3.74,9.91,,67.88,1.15,300.06,0.0,746.42,,16.47,0.0
2021-12-10 22:00:00,2021-12-10 23:00:00,88.42,133.08,3.71,17.21,22.73,1.59,17.46,1.24,4.3,8.49,,3.01,7.93,,68.4,1.3,306.07,0.0,746.35,,15.97,0.0
2021-12-10 23:00:00,2021-12-11 00:00:00,81.75,118.74,3.66,15.62,21.09,1.32,17.48,1.18,4.14,8.31,,2.97,7.7,,72.71,0.85,293.68,0.0,746.18,,14.86,0.0
2021-12-11 00:00:00,2021-12-11 01:00:00,85.51,116.76,3.54,14.72,20.01,1.14,17.46,1.12,4.24,7.98,,2.77,7.17,,74.05,1.32,306.21,0.0,745.77,,14.46,0.0
2021-12-11 01:00:00,2021-12-11 02:00:00,86.27,117.48,3.49,14.06,19.28,1.03,17.51,1.06,4.24,7.82,,2.63,6.83,,76.72,1.11,289.84,0.0,745.51,,13.68,0.0
2021-12-11 02:00:00,2021-12-11 03:00:00,93.15,121.26,3.51,13.76,19.0,0.97,17.57,1.03,4.0,7.87,,2.58,6.7,,78.3,1.11,283.79,0.0,745.24,,13.08,0.0
2021-12-11 03:00:00,2021-12-11 04:00:00,94.19,120.24,3.56,12.98,18.31,0.99,17.49,1.0,4.15,7.62,,2.85,6.97,,79.81,0.94,279.79,0.0,745.09,,12.56,0.0
2021-12-11 04:00:00,2021-12-11 05:00:00,94.14,121.44,3.52,12.59,17.85,0.86,17.49,0.99,4.15,7.78,,2.78,6.89,,81.48,0.7,265.54,0.0,744.83,,11.99,0.0
2021-12-11 05:00:00,2021-12-11 06:00:00,91.47,120.24,3.36,12.12,17.14,0.78,17.57,0.98,4.14,8.14,,2.8,7.02,,82.36,0.75,267.26,0.0,744.95,,11.73,0.0
2021-12-11 06:00:00,2021-12-11 07:00:00,101.27,127.8,3.35,12.17,17.17,0.79,17.59,0.98,4.18,7.97,,3.12,7.54,,83.59,0.78,271.16,0.0,745.48,,11.46,0.0
2021-12-11 07:00:00,2021-12-11 08:00:00,107.03,143.04,3.54,13.44,18.73,1.12,17.55,1.0,4.18,8.03,,3.23,7.69,,83.39,0.85,262.01,54.16,746.02,,11.56,0.0
2021-12-11 08:00:00,2021-12-11 09:00:00,120.19,161.34,4.1,14.84,20.95,1.36,17.53,1.05,4.11,10.59,,3.37,8.02,,76.53,1.15,275.4,206.48,746.74,,13.33,0.0
2021-12-11 09:00:00,2021-12-11 10:00:00,137.94,189.54,4.42,16.47,23.05,1.62,17.57,1.12,4.29,10.73,,3.36,8.22,,69.86,1.35,291.4,327.31,747.46,,15.57,0.0
2021-12-11 10:00:00,2021-12-11 11:00:00,137.65,196.08,3.26,21.46,26.27,2.33,18.37,1.21,14.51,10.5,,3.66,8.16,,64.83,1.1,297.71,440.56,747.62,,17.95,0.0
2021-12-11 11:00:00,2021-12-11 12:00:00,142.32,192.78,1.06,31.83,33.2,0.44,21.76,1.22,71.26,11.23,,2.48,5.9,,58.98,1.34,283.6,540.94,747.28,,20.25,0.0
2021-12-11 12:00:00,2021-12-11 13:00:00,127.05,179.7,0.86,27.7,28.77,,22.85,1.08,86.46,9.2,,2.26,5.65,,53.34,1.33,298.78,539.76,746.73,,21.97,0.01
2021-12-11 13:00:00,2021-12-11 14:00:00,108.01,153.18,0.88,22.16,23.34,,19.92,0.91,92.25,8.61,,2.1,5.53,,47.91,1.24,269.75,479.1,746.01,,23.69,0.02
2021-12-11 14:00:00,2021-12-11 15:00:00,93.19,131.76,0.56,22.85,23.55,32.75,18.62,0.83,91.24,10.73,,2.14,5.26,,45.92,1.31,311.62,320.53,745.68,,23.72,0.0
2021-12-11 15:00:00,2021-12-11 16:00:00,83.76,123.84,1.34,17.32,19.23,14.86,,0.7,41.93,5.28,,1.81,6.91,,42.46,1.3,292.62,239.38,745.57,,23.59,0.0
2021-12-11 16:00:00,2021-12-11 17:00:00,54.75,90.3,1.72,16.65,19.14,10.25,,0.75,22.07,3.93,,5.33,6.86,,43.98,0.76,270.22,99.92,745.44,,22.55,0.0
2021-12-11 17:00:00,2021-12-11 18:00:00,51.16,115.2,2.78,16.02,20.13,19.3,2.33,0.81,,9.32,,12.22,17.18,,52.72,0.61,261.13,1.98,745.69,,19.55,0.0
2021-12-11 18:00:00,2021-12-11 19:00:00,68.53,179.04,4.65,24.5,31.4,25.84,3.05,1.12,,9.37,,22.42,24.75,,60.2,0.46,280.68,0.0,746.15,,17.61,0.0
2021-12-11 19:00:00,2021-12-11 20:00:00,111.51,224.82,6.96,30.05,40.41,31.53,3.98,1.58,,0.5,,31.96,2.12,,62.9,0.58,269.88,0.0,746.53,,16.78,0.0
2021-12-11 20:00:00,2021-12-11 21:00:00,139.73,217.68,8.44,32.55,45.17,15.69,2.86,1.94,,9.53,,25.58,15.77,,65.42,0.58,273.58,0.0,746.91,,16.13,0.08
2021-12-11 21:00:00,2021-12-11 22:00:00,164.61,250.02,9.51,31.14,45.37,25.06,2.47,2.06,,17.29,,14.22,21.64,,65.97,0.69,294.74,0.0,747.06,,15.64,0.04
2021-12-11 22:00:00,2021-12-11 23:00:00,157.72,227.52,7.67,31.94,43.37,28.77,3.31,2.13,,12.73,,6.83,15.46,,67.95,0.8,281.67,0.0,747.24,,14.79,0.02
2021-12-11 23:00:00,2021-12-12 00:00:00,143.11,209.94,6.86,28.27,38.48,32.24,4.09,2.1,,0.0,,13.83,1.29,,67.91,0.83,307.57,0.0,746.97,,14.38,0.01
2021-12-12 00:00:00,2021-12-12 01:00:00,122.43,176.16,4.46,21.66,28.28,18.37,2.88,1.98,,5.18,,9.98,7.56,,69.25,0.85,294.68,0.0,746.52,,13.98,0.0
2021-12-12 01:00:00,2021-12-12 02:00:00,129.03,176.94,4.81,21.95,29.12,25.67,2.44,1.87,,9.36,,2.96,8.01,,71.33,0.99,314.17,0.0,746.45,,13.64,0.0
2021-12-12 02:00:00,2021-12-12 03:00:00,139.72,189.66,5.39,22.27,30.31,28.3,3.19,1.81,,7.58,,2.58,8.44,,74.76,1.17,313.97,0.0,746.32,,12.83,0.0
2021-12-12 03:00:00,2021-12-12 04:00:00,131.22,171.96,5.81,20.37,29.04,31.59,3.87,1.77,,0.0,,6.16,0.92,,76.78,1.28,300.6,0.0,746.28,,12.13,0.0
2021-12-12 04:00:00,2021-12-12 05:00:00,144.36,179.94,4.0,17.22,23.18,17.15,2.73,1.72,,5.33,,6.01,4.58,,79.48,0.94,296.73,0.0,746.26,,11.45,0.0
2021-12-12 05:00:00,2021-12-12 06:00:00,158.51,194.46,4.46,18.52,25.16,24.73,2.35,1.71,,12.32,,2.29,6.71,,81.03,1.26,316.01,0.0,746.52,,11.1,0.0
2021-12-12 06:00:00,2021-12-12 07:00:00,178.83,221.82,4.9,18.84,26.15,27.53,3.08,1.75,,10.27,,2.0,7.28,,82.79,1.0,304.86,0.09,747.01,,10.66,0.0
2021-12-12 07:00:00,2021-12-12 08:00:00,175.61,221.58,5.75,19.55,28.15,31.54,3.76,1.77,,2.22,,5.86,3.91,,81.12,0.79,296.41,64.31,747.37,,11.31,0.0
2021-12-12 08:00:00,2021-12-12 09:00:00,185.21,236.64,4.93,18.36,25.74,22.41,2.73,1.81,,7.49,,6.35,5.09,,74.36,0.85,264.39,138.28,747.98,,13.48,0.0
2021-12-12 09:00:00,2021-12-12 10:00:00,210.03,272.64,5.57,20.63,28.94,28.94,2.49,1.88,,14.73,,3.1,8.33,,70.66,0.7,227.35,282.43,748.68,,15.41,0.0
2021-12-12 10:00:00,2021-12-12 11:00:00,228.12,290.28,5.86,21.62,30.36,32.65,3.63,1.96,,8.42,,3.27,7.1,,56.87,0.54,252.17,432.34,748.79,,20.62,0.0
2021-12-12 11:00:00,2021-12-12 12:00:00,129.89,190.32,3.79,18.52,24.16,17.29,2.76,1.88,,6.35,,7.45,5.92,,54.85,0.86,171.66,445.0,748.25,,21.73,0.0
2021-12-12 12:00:00,2021-12-12 13:00:00,138.23,197.34,3.96,17.86,23.77,21.5,2.49,1.79,,9.48,,5.46,10.79,,50.87,0.7,147.71,452.96,747.56,,22.93,0.0
2021-12-12 13:00:00,2021-12-12 14:00:00,103.84,148.02,3.47,16.85,22.05,17.21,2.45,1.63,8.41,7.42,,4.86,10.59,,44.62,1.08,272.55,356.4,746.87,,23.35,0.0
2021-12-12 14:00:00,2021-12-12 15:00:00,84.49,132.0,3.82,15.97,21.66,20.38,2.4,1.52,,5.61,,4.54,9.27,,42.26,1.11,217.86,316.66,746.23,,23.46,0.0
2021-12-12 15:00:00,2021-12-12 16:00:00,71.98,115.2,5.17,16.28,24.02,26.99,3.58,1.45,,2.34,,7.96,8.32,,41.96,1.09,211.02,219.51,745.92,,22.81,0.0
2021-12-12 16:00:00,2021-12-12 17:00:00,63.06,110.58,3.4,21.68,26.71,14.81,2.81,1.36,7.54,3.38,,12.55,9.21,,44.54,0.91,217.2,92.42,745.94,,21.56,0.0
2021-12-12 17:00:00,2021-12-12 18:00:00,65.01,123.96,5.36,24.4,32.39,18.39,2.45,1.44,0.32,13.61,,13.02,28.79,,57.68,0.49,234.95,1.51,746.06,,18.53,0.01
2021-12-12 18:00:00,2021-12-12 19:00:00,111.88,223.2,15.14,36.69,59.46,24.53,3.6,2.12,,23.35,,32.49,62.73,,67.07,0.36,240.6,0.0,746.53,,16.69,0.01
2021-12-12 19:00:00,2021-12-12 20:00:00,165.85,336.84,32.7,41.76,91.23,29.61,4.69,3.24,,5.75,,74.75,37.18,,73.11,0.23,135.78,0.0,746.87,,15.7,0.0
2021-12-12 20:00:00,2021-12-12 21:00:00,211.15,374.88,57.94,39.51,127.39,17.82,3.72,4.62,,26.91,,91.83,48.56,,78.28,0.21,207.2,0.0,747.15,,15.15,0.0
2021-12-12 21:00:00,2021-12-12 22:00:00,262.6,405.18,77.2,35.2,152.38,23.2,3.38,5.14,,42.41,,43.97,80.26,,79.23,0.32,109.19,0.0,746.97,,14.78,0.0
2021-12-12 22:00:00,2021-12-12 23:00:00,269.85,404.94,111.56,35.96,205.46,27.05,4.6,5.7,,33.1,,39.94,74.3,,81.34,0.53,222.18,0.0,747.1,,14.46,0.0
2021-12-12 23:00:00,2021-12-13 00:00:00,252.71,392.82,157.43,35.12,274.42,30.44,5.77,6.23,,3.85,,75.07,37.85,,84.3,0.56,242.35,0.0,746.77,,13.57,0.0
2021-12-13 00:00:00,2021-12-13 01:00:00,250.88,410.58,170.67,28.44,287.9,16.99,4.8,6.05,,15.21,,60.95,28.0,,85.66,0.57,40.06,0.0,746.58,,13.25,0.0
2021-12-13 01:00:00,2021-12-13 02:00:00,194.14,278.88,152.11,28.95,260.18,22.46,4.13,5.36,,18.38,,15.86,30.56,,84.75,0.52,43.96,0.0,746.38,,12.95,0.0
2021-12-13 02:00:00,2021-12-13 03:00:00,160.4,214.14,122.85,29.9,216.62,26.32,4.76,4.68,,14.85,,8.61,20.09,,85.84,0.64,51.34,0.0,746.33,,12.68,0.0
2021-12-13 03:00:00,2021-12-13 04:00:00,184.42,241.74,94.17,28.5,171.59,29.54,5.05,3.98,,2.63,,10.69,4.61,,89.68,0.58,51.16,0.0,746.1,,12.18,0.0
2021-12-13 04:00:00,2021-12-13 05:00:00,134.06,179.46,70.76,21.9,129.42,16.7,3.61,3.28,,4.81,,11.89,8.17,,91.21,0.4,41.55,0.0,746.03,,11.83,0.0
2021-12-13 05:00:00,2021-12-13 06:00:00,118.05,148.56,58.03,21.57,109.69,23.27,3.05,2.8,,9.92,,5.15,12.32,,92.74,0.36,86.64,0.0,746.08,,11.57,0.0
