From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),AT (degree C),RF (mm)
2022-01-18 10:00:00,2022-01-18 11:00:00,217.0,323.0,5.4,15.2,12.4,12.0,8.1,1.77,20.5,0.5,15.2,,,,,93.0,2.2,65.0,51.0,753.0,,0.9,10.0,0.0
2022-01-18 11:00:00,2022-01-18 12:00:00,202.5,306.0,4.28,15.47,11.72,10.65,7.2,1.11,14.18,0.4,13.62,,,,,93.0,1.45,90.25,51.25,752.0,,0.6,10.5,0.0
2022-01-18 12:00:00,2022-01-18 13:00:00,170.75,257.0,4.55,16.18,12.3,10.05,6.83,1.33,14.62,0.4,14.2,,,,,92.0,1.8,62.75,53.25,751.0,,0.7,10.97,0.0
2022-01-18 13:00:00,2022-01-18 14:00:00,209.75,265.25,3.65,14.65,10.78,7.85,7.78,1.4,24.65,0.33,13.32,,,,,92.0,2.12,65.0,51.0,750.0,,0.55,11.3,0.0
2022-01-18 14:00:00,2022-01-18 15:00:00,225.75,280.75,3.23,15.75,11.03,8.7,9.07,1.29,25.05,0.35,13.45,,,,,90.0,1.98,75.25,81.75,749.0,,0.5,12.32,0.0
2022-01-18 15:00:00,2022-01-18 16:00:00,242.0,307.0,3.25,15.25,10.75,8.9,10.93,1.2,38.65,0.4,14.97,,,,,84.5,1.35,92.5,85.5,749.0,,0.62,13.75,0.0
2022-01-18 16:00:00,2022-01-18 17:00:00,245.5,304.0,3.1,15.85,10.95,8.88,11.25,1.32,33.12,0.35,14.42,,,,,82.25,0.78,201.5,39.5,749.0,,0.47,14.28,0.0
2022-01-18 17:00:00,2022-01-18 18:00:00,232.75,329.25,4.78,19.88,14.43,8.97,10.4,1.72,17.25,0.38,13.62,,,,,84.75,0.32,238.5,12.75,749.0,,1.1,12.9,0.0
2022-01-18 18:00:00,2022-01-18 19:00:00,224.5,434.5,6.07,22.93,17.18,10.43,9.8,1.93,8.47,0.4,14.78,,,,,88.0,0.7,231.0,10.0,749.0,,1.25,11.8,0.0
2022-01-18 19:00:00,2022-01-18 20:00:00,288.0,483.5,13.33,26.6,25.0,12.23,12.32,3.28,9.4,0.47,15.0,,,,,89.5,0.5,259.25,10.0,749.0,,2.17,11.1,0.0
