From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),RF (mm),AT (degree C)
2022-01-13 17:00:00,2022-01-13 18:00:00,126.0,154.5,2.7,9.7,7.35,6.65,11.5,0.84,15.1,0.3,13.45,,,,,87.0,0.35,234.0,10.5,748.5,1.5,0.0,14.3
2022-01-13 18:00:00,2022-01-13 19:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13 19:00:00,2022-01-13 20:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13 20:00:00,2022-01-13 21:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13 21:00:00,2022-01-13 22:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13 22:00:00,2022-01-13 23:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13 23:00:00,2022-01-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 00:00:00,2022-01-14 01:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 01:00:00,2022-01-14 02:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 02:00:00,2022-01-14 03:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 03:00:00,2022-01-14 04:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 04:00:00,2022-01-14 05:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 05:00:00,2022-01-14 06:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 06:00:00,2022-01-14 07:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 07:00:00,2022-01-14 08:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 08:00:00,2022-01-14 09:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 09:00:00,2022-01-14 10:00:00,66.0,101.0,2.9,13.2,9.4,10.4,8.8,0.56,10.9,0.6,15.9,,,,,94.0,0.5,161.0,30.0,752.0,2.4,0.0,12.3
2022-01-14 10:00:00,2022-01-14 11:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 11:00:00,2022-01-14 12:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 12:00:00,2022-01-14 13:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 13:00:00,2022-01-14 14:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 14:00:00,2022-01-14 15:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 15:00:00,2022-01-14 16:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 16:00:00,2022-01-14 17:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 17:00:00,2022-01-14 18:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 18:00:00,2022-01-14 19:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 19:00:00,2022-01-14 20:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 20:00:00,2022-01-14 21:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 21:00:00,2022-01-14 22:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 22:00:00,2022-01-14 23:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14 23:00:00,2022-01-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
