From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2022-05-25 09:00:00,2022-05-25 10:00:00,59.0,93.7,2.15,14.54,15.72,13.59,0.42,0.71,25.07,0.0,,,,,46.61,0.9,206.85,669.56,739.6,,32.58,0.0
2022-05-25 10:00:00,2022-05-25 11:00:00,42.8,77.71,2.37,12.77,15.33,28.33,0.68,0.54,64.81,0.0,,,,,42.61,0.61,152.58,614.67,739.22,,33.55,0.0
2022-05-25 11:00:00,2022-05-25 12:00:00,34.37,67.5,2.43,11.59,13.91,44.08,1.0,0.41,74.21,0.0,,,,,43.44,1.21,213.68,591.89,738.8,,33.02,0.18
2022-05-25 12:00:00,2022-05-25 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 13:00:00,2022-05-25 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 14:00:00,2022-05-25 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 15:00:00,2022-05-25 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 16:00:00,2022-05-25 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 17:00:00,2022-05-25 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 18:00:00,2022-05-25 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 19:00:00,2022-05-25 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 20:00:00,2022-05-25 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 21:00:00,2022-05-25 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 22:00:00,2022-05-25 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 23:00:00,2022-05-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 00:00:00,2022-05-26 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 01:00:00,2022-05-26 02:00:00,,,,,,,,,,,,,,,,,,,,,,
