file_name,state,city,agency,station_location,start_month,start_month_num,start_year
AP001,Andhra Pradesh,Tirupati,APPCB,"Tirumala, Tirupati ",July,7,2016
AP002,Andhra Pradesh,Vijayawada,APPCB,"PWD Grounds, Vijayawada ",May,5,2017
AP003,Andhra Pradesh,Visakhapatnam,APPCB,"GVM Corporation, Visakhapatnam ",July,7,2017
AP004,Andhra Pradesh,Rajamahendravaram,APPCB,"Anand Kala Kshetram, Rajamahendravaram ",September,9,2017
AP005,Andhra Pradesh,Amaravati,APPCB,"Secretariat, Amaravati ",November,11,2017
AP006,Andhra Pradesh,Anantapur,APPCB,"Gulzarpet, Anantapur ",August,8,2022
AP007,Andhra Pradesh,Chittoor,APPCB,"Gangineni Cheruvu, Chittoor ",November,11,2022
AP008,Andhra Pradesh,Tirupati,APPCB,"Vaikuntapuram, Tirupati ",November,11,2022
AP009,Andhra Pradesh,Vijayawada,APPCB,"Kanuru, Vijayawada ",January,1,2023
AP010,Andhra Pradesh,Kadapa,APPCB,"Yerramukkapalli, Kadapa ",January,1,2023
AR001,Arunachal Pradesh,Naharlagun,APSPCB,"Naharlagun, Naharlagun ",March,3,2021
AS001,Assam,Guwahati,PCBA,"Railway Colony, Guwahati ",March,3,2019
AS002,Assam,Guwahati,PCBA,"Pan Bazaar, Guwahati ",December,12,2020
AS003,Assam,Guwahati,PCBA,"IITG, Guwahati ",September,9,2022
AS004,Assam,Sivasagar,PCBA,"Girls College, Sivasagar ",September,9,2022
AS005,Assam,Nalbari,PCBA,"Bata Chowk, Nalbari ",November,11,2022
AS006,Assam,Guwahati,PCBA,"LGBI Airport, Guwahati ",December,12,2022
AS007,Assam,Byrnihat,PCBA,"Central Academy for SFS, Byrnihat ",December,12,2022
AS008,Assam,Silchar,PCBA,"Tarapur, Silchar ",January,1,2023
AS009,Assam,Nagaon,PCBA,"Christianpatty, Nagaon ",March,3,2023
BR001,Bihar,Patna,BSPCB,"IGSC Planetarium Complex, Patna ",July,7,2012
BR002,Bihar,Muzaffarpur,BSPCB,"Muzaffarpur Collectorate, Muzaffarpur ",October,10,2015
BR003,Bihar,Gaya,BSPCB,"Collectorate, Gaya ",March,3,2016
BR004,Bihar,Patna,BSPCB,"Samanpura, Patna ",December,12,2019
BR005,Bihar,Patna,BSPCB,"Rajbansi Nagar, Patna ",December,12,2019
BR006,Bihar,Patna,BSPCB,"Muradpur, Patna ",December,12,2019
BR007,Bihar,Hajipur,BSPCB,"Industrial Area, Hajipur ",March,3,2020
BR008,Bihar,Patna,BSPCB,"DRM Office Danapur, Patna ",March,3,2020
BR009,Bihar,Gaya,BSPCB,"SFTI Kusdihra, Gaya ",March,3,2020
BR010,Bihar,Patna,BSPCB,"Govt. High School Shikarpur, Patna ",March,3,2020
BR011,Bihar,Muzaffarpur,BSPCB,"Buddha Colony, Muzaffarpur ",August,8,2020
BR012,Bihar,Rajgir,BSPCB,"Dangi Tola, Rajgir ",July,7,2021
BR013,Bihar,Bihar Sharif,BSPCB,"D M Colony, Bihar Sharif ",July,7,2021
BR014,Bihar,Motihari,BSPCB,"Gandak Colony, Motihari ",July,7,2021
BR015,Bihar,Bettiah,BSPCB,"Kamalnath Nagar, Bettiah ",July,7,2021
BR016,Bihar,Darbhanga,BSPCB,"Town Hall   Lal Bagh, Darbhanga ",July,7,2021
BR017,Bihar,Sasaram,BSPCB,"Dada Peer, Sasaram ",July,7,2021
BR018,Bihar,Munger,BSPCB,"Town Hall, Munger ",July,7,2021
