filename,column_index,method,iteration,model,mse,mae,rmse
datasets/processed_data/mechanical_gear_vibration_data.csv,0,<timecave.validation_methods.OOS.Holdout object at 0x000002309267FDA0>,0,Tree,2.562426372559345e-06,0.0012700467136824,0.0016007580618442
datasets/processed_data/mechanical_gear_vibration_data.csv,0,<timecave.validation_methods.OOS.Holdout object at 0x000002309267FDA0>,0,ARMA,1.4505909202983244e-06,0.000946433980848,0.0012044047991843
datasets/processed_data/mechanical_gear_vibration_data.csv,0,<timecave.validation_methods.OOS.Repeated_Holdout object at 0x000002309267C4A0>,0,Tree,2.682732940037012e-06,0.001297379336787,0.0016379050460991
datasets/processed_data/mechanical_gear_vibration_data.csv,0,<timecave.validation_methods.OOS.Repeated_Holdout object at 0x000002309267C4A0>,0,ARMA,1.4517622888945848e-06,0.0009514364561003,0.0012048909863114
datasets/processed_data/mechanical_gear_vibration_data.csv,0,<timecave.validation_methods.OOS.Repeated_Holdout object at 0x000002309267C4A0>,1,Tree,2.683958967172828e-06,0.0013011620006534,0.0016382792702017
datasets/processed_data/mechanical_gear_vibration_data.csv,0,<timecave.validation_methods.OOS.Repeated_Holdout object at 0x000002309267C4A0>,1,ARMA,1.4564374360974717e-06,0.0009530781891858,0.0012068294975254
datasets/processed_data/mechanical_gear_vibration_data.csv,0,<timecave.validation_methods.OOS.Repeated_Holdout object at 0x000002309267C4A0>,2,Tree,2.699967499384203e-06,0.0012992768186475,0.0016431577828632
datasets/processed_data/mechanical_gear_vibration_data.csv,0,<timecave.validation_methods.OOS.Repeated_Holdout object at 0x000002309267C4A0>,2,ARMA,1.4908159562447509e-06,0.0009648988179956,0.0012209897445289
datasets/processed_data/mechanical_gear_vibration_data.csv,0,<timecave.validation_methods.OOS.Repeated_Holdout object at 0x000002309267C4A0>,3,Tree,2.676635975539195e-06,0.0012969500050502,0.0016360427792509
datasets/processed_data/mechanical_gear_vibration_data.csv,0,<timecave.validation_methods.OOS.Repeated_Holdout object at 0x000002309267C4A0>,3,ARMA,1.4759231270002144e-06,0.0009575659086171,0.0012148757660766
