filename,column_index,model,mse,mae,rmse
datasets/synthetic_data/s3.csv,0,Tree,2248342.6600413946,1285.0632504253201,1499.4474515772117
datasets/synthetic_data/s3.csv,0,ARMA,5715970.0863329815,2185.4794517268983,2390.8095044007546
datasets/synthetic_data/s3.csv,1,Tree,40149661.27095325,6288.587958970924,6336.376036107174
datasets/synthetic_data/s3.csv,1,ARMA,41074622.9307062,6082.979239829712,6408.948660326919
datasets/synthetic_data/s3.csv,2,Tree,1914883.397382554,1209.7743020802525,1383.7931194302687
datasets/synthetic_data/s3.csv,2,ARMA,5406134.593898152,2134.2594844180157,2325.1095875029528
datasets/synthetic_data/s3.csv,3,Tree,886814.6699631185,683.86161080621,941.7083784076249
datasets/synthetic_data/s3.csv,3,ARMA,824761.2052355855,773.0042719294333,908.1636445242594
datasets/synthetic_data/s3.csv,4,Tree,12391020.861851545,3131.8596202946433,3520.08818949917
datasets/synthetic_data/s3.csv,4,ARMA,11132242.204520082,2704.6032154465406,3336.501491760506
datasets/synthetic_data/s3.csv,5,Tree,6063988.838469279,2218.322963459989,2462.5167691752436
datasets/synthetic_data/s3.csv,5,ARMA,10393164.727590052,2857.151619437588,3223.8431611339365
