filename,column_index,method,iteration,model,mse,mae,rmse
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.OOS.Holdout object at 0x1554e48009a0>,0,LSTM,858.3288787898147,16.811111765678483,29.297250362274863
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.OOS.RepeatedHoldout object at 0x1554e484d480>,0,LSTM,443.392369593453,11.09207585434635,21.05688413781709
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.OOS.RepeatedHoldout object at 0x1554e484d480>,1,LSTM,397.15031128661553,10.202782996442934,19.928630441819518
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.OOS.RepeatedHoldout object at 0x1554e484d480>,2,LSTM,74.8246408010509,4.580320756604422,8.650123744840354
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.OOS.RepeatedHoldout object at 0x1554e484d480>,3,LSTM,51.91079918435116,3.9377810893622973,7.204914932485405
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.prequential.GrowingWindow object at 0x15553062fd30>,0,LSTM,111.75667539151128,6.740948708498707,10.57150298640223
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.prequential.GrowingWindow object at 0x15553062fd30>,1,LSTM,24.855891488701783,3.4207013540543043,4.985568321535849
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.prequential.GrowingWindow object at 0x15553062fd30>,2,LSTM,1166.6040520713461,20.550943800921623,34.15558595707803
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.prequential.GrowingWindow object at 0x15553062fd30>,3,LSTM,47.011632615129805,3.782881846336218,6.856502943566042
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.prequential.GrowingWindow object at 0x1554e484d4b0>,0,LSTM,40.77054436381991,4.294175087947112,6.385181623401163
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.prequential.GrowingWindow object at 0x1554e484d4b0>,1,LSTM,1177.7853465184771,20.70958664073394,34.31887740760873
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.prequential.GrowingWindow object at 0x1554e484d4b0>,2,LSTM,89.30133314585918,4.90040406859838,9.449938261483997
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e484d4e0>,0,LSTM,111.75667539151128,6.740948708498707,10.57150298640223
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e484d4e0>,1,LSTM,26.46226106296708,3.5188685824091617,5.144148234933271
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e484d4e0>,2,LSTM,1422.3459596440011,22.96252990617202,37.714002169539114
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e484d4e0>,3,LSTM,116.82679303860279,5.745575318198938,10.808644366367263
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e484d510>,0,LSTM,40.77054436381991,4.294175087947112,6.385181623401163
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e484d510>,1,LSTM,1319.1745736621626,22.154482877483733,36.32044291665731
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e484d510>,2,LSTM,133.82805211531877,5.995116369025065,11.56840750126476
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.CV.BlockCV object at 0x1554e484d540>,0,LSTM,10.182429170344397,1.9268332628103404,3.1909918787650335
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.CV.BlockCV object at 0x1554e484d540>,1,LSTM,59.3782857600176,5.079126261977049,7.705730709025433
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.CV.BlockCV object at 0x1554e484d540>,2,LSTM,28.929036704006105,3.7095146069159877,5.3785719948705815
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.CV.BlockCV object at 0x1554e484d540>,3,LSTM,940.5423917850759,18.461205427004742,30.668263592598063
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.CV.BlockCV object at 0x1554e484d540>,4,LSTM,47.011632615129805,3.782881846336218,6.856502943566042
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.CV.AdaptedhvBlockCV object at 0x1554e484d570>,0,LSTM,9.880307711271946,1.7944410071923182,3.143295676717662
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.CV.AdaptedhvBlockCV object at 0x1554e484d570>,1,LSTM,59.174354568309674,5.0339785672151125,7.692486891006683
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.CV.AdaptedhvBlockCV object at 0x1554e484d570>,2,LSTM,28.458981903383435,3.6749446793244434,5.33469604601644
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.CV.AdaptedhvBlockCV object at 0x1554e484d570>,3,LSTM,942.4799375591817,18.437445659362353,30.699836116161627
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.CV.AdaptedhvBlockCV object at 0x1554e484d570>,4,LSTM,46.87088513523068,3.763522903048075,6.84623145498534
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.markov.MarkovCV object at 0x1554e484d600>,0,LSTM,371.0101378509695,9.665868698604523,19.261623447959145
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.markov.MarkovCV object at 0x1554e484d600>,1,LSTM,340.01763814230986,9.257032379271491,18.439567189668793
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.markov.MarkovCV object at 0x1554e484d600>,2,LSTM,412.8565660225306,9.378520345687866,20.318872164136735
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.markov.MarkovCV object at 0x1554e484d600>,3,LSTM,347.09902383296213,8.22840258242592,18.630593759538694
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.markov.MarkovCV object at 0x1554e484d600>,4,LSTM,267.5842967302785,8.587547759540746,16.358004057044322
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.markov.MarkovCV object at 0x1554e484d600>,5,LSTM,385.381731377002,9.16861588228494,19.631141876544064
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.markov.MarkovCV object at 0x1554e484d600>,6,LSTM,327.3129547023093,9.099932628821154,18.09179246792062
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.markov.MarkovCV object at 0x1554e484d600>,7,LSTM,375.68390139063905,9.260328753600044,19.38256694534135
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.markov.MarkovCV object at 0x1554e484d600>,8,LSTM,435.84867034991527,10.100238614639299,20.876989015418754
datasets/processed_data/covid19_17052024.csv,0,<timecave.validation_methods.markov.MarkovCV object at 0x1554e484d600>,9,LSTM,463.1629284514412,10.213660818631531,21.52122042197982
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.OOS.Holdout object at 0x15545e6be590>,0,LSTM,3.0469549655636494,1.136031062765555,1.7455529111326444
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.OOS.RepeatedHoldout object at 0x1554e484d3f0>,0,LSTM,3.7449906026443722,1.2851038537435717,1.9351978200288393
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.OOS.RepeatedHoldout object at 0x1554e484d3f0>,1,LSTM,3.7595958873455,1.2841229531543934,1.9389677375721084
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.OOS.RepeatedHoldout object at 0x1554e484d3f0>,2,LSTM,4.232416908375536,1.4277340482864807,2.0572838667465256
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.OOS.RepeatedHoldout object at 0x1554e484d3f0>,3,LSTM,4.251295077722058,1.4556862401370785,2.0618668913686107
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.prequential.GrowingWindow object at 0x1554e484d420>,0,LSTM,5.04306623569183,1.8110673816731342,2.2456772331953294
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.prequential.GrowingWindow object at 0x1554e484d420>,1,LSTM,65.49396957249753,6.543859379108135,8.092834458488419
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.prequential.GrowingWindow object at 0x1554e484d420>,2,LSTM,3.5179918374869596,1.2091051807770363,1.8756310504699372
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.prequential.GrowingWindow object at 0x1554e484d420>,3,LSTM,4.430275892015726,1.483423520051516,2.1048220570907477
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.prequential.GrowingWindow object at 0x1554e484d450>,0,LSTM,119.81473142365722,9.61279351441906,10.945991568773348
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.prequential.GrowingWindow object at 0x1554e484d450>,1,LSTM,20.015168904543255,2.4446093948987815,4.473831568638146
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.prequential.GrowingWindow object at 0x1554e484d450>,2,LSTM,4.3556674919193945,1.4742744500820453,2.0870235963973656
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e484d390>,0,LSTM,5.04306623569183,1.8110673816731342,2.2456772331953294
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e484d390>,1,LSTM,67.26285283871498,6.651859758450435,8.20139334739622
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e484d390>,2,LSTM,9.161533577312706,2.4113780938088896,3.026802533584361
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e484d390>,3,LSTM,4.566603565392016,1.557002530648158,2.136961292441212
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e484d3c0>,0,LSTM,119.81473142365722,9.61279351441906,10.945991568773348
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e484d3c0>,1,LSTM,20.727627293408748,2.592689824792055,4.552760403690134
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e484d3c0>,2,LSTM,6.684608375879928,2.1399824106922516,2.585460960037867
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.CV.BlockCV object at 0x1554e484d330>,0,LSTM,0.43519045013755114,0.3833277783714808,0.6596896619908115
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.CV.BlockCV object at 0x1554e484d330>,1,LSTM,2.009562456951574,1.1300153289849941,1.4175903699417454
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.CV.BlockCV object at 0x1554e484d330>,2,LSTM,9.563822278288683,2.398979531801664,3.0925430115503136
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.CV.BlockCV object at 0x1554e484d330>,3,LSTM,3.3776118426298236,1.2174555689096451,1.8378280231375905
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.CV.BlockCV object at 0x1554e484d330>,4,LSTM,4.430275892015726,1.483423520051516,2.1048220570907477
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.CV.AdaptedhvBlockCV object at 0x1554e484d360>,0,LSTM,0.4298430819120583,0.3755671574519231,0.6556241925921116
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.CV.AdaptedhvBlockCV object at 0x1554e484d360>,1,LSTM,1.9970577557794666,1.1167816947285945,1.4131729390911314
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.CV.AdaptedhvBlockCV object at 0x1554e484d360>,2,LSTM,10.020113131060889,2.450264331010672,3.165456227948965
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.CV.AdaptedhvBlockCV object at 0x1554e484d360>,3,LSTM,3.507825331249203,1.2765907691075251,1.8729189334429837
datasets/processed_data/covid19_17052024.csv,1,<timecave.validation_methods.CV.AdaptedhvBlockCV object at 0x1554e484d360>,4,LSTM,4.283960430479405,1.4663502844480367,2.069773038398028
