Field,series,Mean,Median,Min,Max,Variance,P2P_amplitude,Trend_slope,Spectral_centroid,Spectral_rolloff,Spectral_entropy,Strength_of_trend,Mean_crossing_rate,Median_crossing_rate,is_stationary
,aire_discharge_environment_data_0,3.236645646015032,0.7542637145,0.0,43.5818064,31.35014053341882,43.5818064,0.0011336784647083,0.2109159002043719,0.4667721518987341,0.9103869542403809,0.8477877894217916,0.2866191607284243,0.3072050673000792,True
,aire_discharge_environment_data_1,3.5451695786261865,0.7722382685,0.0,51.70369929,37.47001693413934,51.70369929,0.0012332846792744,0.2118435650181334,0.4667721518987341,0.911376495119987,0.842911173224811,0.3024544734758511,0.3064133016627078,True
,aire_discharge_environment_data_2,19.092943037974685,11.05,3.3,192.0,454.0311513068815,188.7,0.008201684717394,0.1396878563178406,0.430379746835443,0.7384862231720088,1.671501874139503,0.0807600950118764,0.063341250989707,True
,aire_discharge_environment_data_3,8.188431170886076,4.16,0.515,85.3,119.9358360000094,84.785,0.0041337160395349,0.1355181203055676,0.425632911392405,0.744166273431734,1.727199979331289,0.0902612826603325,0.0673000791765637,True
,aire_discharge_environment_data_4,0.8855973101265823,0.5774999999999999,-0.179,4.286,0.8136212943282063,4.465,0.0003070543448253,0.1303853284022793,0.423259493670886,0.6876932208200843,1.9059777217617857,0.0902612826603325,0.068091844813935,True
,aire_discharge_environment_data_5,0.5647784810126583,0.444,0.083,3.104,0.1802837341571863,3.021,0.0001622565891107,0.125963997703095,0.4121835443037974,0.7123291483022615,1.841917856958809,0.0839271575613618,0.0696753760886777,True
,aire_discharge_environment_data_6,1.6071352848101266,1.561,1.428,2.367,0.0236059555904252,0.939,5.656834008613791e-05,0.0677845329599134,0.3560126582278481,0.6740371630613878,2.0291995548429025,0.0855106888361045,0.0641330166270783,False
,aire_discharge_weather_data_0,7.357990506329114,7.0,2.6,14.7,5.152309569530131,12.1,-7.09169392409062e-05,0.1155944584266458,0.4153481012658228,0.5202504561902754,1.979164565105961,0.1448931116389548,0.1718131433095803,False
,aire_discharge_weather_data_1,78.97943037974683,78.8,44.7,101.2,87.80244081477335,56.5,0.0005280267090473,0.1127280279002209,0.4311708860759493,0.7693455015411439,1.2025501190866532,0.2596991290577989,0.2628661916072842,True
,aire_discharge_weather_data_2,9.493591772151898,8.9,-4.5,24.0,26.24653330170444,28.5,-0.0002221744014844,0.1133054521137723,0.4050632911392405,0.4633003266184993,2.5048805750609486,0.1053048297703879,0.1330166270783848,False
,aire_discharge_weather_data_3,1007.1609177215188,1008.55,963.9,1038.2,149.17910548690128,74.30000000000007,0.0006077988697402,0.0176086928690666,0.1305379746835443,0.7830134755160065,1.6800916143624154,0.1678543151227236,0.1821060965954077,True
,aire_discharge_weather_data_4,1.6534810126582278,1.3,0.1,5.5,1.479671426854674,5.4,-0.0001001428838483,0.1607363218411598,0.4564873417721519,0.5110987096711258,1.6604069573747653,0.1425178147268408,0.1559778305621536,False
,aire_discharge_weather_data_5,4.263212025316456,3.0,-4.7,17.9,26.057088100614894,22.6,-0.0003879264395966,0.1678382139464336,0.4636075949367088,0.4404645451077383,1.8334035793054877,0.1179730799683293,0.1029295328582739,False
