filename,column_index,method,iteration,model,mse,mae,rmse
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.OOS.Holdout object at 0x1554e4800bb0>,0,LSTM,11001001.205728143,2736.021875156338,3316.7757243636693
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.OOS.RepeatedHoldout object at 0x1554e4800ac0>,0,LSTM,10749578.046198945,2699.2068181781146,3278.654914168148
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.OOS.RepeatedHoldout object at 0x1554e4800ac0>,1,LSTM,10785072.573778084,2704.982631153429,3284.0634241406
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.OOS.RepeatedHoldout object at 0x1554e4800ac0>,2,LSTM,10240528.72089669,2628.505017578125,3200.0826115737527
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.OOS.RepeatedHoldout object at 0x1554e4800ac0>,3,LSTM,10513645.629963178,2668.832164946694,3242.475231973743
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.prequential.GrowingWindow object at 0x15553062fc70>,0,LSTM,12290151.048308747,2965.280801237171,3505.731171711366
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.prequential.GrowingWindow object at 0x15553062fc70>,1,LSTM,12107542.609054636,2876.3942923013265,3479.5894311045718
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.prequential.GrowingWindow object at 0x15553062fc70>,2,LSTM,11956707.86384523,2886.773586013596,3457.8472875251778
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.prequential.GrowingWindow object at 0x15553062fc70>,3,LSTM,10041025.142780842,2600.8958504020393,3168.7576655182775
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.prequential.GrowingWindow object at 0x1554e4800370>,0,LSTM,13250348.123317607,3058.8004459331564,3640.1027627414046
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.prequential.GrowingWindow object at 0x1554e4800370>,1,LSTM,13085448.705818752,3041.658232865767,3617.381470873476
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.prequential.GrowingWindow object at 0x1554e4800370>,2,LSTM,11033819.85114636,2733.3782793634587,3321.719411862832
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e4800fd0>,0,LSTM,12290151.048308747,2965.280801237171,3505.731171711366
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e4800fd0>,1,LSTM,13249729.704270052,3058.6996030257583,3640.017816477009
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e4800fd0>,2,LSTM,14306295.175297184,3228.8004165292714,3782.3663459925697
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e4800fd0>,3,LSTM,13255248.568861404,3064.622773175921,3640.7758196380896
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e4800ca0>,0,LSTM,13250348.123317607,3058.8004459331564,3640.1027627414046
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e4800ca0>,1,LSTM,14292410.229960475,3226.6496024193702,3780.530416483972
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.prequential.RollingWindow object at 0x1554e4800ca0>,2,LSTM,13256851.832298493,3064.8841890171598,3640.995994545791
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.CV.BlockCV object at 0x1554e4800cd0>,0,LSTM,11144633.464207547,2738.965482376483,3338.357899358238
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.CV.BlockCV object at 0x1554e4800cd0>,1,LSTM,9195426.347682655,2493.1413663073163,3032.3961396365507
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.CV.BlockCV object at 0x1554e4800cd0>,2,LSTM,10054917.558290137,2593.5317886947037,3170.9489996356197
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.CV.BlockCV object at 0x1554e4800cd0>,3,LSTM,10905002.609389104,2749.456999258066,3302.2723402816287
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.CV.BlockCV object at 0x1554e4800cd0>,4,LSTM,10041025.142780842,2600.8958504020393,3168.7576655182775
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.CV.AdaptedhvBlockCV object at 0x1554e4800d00>,0,LSTM,11144710.895970248,2741.416529534359,3338.3694966211046
datasets/processed_data/metro_nyc_17052024.csv,0,<timecave.validation_methods.CV.AdaptedhvBlockCV object at 0x1554e4800d00>,1,LSTM,9195559.21682205,2494.5117154414856,3032.4180478327935
