'Elapsed time','AECG1','AECG2','AECG3','AECG4'
'seconds','uV','uV','uV','uV'
0.000,207.500,183.500,198.500,88.000
0.001,207.000,183.000,198.500,88.000
0.002,208.000,183.000,198.500,88.500
0.003,208.000,182.000,198.000,88.500
0.004,209.000,182.000,198.000,88.500
0.005,209.000,181.500,197.500,88.500
0.006,209.500,181.500,197.500,88.500
0.007,209.000,181.000,196.500,88.000
0.008,209.500,181.500,196.500,88.500
0.009,209.000,181.000,196.000,88.000
0.010,209.000,181.000,196.000,88.000
0.011,208.500,180.500,195.000,87.000
0.012,208.500,180.500,194.500,86.500
0.013,208.000,180.000,193.500,85.500
0.014,208.000,180.000,193.500,85.500
0.015,208.000,179.500,192.500,85.000
0.016,208.000,179.500,192.500,85.000
0.017,208.000,179.500,192.000,85.000
0.018,208.500,180.000,192.000,85.000
0.019,208.000,180.000,192.000,85.000
0.020,208.000,181.000,192.000,85.000
0.021,207.500,181.000,192.000,84.500
0.022,207.500,181.500,192.000,84.500
0.023,206.500,181.500,191.500,84.000
0.024,206.500,182.000,192.000,84.000
0.025,206.000,181.500,191.500,83.500
0.026,206.000,182.000,191.500,83.500
0.027,205.500,181.500,191.000,82.500
0.028,205.500,181.500,191.000,82.500
0.029,205.000,181.500,190.500,81.500
0.030,205.500,181.500,190.500,81.500
0.031,205.000,181.500,190.500,81.000
0.032,205.000,182.000,191.500,81.500
0.033,204.500,182.500,191.500,81.500
0.034,204.500,183.000,192.000,81.500
0.035,204.000,183.000,192.000,81.500
0.036,203.500,184.000,192.500,82.000
0.037,203.000,184.000,192.000,81.500
0.038,202.500,184.000,192.000,82.000
0.039,202.000,183.500,191.500,81.500
0.040,202.000,184.000,191.500,81.000
0.041,202.000,183.500,191.000,80.500
0.042,202.500,183.500,191.000,80.000
0.043,202.500,183.000,190.500,79.500
0.044,203.000,183.500,190.500,79.500
0.045,203.500,184.000,190.500,79.500
0.046,204.500,184.500,191.000,80.000
0.047,205.000,185.000,191.000,80.500
0.048,206.000,185.500,191.000,81.500
0.049,206.500,186.000,191.000,82.000
0.050,207.500,187.000,191.000,82.500
0.051,207.500,187.500,191.000,82.500
0.052,208.000,188.000,191.500,83.000
0.053,208.000,188.000,191.500,83.000
0.054,208.000,188.500,192.000,83.500
0.055,207.000,188.500,191.500,83.500
0.056,206.500,188.500,192.000,84.000
0.057,205.500,188.000,192.000,84.500
0.058,205.000,188.000,192.500,85.000
0.059,204.500,187.500,192.000,85.000
0.060,205.000,187.000,192.500,85.000
0.061,205.000,186.500,192.500,85.000
0.062,205.500,186.500,192.500,85.000
0.063,205.000,186.000,191.500,85.000
0.064,205.500,186.000,191.500,85.000
0.065,205.500,185.500,191.000,84.500
0.066,205.500,186.000,191.000,84.500
0.067,205.000,185.500,190.000,84.500
0.068,205.500,185.500,190.500,84.500
0.069,205.000,185.000,190.000,84.500
0.070,205.000,185.500,190.500,85.000
0.071,205.000,185.500,190.500,85.500
0.072,205.000,186.000,191.000,86.000
0.073,205.000,186.000,191.000,86.500
0.074,205.000,186.000,192.000,87.000
0.075,205.000,185.500,191.500,86.500
0.076,205.000,186.000,192.000,87.000
0.077,204.500,185.500,191.500,86.500
0.078,204.500,185.500,191.500,86.500
0.079,204.000,184.500,190.500,86.500
0.080,204.000,184.500,190.500,86.500
0.081,203.500,184.000,190.000,86.500
0.082,203.500,184.500,189.500,87.000
0.083,203.500,184.000,188.500,86.500
0.084,203.500,184.500,188.500,87.000
0.085,203.500,184.000,187.500,86.500
0.086,203.500,184.000,187.000,86.500
0.087,203.500,183.500,186.000,86.500
0.088,204.000,183.500,186.000,86.500
0.089,203.500,183.000,185.500,86.000
0.090,204.000,183.000,186.000,86.500
0.091,204.000,183.000,185.500,86.000
0.092,204.500,183.000,186.000,86.500
0.093,204.500,183.000,186.000,87.000
0.094,205.000,183.000,186.000,87.500
0.095,204.500,182.500,185.500,87.500
0.096,204.500,182.500,185.500,88.000
0.097,204.000,181.500,185.000,87.500
0.098,204.000,181.500,185.000,88.000
0.099,203.000,180.500,184.500,87.500
0.100,203.000,180.000,185.000,87.500
0.101,202.500,179.500,184.500,86.500
0.102,203.000,179.000,184.500,86.000
0.103,202.500,178.500,184.000,85.000
0.104,203.000,178.500,184.000,84.500
0.105,202.500,178.000,183.000,84.000
0.106,202.500,178.000,183.000,84.000
0.107,202.000,177.500,182.500,84.000
0.108,202.500,177.500,183.000,84.000
