'Elapsed time','AECG1','AECG2','AECG3','AECG4'
'seconds','uV','uV','uV','uV'
0.000,200.500,155.500,259.500,294.500
0.001,201.500,156.000,259.500,294.500
0.002,203.000,157.500,260.500,296.000
0.003,204.000,159.000,261.000,297.000
0.004,205.500,161.500,262.500,299.000
0.005,206.000,163.000,263.500,300.500
0.006,207.000,165.500,265.000,303.000
0.007,207.000,167.000,266.000,304.500
0.008,207.000,168.500,267.500,306.500
0.009,206.500,169.500,268.000,307.000
0.010,206.000,171.000,269.000,309.000
0.011,205.500,171.500,269.000,309.500
0.012,205.500,172.500,269.000,311.000
0.013,205.500,172.500,268.000,311.000
0.014,206.000,172.500,267.500,312.000
0.015,205.500,172.500,266.000,311.500
0.016,206.000,172.500,266.000,312.500
0.017,206.000,172.500,266.000,312.500
0.018,207.000,173.500,267.500,314.000
0.019,207.500,174.500,268.500,315.000
0.020,208.500,176.500,270.500,317.000
0.021,208.500,177.500,271.500,318.500
0.022,209.000,179.000,273.500,320.500
0.023,208.500,180.000,274.000,321.500
0.024,209.000,180.500,274.500,323.000
0.025,208.500,180.500,274.500,323.500
0.026,209.000,180.500,274.500,324.500
0.027,209.000,180.000,274.000,325.000
0.028,209.500,180.500,274.000,326.000
0.029,209.500,180.000,273.500,326.500
0.030,210.000,180.500,273.500,327.500
0.031,210.000,180.500,273.000,328.000
0.032,210.000,181.000,273.500,329.000
0.033,209.000,181.000,273.000,329.500
0.034,209.000,182.000,273.500,330.500
0.035,208.000,182.000,273.500,330.500
0.036,208.000,182.500,274.000,331.000
0.037,207.000,182.000,273.500,330.500
0.038,207.000,182.000,273.500,330.500
0.039,206.500,181.000,273.000,329.500
0.040,207.000,180.500,273.000,329.500
0.041,207.000,179.500,272.500,329.000
0.042,207.500,179.500,273.500,330.000
0.043,207.500,179.500,274.500,330.000
0.044,208.000,180.500,276.500,331.500
0.045,208.500,181.000,278.000,332.000
0.046,209.500,182.000,280.500,333.000
0.047,210.500,182.500,281.500,332.500
0.048,211.500,183.000,283.000,332.000
0.049,212.000,182.500,283.500,330.000
0.050,213.000,182.500,284.000,328.000
0.051,212.500,181.500,284.000,325.000
0.052,212.500,181.000,285.000,323.000
0.053,211.500,180.500,285.000,320.500
0.054,211.000,180.500,286.500,318.500
0.055,210.000,180.500,287.000,316.000
0.056,209.500,180.500,289.000,314.500
0.057,209.000,180.000,289.500,312.500
0.058,209.000,180.500,291.000,311.000
0.059,209.000,180.000,292.000,308.500
0.060,209.500,180.000,293.000,307.000
0.061,209.500,179.500,293.500,305.000
0.062,210.000,179.500,294.500,304.000
0.063,210.000,179.500,295.000,302.500
0.064,210.500,179.500,296.500,301.500
0.065,210.500,179.000,296.500,299.500
0.066,211.000,179.500,297.500,298.000
0.067,210.500,179.000,297.000,296.000
0.068,211.000,179.500,298.000,294.500
0.069,210.500,179.000,297.500,293.000
0.070,211.000,179.500,298.000,292.000
0.071,210.500,179.000,297.500,290.500
0.072,211.000,179.500,298.000,290.000
0.073,210.000,179.500,297.500,288.500
0.074,210.000,179.500,298.000,288.000
0.075,208.500,179.000,297.500,286.000
0.076,208.000,179.000,298.000,285.000
0.077,207.000,178.500,298.000,283.000
0.078,207.000,179.000,298.500,282.000
0.079,206.000,178.000,298.000,280.000
0.080,206.000,178.000,298.500,278.500
0.081,205.000,177.000,298.000,275.500
0.082,205.000,176.500,298.000,273.500
0.083,204.000,175.500,297.000,270.500
0.084,203.500,175.500,296.500,268.500
0.085,202.000,175.000,296.000,266.000
0.086,201.500,175.500,296.500,265.000
0.087,200.000,176.000,296.500,264.000
0.088,200.000,177.500,298.500,264.500
0.089,200.000,178.500,299.500,264.500
0.090,200.500,180.000,301.000,265.500
0.091,201.000,181.000,302.000,265.500
